Game No.,Player 1,Player 2,Player 3
1,100.0,0.0,0.0
2,100.0,0.0,0.0
3,100.0,0.0,0.0
4,75.0,0.0,25.0
5,80.0,0.0,20.0
6,66.66667,16.666668,16.666668
7,57.14286,14.285715,28.57143
8,50.0,25.0,25.0
9,44.444447,22.222223,33.333336
10,50.0,20.0,30.000002
11,45.454548,27.272728,27.272728
12,41.666664,25.0,33.333336
13,38.46154,30.769232,30.769232
14,35.714287,28.57143,35.714287
15,33.333336,26.666668,40.0
16,37.5,25.0,37.5
17,35.294117,29.411766,35.294117
18,38.88889,27.777779,33.333336
19,42.105263,26.31579,31.578945
20,45.0,25.0,30.000002
21,47.61905,23.809525,28.57143
22,45.454548,27.272728,27.272728
23,47.826088,26.086956,26.086956
24,45.833336,25.0,29.166666
25,48.0,24.0,28.0
26,50.0,23.076923,26.923079
27,48.148148,22.222223,29.62963
28,50.0,21.428572,28.57143
29,48.27586,20.689655,31.034481
30,46.666668,20.0,33.333336
31,45.16129,19.354837,35.48387
32,43.75,18.75,37.5
33,42.424244,21.212122,36.363636
34,44.11765,20.588236,35.294117
35,45.714287,20.0,34.285717
36,44.444447,19.444445,36.11111
37,43.243244,21.621622,35.135136
38,44.736843,21.052631,34.210526
39,46.153847,20.512821,33.333336
40,45.0,22.5,32.5
41,43.90244,24.390244,31.707317
42,45.238094,23.809525,30.952381
43,44.186047,25.581396,30.232557
44,43.18182,25.0,31.818182
45,44.444447,24.444445,31.111113
46,43.47826,26.086956,30.434782
47,42.553192,25.531916,31.914892
48,41.666664,25.0,33.333336
49,42.857143,24.489796,32.65306
50,42.0,24.0,34.0
51,43.137257,23.529411,33.333336
52,42.307693,25.0,32.692307
53,43.396225,24.528303,32.07547
54,44.444447,24.074074,31.48148
55,45.454548,23.636364,30.909092
56,46.42857,23.214285,30.357143
57,45.614033,24.561403,29.82456
58,44.827587,25.862068,29.310345
59,45.76271,25.423729,28.813559
60,45.0,26.666668,28.333334
61,44.262295,27.868853,27.868853
62,43.548386,27.419355,29.032257
63,44.444447,26.984129,28.57143
64,43.75,28.125,28.125
65,44.615383,27.692308,27.692308
66,43.939392,27.272728,28.787878
67,43.28358,26.865673,29.850746
68,42.647057,26.470589,30.882353
69,42.028984,27.536232,30.434782
70,41.428574,28.57143,30.000002
71,42.25352,28.169016,29.577463
72,43.055553,27.777779,29.166666
73,43.835617,27.39726,28.767124
74,43.243244,28.37838,28.37838
75,42.666668,29.333332,28.0
76,42.105263,30.263159,27.631578
77,42.857143,29.870129,27.272728
78,43.589745,29.48718,26.923079
79,43.037975,29.113924,27.8481
80,43.75,28.75,27.5
81,43.209877,28.395063,28.395063
82,43.90244,28.04878,28.04878
83,44.578316,27.710842,27.710842
84,44.04762,27.380953,28.57143
85,43.52941,28.235296,28.235296
86,44.186047,27.906979,27.906979
87,43.67816,27.586206,28.735632
88,43.18182,28.40909,28.40909
89,42.69663,28.089888,29.213482
90,43.333332,27.777779,28.88889
