Game No.,Player 1,Player 2,Player 3
1,0.0,0.0,100.0
2,0.0,0.0,100.0
3,0.0,33.333336,66.66667
4,0.0,50.0,50.0
5,0.0,40.0,60.000004
6,0.0,33.333336,66.66667
7,0.0,42.857143,57.14286
8,0.0,50.0,50.0
9,0.0,55.555557,44.444447
10,10.0,50.0,40.0
11,9.090909,54.545456,36.363636
12,8.333334,58.333332,33.333336
13,7.692308,53.846157,38.46154
14,14.285715,50.0,35.714287
15,20.0,46.666668,33.333336
16,18.75,43.75,37.5
17,23.529411,41.17647,35.294117
18,22.222223,44.444447,33.333336
19,26.31579,42.105263,31.578945
20,25.0,45.0,30.000002
21,28.57143,42.857143,28.57143
22,27.272728,40.909092,31.818182
23,26.086956,39.130436,34.782608
24,25.0,41.666664,33.333336
25,24.0,40.0,36.0
26,26.923079,38.46154,34.615387
27,25.925926,40.74074,33.333336
28,28.57143,39.285713,32.142857
29,27.586206,41.37931,31.034481
30,30.000002,40.0,30.000002
31,29.032257,38.709675,32.258064
32,28.125,37.5,34.375
33,27.272728,39.39394,33.333336
34,26.470589,38.235294,35.294117
35,25.714287,40.0,34.285717
36,25.0,38.88889,36.11111
37,24.324326,37.837837,37.837837
38,23.684212,39.473686,36.842106
39,25.641027,38.46154,35.897438
40,25.0,37.5,37.5
41,26.82927,36.585365,36.585365
42,26.190477,38.095238,35.714287
43,27.906979,37.2093,34.88372
44,27.272728,36.363636,36.363636
45,26.666668,35.555557,37.77778
46,26.086956,34.782608,39.130436
47,25.531916,36.17021,38.297874
48,27.083334,35.416664,37.5
49,26.530611,36.734695,36.734695
50,26.0,38.0,36.0
51,25.490198,39.215687,35.294117
52,26.923079,38.46154,34.615387
53,26.415094,39.622643,33.962265
54,25.925926,38.88889,35.185184
55,25.454544,40.0,34.545456
56,26.785713,39.285713,33.92857
57,28.070175,38.59649,33.333336
58,29.310345,37.931034,32.75862
59,28.813559,37.288136,33.898308
60,28.333334,38.333332,33.333336
61,27.868853,39.34426,32.786884
62,27.419355,40.322582,32.258064
63,26.984129,39.68254,33.333336
64,26.5625,40.625,32.8125
