BetterRandomAgent 0,IsmctsAgent 1
0,1
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
2,8
2,9
2,10
3,10
4,10
5,10
5,11
5,12
5,13
6,13
7,13
7,14
7,15
7,16
7,17
8,17
9,17
10,17
10,18
10,19
11,19
11,20
11,21
12,21
13,21
13,22
13,23
13,24
13,25
14,25
15,25
15,26
16,26
16,27
16,28
16,29
16,30
16,31
17,31
18,31
18,32
18,33
19,33
19,34
20,34
20,35
20,36
21,36
22,36
23,36
24,36
24,37
24,38
24,39
25,39
26,39
26,40
26,41
27,41
27,42
28,42
29,42
30,42
30,43
30,44
30,45
30,46
31,46
32,46
33,46
34,46
34,47
34,48
34,49
34,50
34,51
35,51
36,51
37,51
37,52
38,52
39,52
40,52
40,53
40,54
40,55
40,56
40,57
40,58
40,59
40,60
40,61
40,62
41,62
41,63
41,64
42,64
42,65
42,66
43,66
43,67
44,67
45,67
45,68
46,68
47,68
48,68
48,69
48,70
49,70
50,70
50,71
50,72
50,73
50,74
51,74
51,75
51,76
51,77
51,78
51,79
51,80
51,81
51,82
51,83
51,84
51,85
52,85
53,85
54,85
54,86
55,86
56,86
56,87
56,88
56,89
57,89
57,90
57,91
58,91
58,92
58,93
59,93
60,93
61,93
61,94
62,94
63,94
63,95
64,95
64,96
65,96
65,97
65,98
65,99
65,100
65,101
65,102
66,102
66,103
66,104
66,105
67,105
68,105
69,105
69,106
69,107
70,107
70,108
71,108
71,109
72,109
73,109
74,109
74,110
74,111
74,112
74,113
74,114
75,114
75,115
76,115
76,116
76,117
76,118
76,119
77,119
77,120
78,120
78,121
78,122
79,122
80,122
80,123
80,124
81,124
81,125
81,126
81,127
82,127
82,128
83,128
83,129
83,130
83,131
84,131
85,131
86,131
86,132
86,133
86,134
86,135
87,135
87,136
88,136
88,137
88,138
88,139
89,139
89,140
90,140
91,140
91,141
91,142
92,142
92,143
92,144
92,145
93,145
94,145
94,146
94,147
94,148
94,149
94,150
94,151
95,151
95,152
95,153
96,153
96,154
96,155
97,155
98,155
98,156
99,156
99,157
99,158
99,159
99,160
100,160
100,161
100,162
100,163
100,164
100,165
100,166
101,166
102,166
102,167
103,167
103,168
104,168
104,169
104,170
104,171
105,171
105,172
105,173
105,174
105,175
105,176
105,177
106,177
106,178
106,179
106,180
106,181
106,182
107,182
107,183
107,184
108,184
108,185
109,185
109,186
109,187
110,187
111,187
111,188
111,189
111,190
111,191
111,192
112,192
112,193
112,194
113,194
113,195
113,196
113,197
114,197
115,197
115,198
115,199
116,199
116,200
117,200
118,200
119,200
120,200
120,201
120,202
121,202
121,203
121,204
122,204
122,205
122,206
122,207
123,207
124,207
124,208
124,209
124,210
125,210
126,210
126,211
127,211
128,211
128,212
129,212
130,212
130,213
131,213
132,213
133,213
134,213
134,214
134,215
135,215
135,216
136,216
136,217
136,218
136,219
137,219
138,219
138,220
138,221
139,221
140,221
141,221
141,222
141,223
141,224
141,225
141,226
141,227
141,228
141,229
141,230
141,231
142,231
142,232
143,232
143,233
143,234
143,235
143,236
144,236
145,236
146,236
146,237
146,238
146,239
147,239
147,240
147,241
147,242
148,242
148,243
149,243
150,243
150,244
150,245
151,245
151,246
151,247
152,247
152,248
152,249
153,249
153,250
153,251
154,251
155,251
155,252
155,253
156,253
157,253
157,254
158,254
158,255
158,256
159,256
159,257
159,258
159,259
160,259
160,260
160,261
161,261
161,262
161,263
161,264
162,264
163,264
163,265
163,266
164,266
164,267
165,267
165,268
165,269
165,270
166,270
166,271
167,271
168,271
168,272
169,272
170,272
171,272
172,272
172,273
172,274
173,274
173,275
174,275
174,276
174,277
174,278
175,278
175,279
175,280
175,281
175,282
176,282
176,283
177,283
177,284
178,284
178,285
178,286
178,287
179,287
179,288
179,289
180,289
180,290
180,291
180,292
181,292
181,293
182,293
182,294
183,294
184,294
184,295
184,296
184,297
184,298
185,298
185,299
185,300
185,301
185,302
185,303
186,303
186,304
186,305
186,306
187,306
187,307
187,308
187,309
187,310
188,310
188,311
189,311
189,312
189,313
190,313
190,314
190,315
191,315
191,316
192,316
192,317
192,318
193,318
193,319
194,319
194,320
194,321
194,322
194,323
194,324
194,325
194,326
195,326
195,327
196,327
197,327
197,328
198,328
199,328
199,329
199,330
199,331
199,332
200,332
200,333
200,334
200,335
201,335
202,335
202,336
202,337
202,338
202,339
202,340
202,341
202,342
203,342
203,343
203,344
204,344
204,345
205,345
205,346
205,347
205,348
205,349
206,349
206,350
207,350
208,350
208,351
209,351
209,352
210,352
210,353
210,354
211,354
211,355
211,356
211,357
212,357
212,358
212,359
213,359
213,360
214,360
214,361
214,362
215,362
216,362
216,363
216,364
216,365
216,366
217,366
217,367
217,368
217,369
217,370
217,371
218,371
218,372
218,373
219,373
219,374
220,374
221,374
222,374
222,375
223,375
224,375
225,375
226,375
226,376
227,376
228,376
228,377
229,377
229,378
229,379
229,380
229,381
229,382
229,383
229,384
229,385
229,386
230,386
230,387
230,388
230,389
230,390
230,391
230,392
231,392
232,392
232,393
232,394
233,394
233,395
233,396
233,397
234,397
235,397
235,398
235,399
235,400
235,401
236,401
236,402
236,403
237,403
237,404
237,405
238,405
238,406
238,407
239,407
239,408
239,409
239,410
239,411
240,411
240,412
240,413
240,414
241,414
242,414
242,415
243,415
243,416
243,417
244,417
245,417
246,417
246,418
246,419
247,419
248,419
248,420
248,421
249,421
249,422
249,423
250,423
250,424
251,424
252,424
252,425
253,425
254,425
254,426
255,426
256,426
256,427
257,427
258,427
258,428
258,429
258,430
259,430
260,430
260,431
260,432
261,432
261,433
261,434
261,435
261,436
261,437
261,438
261,439
261,440
262,440
262,441
263,441
263,442
264,442
264,443
265,443
266,443
267,443
267,444
267,445
267,446
267,447
268,447
268,448
269,448
270,448
270,449
270,450
270,451
270,452
270,453
271,453
271,454
271,455
272,455
272,456
272,457
272,458
273,458
273,459
274,459
274,460
275,460
275,461
275,462
275,463
275,464
276,464
276,465
277,465
277,466
277,467
278,467
279,467
279,468
279,469
280,469
281,469
282,469
282,470
282,471
282,472
283,472
283,473
283,474
284,474
284,475
284,476
285,476
286,476
286,477
286,478
286,479
286,480
286,481
286,482
286,483
287,483
287,484
287,485
287,486
288,486
288,487
288,488
289,488
290,488
290,489
291,489
291,490
292,490
292,491
293,491
294,491
294,492
294,493
294,494
294,495
294,496
295,496
296,496
296,497
297,497
297,498
298,498
298,499
298,500
298,501
298,502
298,503
298,504
298,505
298,506
299,506
299,507
299,508
300,508
