BetterRandomAgent 0,OracleAgent 1
0,1
0,2
1,2
2,2
3,2
3,3
4,3
5,3
6,3
6,4
6,5
7,5
7,6
8,6
8,7
8,8
8,9
9,9
10,9
10,10
10,11
11,11
11,12
11,13
11,14
11,15
11,16
12,16
13,16
14,16
14,17
15,17
16,17
16,18
16,19
16,20
16,21
16,22
16,23
17,23
18,23
19,23
20,23
20,24
20,25
21,25
21,26
21,27
22,27
23,27
24,27
24,28
24,29
25,29
26,29
26,30
26,31
27,31
28,31
29,31
29,32
29,33
30,33
31,33
31,34
31,35
32,35
32,36
32,37
33,37
34,37
34,38
34,39
35,39
35,40
35,41
35,42
36,42
37,42
38,42
39,42
40,42
40,43
40,44
40,45
40,46
40,47
41,47
41,48
42,48
43,48
44,48
45,48
45,49
46,49
47,49
47,50
48,50
49,50
49,51
49,52
50,52
50,53
51,53
52,53
52,54
52,55
53,55
53,56
53,57
54,57
54,58
54,59
55,59
55,60
56,60
56,61
57,61
57,62
57,63
57,64
57,65
58,65
58,66
59,66
59,67
60,67
60,68
61,68
62,68
62,69
63,69
64,69
64,70
64,71
65,71
65,72
66,72
66,73
66,74
67,74
67,75
67,76
68,76
68,77
68,78
68,79
69,79
69,80
70,80
71,80
71,81
71,82
71,83
71,84
71,85
71,86
72,86
72,87
72,88
72,89
72,90
72,91
73,91
73,92
73,93
73,94
73,95
73,96
74,96
74,97
74,98
74,99
74,100
74,101
74,102
74,103
74,104
75,104
75,105
75,106
76,106
76,107
76,108
76,109
77,109
77,110
77,111
77,112
77,113
78,113
78,114
78,115
78,116
78,117
79,117
80,117
80,118
80,119
80,120
80,121
81,121
82,121
82,122
83,122
84,122
84,123
85,123
86,123
86,124
86,125
86,126
86,127
87,127
88,127
88,128
88,129
89,129
89,130
90,130
91,130
91,131
92,131
92,132
92,133
92,134
92,135
93,135
93,136
93,137
94,137
94,138
95,138
95,139
96,139
96,140
97,140
98,140
98,141
99,141
99,142
99,143
99,144
99,145
99,146
100,146
100,147
101,147
102,147
102,148
102,149
102,150
102,151
102,152
103,152
103,153
103,154
104,154
104,155
104,156
105,156
105,157
105,158
105,159
105,160
105,161
106,161
106,162
106,163
107,163
108,163
108,164
108,165
108,166
108,167
109,167
109,168
110,168
111,168
111,169
112,169
113,169
114,169
114,170
114,171
115,171
116,171
116,172
116,173
117,173
117,174
118,174
118,175
118,176
118,177
119,177
119,178
119,179
119,180
119,181
119,182
120,182
120,183
120,184
120,185
121,185
121,186
121,187
121,188
122,188
122,189
122,190
122,191
123,191
123,192
123,193
123,194
123,195
123,196
124,196
124,197
124,198
124,199
124,200
124,201
124,202
125,202
126,202
126,203
127,203
128,203
129,203
129,204
129,205
129,206
129,207
130,207
130,208
130,209
131,209
131,210
131,211
131,212
131,213
131,214
131,215
131,216
131,217
131,218
132,218
132,219
132,220
133,220
133,221
133,222
134,222
135,222
136,222
137,222
137,223
138,223
139,223
139,224
139,225
139,226
140,226
140,227
141,227
141,228
142,228
143,228
143,229
144,229
145,229
145,230
145,231
145,232
146,232
146,233
146,234
147,234
147,235
147,236
148,236
149,236
149,237
149,238
149,239
149,240
149,241
149,242
149,243
149,244
149,245
149,246
149,247
149,248
149,249
149,250
150,250
150,251
151,251
151,252
152,252
153,252
153,253
153,254
153,255
153,256
154,256
155,256
155,257
156,257
157,257
157,258
157,259
157,260
158,260
158,261
158,262
158,263
158,264
159,264
160,264
161,264
161,265
161,266
161,267
162,267
163,267
164,267
164,268
164,269
164,270
165,270
165,271
165,272
165,273
165,274
165,275
166,275
166,276
166,277
166,278
167,278
167,279
168,279
168,280
168,281
168,282
168,283
168,284
169,284
169,285
170,285
170,286
171,286
172,286
172,287
172,288
172,289
172,290
172,291
172,292
172,293
173,293
174,293
174,294
174,295
174,296
174,297
174,298
174,299
175,299
176,299
177,299
177,300
178,300
178,301
179,301
179,302
180,302
180,303
181,303
181,304
182,304
183,304
184,304
185,304
185,305
186,305
186,306
187,306
188,306
188,307
189,307
189,308
190,308
191,308
191,309
192,309
192,310
192,311
192,312
192,313
193,313
194,313
195,313
196,313
197,313
198,313
199,313
200,313
201,313
202,313
203,313
203,314
204,314
205,314
206,314
206,315
206,316
207,316
208,316
208,317
208,318
208,319
208,320
208,321
209,321
209,322
210,322
210,323
211,323
212,323
213,323
213,324
213,325
214,325
214,326
214,327
214,328
215,328
215,329
216,329
217,329
217,330
218,330
218,331
218,332
218,333
218,334
219,334
220,334
220,335
221,335
221,336
221,337
221,338
222,338
223,338
223,339
224,339
224,340
225,340
225,341
226,341
226,342
226,343
227,343
228,343
228,344
229,344
230,344
231,344
231,345
231,346
231,347
232,347
232,348
232,349
233,349
233,350
233,351
234,351
234,352
234,353
234,354
234,355
235,355
235,356
235,357
235,358
235,359
235,360
236,360
236,361
236,362
237,362
237,363
237,364
238,364
238,365
239,365
240,365
241,365
242,365
242,366
242,367
242,368
243,368
243,369
244,369
245,369
245,370
245,371
246,371
246,372
246,373
246,374
247,374
248,374
248,375
248,376
248,377
248,378
248,379
249,379
249,380
249,381
250,381
250,382
251,382
252,382
252,383
252,384
253,384
253,385
253,386
253,387
253,388
254,388
255,388
255,389
255,390
256,390
256,391
256,392
256,393
256,394
257,394
258,394
258,395
258,396
258,397
258,398
259,398
259,399
259,400
259,401
260,401
261,401
261,402
261,403
262,403
262,404
262,405
262,406
262,407
263,407
264,407
264,408
264,409
264,410
265,410
265,411
266,411
266,412
267,412
267,413
267,414
267,415
267,416
267,417
267,418
267,419
268,419
269,419
270,419
270,420
270,421
270,422
271,422
271,423
272,423
273,423
274,423
275,423
275,424
276,424
277,424
277,425
277,426
277,427
277,428
278,428
279,428
279,429
280,429
281,429
281,430
282,430
282,431
282,432
283,432
284,432
284,433
284,434
285,434
286,434
287,434
287,435
288,435
289,435
289,436
290,436
291,436
291,437
291,438
291,439
292,439
293,439
293,440
294,440
294,441
294,442
295,442
295,443
295,444
296,444
296,445
297,445
298,445
299,445
300,445
300,446
301,446
301,447
301,448
302,448
302,449
302,450
303,450
304,450
304,451
305,451
305,452
306,452
306,453
307,453
307,454
308,454
308,455
308,456
308,457
308,458
308,459
308,460
308,461
308,462
309,462
309,463
310,463
310,464
310,465
311,465
311,466
311,467
312,467
312,468
313,468
314,468
315,468
315,469
315,470
315,471
315,472
315,473
316,473
317,473
317,474
318,474
318,475
318,476
318,477
318,478
318,479
318,480
319,480
320,480
320,481
320,482
320,483
320,484
321,484
322,484
322,485
322,486
322,487
323,487
323,488
324,488
325,488
326,488
326,489
327,489
327,490
327,491
328,491
328,492
328,493
328,494
329,494
330,494
331,494
332,494
333,494
334,494
334,495
335,495
336,495
336,496
337,496
337,497
337,498
338,498
338,499
338,500
339,500
340,500
341,500
341,501
341,502
341,503
341,504
342,504
343,504
343,505
343,506
344,506
345,506
345,507
345,508
346,508
346,509
347,509
348,509
349,509
350,509
350,510
350,511
350,512
351,512
351,513
351,514
351,515
351,516
352,516
352,517
353,517
354,517
