IsmctsAgent 0,BetterRandomAgent 1
1,0
2,0
3,0
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
11,2
12,2
13,2
13,3
13,4
14,4
14,5
15,5
16,5
16,6
17,6
17,7
18,7
19,7
20,7
21,7
22,7
22,8
22,9
22,10
23,10
23,11
24,11
24,12
24,13
25,13
26,13
27,13
27,14
28,14
28,15
29,15
30,15
31,15
32,15
33,15
34,15
34,16
35,16
36,16
37,16
38,16
38,17
39,17
39,18
40,18
41,18
41,19
41,20
41,21
42,21
43,21
43,22
44,22
45,22
46,22
47,22
48,22
49,22
49,23
49,24
50,24
51,24
51,25
52,25
53,25
54,25
54,26
54,27
54,28
54,29
54,30
55,30
55,31
56,31
57,31
57,32
58,32
59,32
60,32
60,33
61,33
61,34
62,34
63,34
64,34
65,34
66,34
66,35
67,35
68,35
69,35
70,35
70,36
70,37
70,38
70,39
70,40
71,40
72,40
72,41
72,42
72,43
72,44
73,44
74,44
75,44
76,44
77,44
77,45
77,46
77,47
77,48
77,49
78,49
79,49
80,49
81,49
81,50
81,51
82,51
83,51
83,52
84,52
85,52
86,52
86,53
87,53
88,53
89,53
90,53
91,53
92,53
93,53
94,53
94,54
94,55
94,56
94,57
95,57
95,58
96,58
97,58
98,58
98,59
99,59
100,59
100,60
101,60
102,60
103,60
104,60
104,61
105,61
106,61
107,61
107,62
107,63
108,63
108,64
109,64
109,65
110,65
110,66
110,67
110,68
110,69
110,70
111,70
111,71
112,71
112,72
113,72
114,72
114,73
115,73
116,73
117,73
117,74
118,74
119,74
120,74
121,74
122,74
123,74
123,75
123,76
124,76
125,76
126,76
127,76
128,76
128,77
129,77
130,77
131,77
132,77
133,77
134,77
135,77
136,77
137,77
137,78
138,78
138,79
139,79
140,79
141,79
141,80
142,80
143,80
144,80
145,80
145,81
146,81
147,81
147,82
148,82
149,82
150,82
151,82
152,82
153,82
153,83
154,83
155,83
156,83
157,83
157,84
158,84
159,84
160,84
161,84
161,85
162,85
162,86
162,87
163,87
164,87
165,87
165,88
166,88
167,88
168,88
168,89
168,90
169,90
169,91
170,91
171,91
172,91
172,92
173,92
174,92
175,92
175,93
176,93
177,93
177,94
177,95
178,95
178,96
178,97
