IsmctsAgent 0,PruningRLAgent 1
0,1
1,1
2,1
3,1
4,1
5,1
5,2
5,3
5,4
6,4
7,4
8,4
9,4
10,4
10,5
10,6
10,7
11,7
12,7
12,8
13,8
13,9
14,9
14,10
15,10
16,10
16,11
16,12
17,12
18,12
19,12
19,13
20,13
21,13
22,13
23,13
24,13
25,13
26,13
27,13
27,14
28,14
29,14
29,15
29,16
30,16
31,16
32,16
32,17
33,17
34,17
35,17
35,18
36,18
37,18
38,18
39,18
40,18
41,18
42,18
43,18
44,18
45,18
46,18
47,18
47,19
48,19
49,19
50,19
50,20
51,20
52,20
53,20
54,20
54,21
55,21
56,21
56,22
56,23
57,23
57,24
58,24
59,24
59,25
59,26
59,27
60,27
61,27
62,27
63,27
64,27
64,28
64,29
65,29
65,30
66,30
67,30
68,30
69,30
69,31
69,32
70,32
70,33
71,33
71,34
72,34
73,34
73,35
74,35
75,35
76,35
76,36
76,37
77,37
77,38
77,39
78,39
79,39
80,39
81,39
82,39
82,40
82,41
82,42
82,43
82,44
83,44
83,45
84,45
85,45
86,45
86,46
87,46
88,46
89,46
89,47
89,48
90,48
90,49
90,50
90,51
91,51
92,51
93,51
94,51
95,51
96,51
97,51
98,51
99,51
100,51
101,51
101,52
102,52
103,52
104,52
105,52
106,52
107,52
108,52
109,52
110,52
110,53
110,54
110,55
110,56
110,57
111,57
112,57
113,57
113,58
113,59
113,60
114,60
115,60
115,61
115,62
115,63
116,63
117,63
118,63
118,64
119,64
120,64
120,65
120,66
121,66
122,66
123,66
123,67
123,68
124,68
125,68
125,69
126,69
127,69
128,69
128,70
128,71
129,71
130,71
130,72
131,72
132,72
132,73
132,74
132,75
132,76
133,76
134,76
134,77
134,78
135,78
136,78
136,79
136,80
137,80
138,80
139,80
140,80
141,80
141,81
141,82
142,82
142,83
142,84
142,85
142,86
142,87
143,87
144,87
145,87
146,87
146,88
147,88
148,88
149,88
150,88
151,88
151,89
152,89
153,89
154,89
155,89
156,89
157,89
158,89
158,90
159,90
160,90
161,90
161,91
162,91
163,91
163,92
163,93
164,93
165,93
166,93
167,93
168,93
168,94
169,94
170,94
171,94
172,94
172,95
173,95
173,96
174,96
175,96
175,97
176,97
176,98
177,98
178,98
179,98
180,98
180,99
181,99
181,100
182,100
182,101
183,101
184,101
185,101
185,102
186,102
187,102
188,102
189,102
189,103
189,104
190,104
191,104
191,105
192,105
192,106
193,106
193,107
194,107
195,107
196,107
197,107
198,107
199,107
200,107
201,107
202,107
203,107
204,107
205,107
206,107
207,107
208,107
209,107
210,107
211,107
212,107
212,108
212,109
212,110
213,110
214,110
215,110
215,111
216,111
217,111
217,112
217,113
218,113
218,114
219,114
220,114
221,114
222,114
223,114
224,114
224,115
225,115
225,116
225,117
226,117
226,118
226,119
226,120
227,120
228,120
228,121
228,122
228,123
229,123
229,124
230,124
231,124
232,124
233,124
234,124
235,124
236,124
237,124
237,125
237,126
238,126
239,126
240,126
241,126
242,126
243,126
244,126
245,126
246,126
247,126
247,127
247,128
248,128
249,128
250,128
251,128
252,128
253,128
253,129
254,129
254,130
255,130
256,130
256,131
256,132
256,133
257,133
257,134
258,134
258,135
258,136
259,136
259,137
260,137
260,138
260,139
260,140
261,140
261,141
261,142
262,142
263,142
263,143
264,143
265,143
266,143
267,143
267,144
268,144
269,144
269,145
269,146
269,147
270,147
270,148
270,149
271,149
272,149
272,150
273,150
274,150
274,151
274,152
274,153
275,153
276,153
277,153
277,154
277,155
278,155
278,156
279,156
279,157
280,157
281,157
282,157
282,158
283,158
283,159
284,159
285,159
285,160
286,160
287,160
288,160
289,160
290,160
291,160
292,160
292,161
292,162
292,163
293,163
294,163
295,163
296,163
297,163
298,163
298,164
299,164
300,164
301,164
301,165
302,165
303,165
304,165
304,166
305,166
306,166
307,166
308,166
308,167
309,167
310,167
310,168
311,168
311,169
311,170
311,171
312,171
313,171
313,172
314,172
315,172
316,172
316,173
317,173
318,173
318,174
318,175
318,176
319,176
320,176
321,176
322,176
323,176
324,176
325,176
325,177
326,177
327,177
328,177
329,177
329,178
330,178
331,178
332,178
332,179
333,179
334,179
335,179
335,180
336,180
337,180
337,181
338,181
339,181
340,181
340,182
341,182
342,182
343,182
344,182
345,182
345,183
346,183
347,183
348,183
349,183
350,183
351,183
352,183
353,183
354,183
354,184
354,185
355,185
356,185
356,186
357,186
357,187
358,187
359,187
359,188
359,189
359,190
360,190
360,191
361,191
362,191
362,192
363,192
363,193
364,193
365,193
366,193
366,194
367,194
367,195
368,195
369,195
369,196
370,196
371,196
372,196
372,197
373,197
374,197
374,198
374,199
375,199
376,199
376,200
377,200
378,200
378,201
378,202
379,202
379,203
380,203
381,203
382,203
383,203
383,204
384,204
384,205
385,205
385,206
386,206
386,207
386,208
386,209
386,210
387,210
388,210
388,211
389,211
390,211
391,211
392,211
393,211
394,211
394,212
394,213
394,214
395,214
396,214
397,214
398,214
399,214
400,214
400,215
400,216
401,216
402,216
403,216
404,216
405,216
406,216
407,216
408,216
408,217
408,218
409,218
409,219
409,220
409,221
410,221
411,221
412,221
413,221
414,221
415,221
415,222
416,222
417,222
418,222
419,222
420,222
421,222
422,222
423,222
424,222
425,222
426,222
427,222
427,223
428,223
429,223
430,223
431,223
432,223
433,223
434,223
434,224
434,225
434,226
435,226
436,226
436,227
437,227
438,227
439,227
440,227
441,227
441,228
442,228
443,228
444,228
445,228
445,229
445,230
445,231
446,231
447,231
448,231
448,232
449,232
450,232
451,232
451,233
452,233
453,233
454,233
454,234
454,235
455,235
455,236
456,236
456,237
456,238
457,238
457,239
458,239
459,239
459,240
460,240
461,240
461,241
462,241
463,241
463,242
464,242
465,242
465,243
466,243
467,243
468,243
468,244
468,245
469,245
470,245
471,245
471,246
472,246
473,246
474,246
474,247
474,248
475,248
475,249
476,249
476,250
477,250
478,250
479,250
480,250
481,250
482,250
483,250
484,250
484,251
484,252
484,253
485,253
485,254
486,254
487,254
488,254
489,254
489,255
489,256
490,256
491,256
492,256
493,256
493,257
494,257
495,257
496,257
497,257
498,257
498,258
499,258
499,259
499,260
500,260
501,260
501,261
502,261
503,261
504,261
504,262
505,262
506,262
507,262
508,262
509,262
509,263
509,264
510,264
511,264
512,264
513,264
514,264
515,264
515,265
515,266
515,267
516,267
517,267
518,267
518,268
519,268
520,268
521,268
521,269
521,270
522,270
523,270
524,270
524,271
524,272
524,273
524,274
525,274
526,274
527,274
528,274
529,274
530,274
530,275
530,276
530,277
531,277
