OracleAgent 0,BetterRandomAgent 1
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
7,2
8,2
8,3
9,3
9,4
9,5
9,6
10,6
11,6
12,6
13,6
13,7
14,7
15,7
16,7
17,7
18,7
18,8
19,8
20,8
21,8
22,8
23,8
23,9
24,9
24,10
25,10
25,11
26,11
26,12
27,12
27,13
27,14
27,15
28,15
28,16
28,17
29,17
29,18
29,19
29,20
30,20
30,21
30,22
31,22
32,22
33,22
34,22
35,22
36,22
37,22
38,22
38,23
38,24
39,24
39,25
39,26
39,27
40,27
41,27
42,27
43,27
44,27
45,27
46,27
47,27
47,28
48,28
49,28
49,29
50,29
51,29
52,29
52,30
53,30
54,30
55,30
55,31
55,32
56,32
57,32
58,32
58,33
58,34
58,35
59,35
60,35
60,36
60,37
61,37
62,37
63,37
63,38
63,39
63,40
63,41
64,41
65,41
65,42
65,43
65,44
65,45
66,45
67,45
68,45
68,46
69,46
69,47
69,48
70,48
71,48
71,49
72,49
72,50
73,50
74,50
74,51
74,52
74,53
75,53
76,53
77,53
78,53
79,53
80,53
80,54
81,54
82,54
83,54
84,54
85,54
86,54
87,54
88,54
88,55
88,56
88,57
89,57
90,57
90,58
91,58
91,59
92,59
92,60
93,60
94,60
95,60
95,61
96,61
97,61
97,62
97,63
97,64
97,65
98,65
99,65
100,65
101,65
101,66
101,67
102,67
103,67
103,68
104,68
105,68
106,68
107,68
108,68
109,68
109,69
110,69
111,69
111,70
111,71
111,72
112,72
112,73
113,73
114,73
114,74
115,74
116,74
116,75
116,76
116,77
116,78
117,78
117,79
118,79
119,79
119,80
120,80
121,80
121,81
121,82
122,82
122,83
122,84
123,84
123,85
124,85
125,85
126,85
126,86
127,86
127,87
127,88
128,88
129,88
129,89
130,89
131,89
132,89
133,89
134,89
135,89
135,90
136,90
136,91
136,92
136,93
136,94
136,95
136,96
136,97
136,98
137,98
137,99
138,99
138,100
139,100
139,101
139,102
140,102
141,102
142,102
142,103
142,104
142,105
142,106
143,106
143,107
144,107
145,107
145,108
145,109
145,110
146,110
147,110
148,110
149,110
149,111
150,111
150,112
151,112
152,112
152,113
153,113
154,113
155,113
156,113
156,114
157,114
157,115
157,116
157,117
157,118
158,118
159,118
160,118
161,118
162,118
163,118
164,118
164,119
165,119
166,119
167,119
168,119
169,119
169,120
169,121
170,121
171,121
171,122
171,123
172,123
172,124
173,124
174,124
175,124
175,125
175,126
176,126
177,126
178,126
178,127
178,128
178,129
179,129
180,129
181,129
182,129
183,129
184,129
184,130
185,130
185,131
186,131
186,132
186,133
186,134
187,134
188,134
189,134
189,135
190,135
190,136
190,137
191,137
191,138
192,138
193,138
194,138
194,139
194,140
195,140
195,141
196,141
196,142
197,142
197,143
197,144
198,144
198,145
198,146
199,146
200,146
200,147
201,147
202,147
203,147
204,147
204,148
204,149
204,150
204,151
205,151
206,151
207,151
208,151
208,152
208,153
209,153
210,153
211,153
211,154
212,154
213,154
214,154
214,155
214,156
215,156
216,156
217,156
218,156
219,156
220,156
221,156
222,156
223,156
223,157
223,158
223,159
223,160
223,161
223,162
224,162
224,163
225,163
226,163
227,163
227,164
228,164
229,164
229,165
229,166
230,166
230,167
230,168
231,168
231,169
232,169
233,169
233,170
234,170
234,171
234,172
234,173
235,173
236,173
237,173
237,174
238,174
238,175
239,175
239,176
239,177
239,178
240,178
240,179
240,180
241,180
241,181
242,181
243,181
244,181
245,181
246,181
247,181
248,181
249,181
250,181
251,181
251,182
251,183
251,184
251,185
251,186
252,186
253,186
253,187
254,187
255,187
256,187
256,188
256,189
256,190
256,191
257,191
258,191
259,191
259,192
260,192
261,192
262,192
262,193
262,194
263,194
263,195
263,196
263,197
264,197
265,197
265,198
265,199
265,200
265,201
266,201
267,201
268,201
269,201
270,201
271,201
271,202
272,202
273,202
273,203
274,203
275,203
276,203
277,203
278,203
279,203
279,204
279,205
280,205
281,205
282,205
283,205
283,206
284,206
285,206
286,206
287,206
288,206
289,206
290,206
291,206
292,206
293,206
294,206
295,206
296,206
297,206
297,207
297,208
298,208
299,208
300,208
300,209
301,209
302,209
302,210
302,211
303,211
303,212
304,212
304,213
304,214
304,215
305,215
306,215
306,216
306,217
306,218
307,218
307,219
307,220
308,220
309,220
309,221
309,222
309,223
310,223
311,223
311,224
312,224
312,225
313,225
314,225
314,226
314,227
314,228
314,229
314,230
314,231
315,231
316,231
317,231
317,232
318,232
318,233
318,234
319,234
320,234
320,235
321,235
321,236
321,237
322,237
323,237
324,237
324,238
325,238
325,239
326,239
327,239
328,239
328,240
329,240
329,241
330,241
330,242
330,243
331,243
331,244
332,244
333,244
334,244
334,245
335,245
336,245
336,246
337,246
338,246
338,247
338,248
339,248
340,248
341,248
341,249
342,249
343,249
344,249
345,249
345,250
346,250
346,251
347,251
348,251
348,252
349,252
350,252
351,252
351,253
351,254
352,254
352,255
353,255
354,255
355,255
355,256
355,257
355,258
355,259
355,260
355,261
356,261
357,261
358,261
358,262
359,262
359,263
360,263
360,264
360,265
360,266
361,266
362,266
363,266
363,267
364,267
364,268
364,269
365,269
366,269
366,270
367,270
368,270
369,270
369,271
370,271
370,272
370,273
371,273
372,273
373,273
374,273
374,274
374,275
374,276
375,276
375,277
376,277
376,278
377,278
377,279
378,279
378,280
378,281
378,282
379,282
380,282
380,283
381,283
382,283
383,283
384,283
384,284
385,284
386,284
387,284
388,284
388,285
389,285
390,285
390,286
391,286
391,287
392,287
393,287
394,287
394,288
394,289
395,289
395,290
396,290
397,290
397,291
397,292
398,292
398,293
399,293
400,293
401,293
402,293
402,294
402,295
402,296
403,296
403,297
404,297
404,298
405,298
406,298
406,299
407,299
407,300
408,300
409,300
410,300
410,301
411,301
412,301
413,301
414,301
415,301
416,301
416,302
416,303
417,303
417,304
417,305
417,306
418,306
418,307
419,307
420,307
421,307
421,308
421,309
422,309
423,309
424,309
425,309
425,310
425,311
426,311
426,312
427,312
428,312
428,313
429,313
430,313
431,313
432,313
433,313
434,313
435,313
436,313
436,314
436,315
436,316
437,316
438,316
439,316
440,316
441,316
442,316
443,316
443,317
444,317
444,318
444,319
445,319
446,319
447,319
447,320
448,320
448,321
449,321
450,321
450,322
450,323
451,323
452,323
453,323
454,323
455,323
456,323
457,323
457,324
457,325
458,325
459,325
460,325
461,325
462,325
462,326
463,326
464,326
464,327
465,327
465,328
466,328
467,328
467,329
468,329
469,329
469,330
469,331
469,332
470,332
471,332
472,332
473,332
474,332
475,332
476,332
477,332
