OracleAgent 0,PruningRLAgent 1
1,0
1,1
2,1
3,1
4,1
5,1
6,1
7,1
7,2
7,3
7,4
8,4
9,4
9,5
10,5
11,5
12,5
12,6
13,6
13,7
13,8
14,8
15,8
16,8
16,9
17,9
18,9
18,10
19,10
20,10
20,11
21,11
22,11
23,11
23,12
24,12
25,12
26,12
27,12
28,12
29,12
30,12
30,13
31,13
31,14
32,14
33,14
34,14
35,14
36,14
37,14
38,14
39,14
40,14
41,14
41,15
41,16
41,17
42,17
43,17
43,18
43,19
43,20
43,21
43,22
44,22
45,22
45,23
46,23
47,23
48,23
48,24
48,25
49,25
49,26
49,27
49,28
49,29
49,30
50,30
51,30
52,30
53,30
54,30
55,30
55,31
56,31
57,31
57,32
58,32
58,33
59,33
60,33
61,33
61,34
62,34
63,34
64,34
64,35
65,35
66,35
67,35
67,36
68,36
68,37
68,38
68,39
69,39
69,40
69,41
70,41
71,41
72,41
73,41
74,41
74,42
74,43
75,43
75,44
75,45
76,45
77,45
77,46
77,47
78,47
79,47
79,48
80,48
81,48
82,48
83,48
83,49
83,50
83,51
84,51
84,52
85,52
85,53
85,54
85,55
85,56
85,57
85,58
86,58
86,59
87,59
87,60
88,60
88,61
89,61
90,61
91,61
91,62
91,63
92,63
93,63
94,63
95,63
95,64
95,65
96,65
97,65
98,65
99,65
100,65
100,66
100,67
101,67
102,67
103,67
104,67
104,68
104,69
104,70
104,71
104,72
104,73
105,73
106,73
106,74
107,74
108,74
109,74
110,74
111,74
112,74
113,74
114,74
115,74
115,75
115,76
116,76
117,76
118,76
118,77
119,77
120,77
121,77
122,77
123,77
123,78
123,79
123,80
124,80
124,81
125,81
126,81
127,81
128,81
128,82
129,82
130,82
131,82
132,82
133,82
134,82
135,82
136,82
136,83
137,83
137,84
138,84
139,84
139,85
140,85
140,86
140,87
141,87
142,87
143,87
144,87
145,87
146,87
146,88
147,88
147,89
148,89
149,89
150,89
150,90
151,90
151,91
152,91
153,91
153,92
153,93
154,93
155,93
156,93
157,93
158,93
158,94
159,94
160,94
161,94
162,94
162,95
163,95
164,95
165,95
166,95
166,96
167,96
168,96
169,96
169,97
170,97
171,97
171,98
172,98
173,98
173,99
173,100
174,100
175,100
175,101
176,101
176,102
176,103
176,104
176,105
177,105
178,105
178,106
178,107
179,107
179,108
180,108
180,109
181,109
181,110
181,111
182,111
183,111
184,111
185,111
186,111
187,111
188,111
189,111
189,112
190,112
190,113
191,113
192,113
193,113
194,113
195,113
195,114
196,114
197,114
197,115
197,116
197,117
198,117
199,117
200,117
201,117
202,117
203,117
204,117
205,117
206,117
207,117
208,117
209,117
209,118
209,119
210,119
211,119
212,119
213,119
214,119
215,119
216,119
217,119
218,119
218,120
219,120
220,120
221,120
222,120
222,121
222,122
223,122
224,122
225,122
225,123
226,123
227,123
228,123
228,124
228,125
228,126
229,126
229,127
230,127
231,127
232,127
233,127
233,128
233,129
234,129
234,130
234,131
235,131
235,132
235,133
236,133
237,133
238,133
239,133
240,133
241,133
242,133
243,133
244,133
245,133
245,134
245,135
246,135
246,136
247,136
247,137
248,137
249,137
250,137
251,137
252,137
252,138
253,138
254,138
255,138
256,138
257,138
258,138
258,139
258,140
259,140
260,140
261,140
261,141
262,141
263,141
264,141
265,141
265,142
266,142
267,142
268,142
269,142
270,142
270,143
270,144
271,144
272,144
273,144
273,145
273,146
274,146
274,147
275,147
275,148
276,148
276,149
277,149
278,149
279,149
280,149
281,149
282,149
283,149
284,149
284,150
285,150
286,150
287,150
288,150
289,150
290,150
291,150
292,150
292,151
292,152
293,152
293,153
293,154
294,154
295,154
296,154
296,155
296,156
297,156
297,157
298,157
298,158
299,158
300,158
301,158
301,159
302,159
303,159
304,159
305,159
306,159
306,160
306,161
306,162
307,162
307,163
307,164
308,164
309,164
310,164
310,165
311,165
312,165
312,166
313,166
314,166
314,167
315,167
316,167
317,167
318,167
319,167
320,167
321,167
321,168
322,168
322,169
322,170
323,170
324,170
325,170
325,171
326,171
327,171
328,171
329,171
329,172
330,172
331,172
332,172
333,172
334,172
335,172
336,172
336,173
337,173
338,173
339,173
340,173
341,173
341,174
341,175
341,176
342,176
343,176
344,176
345,176
346,176
347,176
347,177
348,177
348,178
349,178
350,178
351,178
351,179
352,179
353,179
354,179
355,179
356,179
356,180
357,180
357,181
358,181
359,181
359,182
360,182
360,183
360,184
360,185
361,185
362,185
363,185
363,186
363,187
364,187
365,187
366,187
367,187
367,188
368,188
369,188
369,189
370,189
370,190
370,191
371,191
372,191
373,191
373,192
373,193
373,194
374,194
375,194
376,194
377,194
378,194
378,195
379,195
380,195
380,196
380,197
381,197
381,198
382,198
383,198
383,199
383,200
383,201
383,202
384,202
385,202
385,203
386,203
387,203
387,204
388,204
388,205
388,206
389,206
389,207
389,208
390,208
390,209
391,209
392,209
393,209
394,209
395,209
396,209
397,209
397,210
397,211
397,212
398,212
399,212
400,212
401,212
402,212
403,212
404,212
405,212
405,213
405,214
406,214
406,215
406,216
407,216
407,217
408,217
409,217
410,217
411,217
412,217
412,218
412,219
412,220
413,220
413,221
414,221
415,221
415,222
415,223
416,223
417,223
418,223
418,224
419,224
420,224
421,224
422,224
422,225
423,225
424,225
425,225
425,226
425,227
426,227
426,228
426,229
426,230
426,231
427,231
427,232
427,233
428,233
429,233
430,233
430,234
431,234
432,234
433,234
434,234
435,234
436,234
437,234
437,235
437,236
438,236
438,237
439,237
440,237
440,238
440,239
440,240
441,240
442,240
443,240
444,240
445,240
446,240
446,241
447,241
448,241
449,241
450,241
451,241
452,241
452,242
452,243
453,243
453,244
454,244
455,244
456,244
457,244
458,244
459,244
459,245
460,245
461,245
461,246
462,246
462,247
463,247
464,247
465,247
466,247
467,247
468,247
468,248
469,248
470,248
471,248
471,249
471,250
472,250
473,250
473,251
474,251
474,252
475,252
476,252
477,252
477,253
478,253
478,254
479,254
479,255
479,256
480,256
480,257
481,257
482,257
483,257
484,257
485,257
485,258
486,258
487,258
488,258
489,258
490,258
491,258
492,258
493,258
493,259
494,259
494,260
494,261
495,261
496,261
496,262
497,262
497,263
497,264
498,264
499,264
500,264
500,265
501,265
502,265
503,265
504,265
505,265
505,266
505,267
506,267
506,268
506,269
507,269
508,269
509,269
510,269
511,269
512,269
513,269
514,269
515,269
516,269
517,269
518,269
519,269
520,269
520,270
521,270
521,271
522,271
522,272
523,272
524,272
525,272
525,273
525,274
525,275
526,275
527,275
528,275
528,276
529,276
530,276
530,277
530,278
531,278
532,278
533,278
534,278
534,279
535,279
535,280
536,280
537,280
538,280
539,280
539,281
539,282
540,282
541,282
542,282
543,282
544,282
544,283
544,284
545,284
546,284
547,284
548,284
549,284
550,284
551,284
551,285
551,286
552,286
553,286
554,286
555,286
555,287
556,287
556,288
556,289
557,289
558,289
558,290
559,290
559,291
560,291
561,291
561,292
561,293
562,293
563,293
564,293
564,294
565,294
566,294
566,295
567,295
568,295
569,295
570,295
571,295
571,296
572,296
572,297
573,297
573,298
574,298
575,298
576,298
577,298
577,299
578,299
578,300
579,300
580,300
580,301
581,301
581,302
582,302
583,302
584,302
585,302
586,302
587,302
588,302
588,303
589,303
590,303
591,303
591,304
591,305
592,305
593,305
593,306
594,306
594,307
595,307
595,308
596,308
597,308
597,309
597,310
597,311
597,312
598,312
598,313
599,313
600,313
601,313
602,313
602,314
603,314
604,314
605,314
605,315
606,315
606,316
607,316
608,316
609,316
610,316
610,317
610,318
611,318
612,318
613,318
614,318
615,318
615,319
616,319
616,320
616,321
617,321
618,321
619,321
619,322
620,322
620,323
620,324
621,324
621,325
622,325
623,325
623,326
624,326
625,326
626,326
626,327
627,327
628,327
628,328
628,329
629,329
630,329
631,329
631,330
632,330
633,330
633,331
633,332
633,333
634,333
635,333
635,334
636,334
636,335
636,336
636,337
637,337
637,338
638,338
639,338
640,338
641,338
641,339
642,339
643,339
644,339
645,339
645,340
645,341
646,341
647,341
647,342
648,342
648,343
649,343
650,343
651,343
652,343
652,344
653,344
654,344
654,345
654,346
655,346
656,346
657,346
657,347
657,348
658,348
658,349
659,349
660,349
660,350
661,350
662,350
662,351
662,352
662,353
663,353
664,353
665,353
666,353
666,354
666,355
667,355
667,356
668,356
669,356
669,357
670,357
671,357
672,357
673,357
674,357
675,357
675,358
676,358
676,359
676,360
676,361
676,362
676,363
677,363
678,363
679,363
680,363
680,364
681,364
682,364
683,364
684,364
684,365
684,366
685,366
686,366
687,366
688,366
689,366
690,366
690,367
691,367
692,367
693,367
694,367
695,367
695,368
695,369
696,369
697,369
698,369
699,369
700,369
700,370
701,370
701,371
702,371
703,371
703,372
703,373
703,374
704,374
705,374
706,374
706,375
707,375
708,375
708,376
709,376
709,377
710,377
710,378
710,379
711,379
712,379
713,379
713,380
714,380
715,380
716,380
717,380
718,380
719,380
720,380
721,380
721,381
722,381
722,382
722,383
723,383
724,383
725,383
725,384
726,384
727,384
728,384
728,385
729,385
730,385
730,386
730,387
730,388
730,389
731,389
732,389
732,390
733,390
733,391
733,392
734,392
735,392
736,392
736,393
736,394
736,395
736,396
736,397
737,397
738,397
739,397
740,397
741,397
742,397
743,397
744,397
745,397
746,397
747,397
747,398
748,398
749,398
750,398
751,398
752,398
752,399
753,399
754,399
755,399
755,400
755,401
756,401
757,401
758,401
759,401
760,401
761,401
762,401
763,401
764,401
764,402
765,402
765,403
766,403
766,404
767,404
768,404
768,405
769,405
769,406
770,406
771,406
772,406
773,406
774,406
774,407
774,408
775,408
776,408
777,408
778,408
779,408
780,408
781,408
781,409
781,410
782,410
783,410
784,410
785,410
786,410
786,411
787,411
788,411
789,411
789,412
790,412
791,412
791,413
792,413
792,414
793,414
794,414
795,414
796,414
797,414
798,414
799,414
800,414
800,415
801,415
802,415
803,415
804,415
805,415
805,416
805,417
805,418
806,418
807,418
808,418
808,419
809,419
809,420
809,421
810,421
811,421
811,422
811,423
812,423
813,423
814,423
815,423
816,423
816,424
817,424
817,425
818,425
819,425
820,425
821,425
822,425
823,425
823,426
824,426
825,426
825,427
826,427
827,427
828,427
829,427
829,428
830,428
831,428
832,428
833,428
834,428
835,428
836,428
836,429
836,430
837,430
838,430
839,430
840,430
840,431
841,431
841,432
842,432
842,433
842,434
843,434
844,434
845,434
846,434
846,435
846,436
847,436
848,436
848,437
849,437
850,437
851,437
852,437
852,438
853,438
854,438
855,438
856,438
856,439
857,439
857,440
857,441
857,442
857,443
858,443
859,443
860,443
861,443
861,444
862,444
863,444
864,444
865,444
866,444
867,444
867,445
868,445
868,446
869,446
869,447
870,447
870,448
871,448
872,448
873,448
873,449
874,449
875,449
876,449
876,450
877,450
878,450
878,451
879,451
880,451
881,451
881,452
881,453
881,454
882,454
883,454
883,455
884,455
885,455
885,456
886,456
887,456
888,456
889,456
889,457
889,458
890,458
890,459
891,459
892,459
893,459
894,459
894,460
894,461
894,462
895,462
895,463
895,464
896,464
897,464
897,465
897,466
898,466
899,466
899,467
900,467
901,467
902,467
902,468
903,468
904,468
905,468
906,468
907,468
907,469
908,469
909,469
909,470
910,470
910,471
910,472
911,472
911,473
912,473
913,473
914,473
914,474
915,474
915,475
915,476
915,477
916,477
917,477
917,478
918,478
919,478
920,478
921,478
921,479
922,479
922,480
923,480
923,481
924,481
924,482
925,482
926,482
927,482
928,482
928,483
929,483
930,483
931,483
932,483
933,483
934,483
935,483
936,483
936,484
936,485
936,486
937,486
938,486
939,486
939,487
939,488
940,488
941,488
942,488
943,488
943,489
944,489
945,489
946,489
947,489
948,489
949,489
949,490
950,490
951,490
952,490
953,490
953,491
954,491
955,491
955,492
956,492
957,492
957,493
957,494
957,495
957,496
958,496
959,496
960,496
961,496
962,496
963,496
963,497
964,497
965,497
966,497
967,497
968,497
969,497
969,498
969,499
970,499
970,500
970,501
970,502
971,502
972,502
973,502
973,503
974,503
974,504
975,504
975,505
975,506
976,506
976,507
976,508
976,509
977,509
978,509
978,510
978,511
978,512
978,513
979,513
979,514
980,514
981,514
982,514
982,515
983,515
983,516
984,516
985,516
985,517
986,517
987,517
987,518
988,518
989,518
989,519
989,520
990,520
990,521
990,522
991,522
992,522
993,522
994,522
994,523
995,523
996,523
997,523
998,523
998,524
999,524
999,525
1000,525
1001,525
1001,526
1002,526
1002,527
1003,527
1004,527
1005,527
1005,528
1005,529
1005,530
1005,531
1006,531
1007,531
1008,531
1009,531
1010,531
1011,531
1012,531
1013,531
1014,531
1015,531
1016,531
1017,531
1017,532
1018,532
1019,532
1020,532
1021,532
1022,532
1023,532
1023,533
1024,533
1025,533
1025,534
1025,535
1026,535
1027,535
1027,536
1028,536
1028,537
1029,537
1030,537
1030,538
1030,539
1030,540
1030,541
1031,541
1032,541
1033,541
1034,541
1035,541
1036,541
1037,541
1037,542
1038,542
1038,543
1039,543
1039,544
1040,544
1041,544
1042,544
1043,544
1044,544
1044,545
1045,545
1046,545
1047,545
1048,545
1049,545
1050,545
1051,545
1052,545
1053,545
1054,545
1054,546
1055,546
1056,546
1057,546
1057,547
1057,548
1058,548
1059,548
1060,548
1060,549
1061,549
1061,550
1062,550
1062,551
1063,551
1063,552
1063,553
1064,553
1064,554
1064,555
1065,555
1066,555
1066,556
1067,556
1068,556
1069,556
1070,556
1071,556
1071,557
1072,557
1073,557
1073,558
1073,559
1073,560
1073,561
1073,562
1074,562
1074,563
1074,564
1075,564
1076,564
1077,564
1078,564
1078,565
1078,566
1079,566
1079,567
1080,567
1080,568
1080,569
1080,570
1081,570
1081,571
1082,571
1083,571
1084,571
1084,572
1085,572
1085,573
1086,573
1086,574
1086,575
1086,576
1086,577
1086,578
1087,578
1088,578
1088,579
1089,579
1090,579
1091,579
1092,579
1093,579
1094,579
1095,579
1095,580
1096,580
1097,580
1097,581
1098,581
1098,582
1098,583
1099,583
1100,583
1100,584
1100,585
1100,586
1101,586
1102,586
1102,587
1103,587
1104,587
1105,587
1105,588
1106,588
1107,588
1108,588
1108,589
1109,589
1110,589
1110,590
1111,590
1111,591
1111,592
1112,592
1112,593
1112,594
1112,595
1113,595
1114,595
1115,595
1115,596
1115,597
1115,598
1116,598
1117,598
1118,598
1118,599
1118,600
1118,601
1118,602
1119,602
1119,603
1119,604
1119,605
1120,605
1121,605
1122,605
1123,605
1124,605
1125,605
1126,605
1127,605
1128,605
1129,605
1130,605
1130,606
1131,606
1131,607
1132,607
1133,607
1134,607
1135,607
1135,608
1136,608
1136,609
1137,609
1138,609
1139,609
1140,609
1141,609
1141,610
1142,610
1143,610
1144,610
1144,611
1145,611
1146,611
1147,611
1148,611
1149,611
1150,611
1150,612
1151,612
1152,612
1153,612
1154,612
1154,613
1154,614
1155,614
1156,614
1157,614
1157,615
1157,616
1158,616
1158,617
1158,618
1159,618
1160,618
1161,618
1161,619
1161,620
1161,621
1162,621
1162,622
1163,622
1164,622
1165,622
1165,623
1166,623
1167,623
1167,624
1168,624
1169,624
1169,625
1170,625
1170,626
1171,626
1172,626
1172,627
1172,628
1172,629
1172,630
1172,631
1173,631
1174,631
1174,632
1175,632
1175,633
1175,634
1176,634
1176,635
1177,635
1177,636
1178,636
1178,637
1179,637
1179,638
1180,638
1181,638
1182,638
1183,638
1183,639
1184,639
1185,639
1186,639
1187,639
1187,640
1187,641
1188,641
1189,641
1190,641
1191,641
1191,642
1192,642
1193,642
1194,642
1195,642
1196,642
1197,642
1198,642
1199,642
1200,642
1200,643
1201,643
1202,643
1202,644
1202,645
1203,645
1203,646
1203,647
1203,648
1204,648
1205,648
1205,649
1206,649
1207,649
1207,650
1207,651
1207,652
1207,653
1208,653
1208,654
1209,654
1210,654
1211,654
1212,654
1213,654
1214,654
1215,654
1216,654
1216,655
1217,655
1218,655
1218,656
1218,657
1218,658
1219,658
1220,658
1221,658
1222,658
1223,658
1224,658
1225,658
1226,658
1226,659
1227,659
1228,659
1229,659
1230,659
1231,659
1232,659
1232,660
1233,660
1234,660
1234,661
1235,661
1235,662
1235,663
1235,664
1236,664
1236,665
1237,665
1237,666
1238,666
1238,667
1238,668
1239,668
1240,668
1240,669
1240,670
1241,670
1241,671
1242,671
1243,671
1243,672
1244,672
1245,672
1245,673
1246,673
1247,673
1248,673
1248,674
1248,675
1249,675
1250,675
1251,675
1251,676
1252,676
1253,676
1253,677
1254,677
1255,677
1256,677
1257,677
1258,677
1258,678
1259,678
1260,678
1260,679
1260,680
1261,680
1262,680
1263,680
1264,680
1264,681
1265,681
1265,682
1266,682
1267,682
1268,682
1269,682
1269,683
1269,684
1270,684
1270,685
1271,685
1272,685
1273,685
1273,686
1274,686
1275,686
1276,686
1276,687
1276,688
1277,688
1278,688
1278,689
1279,689
1280,689
1281,689
1282,689
1282,690
1283,690
1283,691
1284,691
1285,691
1286,691
1286,692
1287,692
1288,692
1289,692
1290,692
1291,692
1292,692
1292,693
1292,694
1293,694
1294,694
1295,694
1296,694
1297,694
1297,695
1298,695
1299,695
1299,696
1300,696
1301,696
1302,696
1303,696
1303,697
1303,698
1304,698
1305,698
1305,699
1306,699
1306,700
1306,701
1307,701
1307,702
1308,702
1309,702
1309,703
1309,704
1309,705
1310,705
1311,705
1312,705
1313,705
1313,706
1314,706
1314,707
1315,707
1315,708
1315,709
1316,709
1317,709
1318,709
1319,709
1319,710
1320,710
1320,711
1320,712
1320,713
1320,714
1321,714
1322,714
1323,714
1324,714
1325,714
1326,714
1327,714
1327,715
1327,716
1327,717
1328,717
1329,717
1330,717
1330,718
1331,718
1332,718
1333,718
1333,719
1334,719
1335,719
1336,719
1337,719
1338,719
1339,719
1339,720
1340,720
1341,720
1342,720
1343,720
1343,721
1344,721
1344,722
1345,722
1346,722
1346,723
1347,723
1348,723
1348,724
1349,724
1349,725
1349,726
1349,727
1349,728
1349,729
1350,729
1351,729
1351,730
1351,731
1352,731
1352,732
1353,732
1354,732
1355,732
1356,732
1356,733
1357,733
1357,734
1358,734
1358,735
1358,736
1358,737
1359,737
1360,737
1360,738
1361,738
1362,738
1363,738
1364,738
1364,739
1365,739
1366,739
1367,739
1368,739
1369,739
1370,739
1371,739
1372,739
1372,740
1373,740
1374,740
1375,740
1375,741
1375,742
1376,742
1376,743
1376,744
1377,744
1378,744
1379,744
1379,745
1379,746
1379,747
1380,747
1381,747
1381,748
1382,748
1383,748
1384,748
1385,748
1385,749
1385,750
1386,750
1386,751
1386,752
1387,752
1388,752
1388,753
1389,753
1389,754
1390,754
1390,755
1391,755
1391,756
1392,756
1393,756
1393,757
1394,757
1395,757
1396,757
1397,757
1398,757
1398,758
1399,758
1400,758
1401,758
1402,758
1402,759
1403,759
1404,759
1404,760
1405,760
1406,760
1407,760
1407,761
1408,761
1409,761
1410,761
1411,761
1412,761
1413,761
1414,761
1415,761
1415,762
1416,762
1417,762
1417,763
1418,763
1419,763
1420,763
1420,764
1421,764
1422,764
1423,764
1424,764
1425,764
1425,765
1425,766
1426,766
1427,766
1428,766
1428,767
1428,768
1429,768
1430,768
1430,769
1431,769
1431,770
1431,771
1431,772
1432,772
1433,772
1434,772
1435,772
1436,772
1436,773
1437,773
1438,773
1439,773
1440,773
1441,773
1442,773
1442,774
1443,774
1444,774
1444,775
1445,775
1445,776
1445,777
1445,778
1445,779
1446,779
1446,780
1446,781
1447,781
1447,782
1448,782
1449,782
1450,782
1451,782
1452,782
1452,783
1453,783
1454,783
1455,783
1455,784
1455,785
1456,785
1456,786
1457,786
1458,786
1458,787
1459,787
1459,788
1459,789
1459,790
1460,790
1461,790
1462,790
1462,791
1462,792
1462,793
1463,793
1463,794
1464,794
1464,795
1465,795
1466,795
1466,796
1467,796
1468,796
1469,796
1470,796
1471,796
1471,797
1471,798
1472,798
1473,798
1474,798
1474,799
1475,799
1475,800
1476,800
1477,800
1478,800
1479,800
1480,800
1481,800
1481,801
1481,802
1482,802
1483,802
1484,802
1485,802
1486,802
1487,802
1488,802
1488,803
1489,803
1489,804
1489,805
1489,806
1490,806
1491,806
1491,807
1492,807
1493,807
1494,807
1495,807
1495,808
1495,809
1495,810
1495,811
1495,812
1495,813
1495,814
1495,815
1496,815
1497,815
1498,815
1498,816
1499,816
1500,816
1501,816
1502,816
1503,816
1504,816
1505,816
1506,816
1506,817
1506,818
1507,818
1508,818
1508,819
1509,819
1510,819
1511,819
1512,819
1513,819
1514,819
1515,819
1516,819
1517,819
1518,819
1519,819
1519,820
1519,821
1520,821
1521,821
1521,822
1522,822
1523,822
1524,822
1525,822
1526,822
1527,822
1527,823
1528,823
1529,823
1530,823
1530,824
1531,824
1532,824
1533,824
1534,824
1535,824
1535,825
1535,826
1535,827
1536,827
1536,828
1536,829
1536,830
1536,831
1536,832
1537,832
1538,832
1539,832
1539,833
1539,834
1539,835
1540,835
1541,835
1542,835
1543,835
1544,835
1545,835
1545,836
1546,836
1547,836
1548,836
1548,837
1549,837
1549,838
1550,838
1551,838
1551,839
1551,840
1551,841
1552,841
1552,842
1552,843
1552,844
1552,845
1552,846
1553,846
1553,847
1553,848
1553,849
1554,849
1554,850
1554,851
1555,851
1556,851
1556,852
1557,852
1558,852
1559,852
1560,852
1561,852
1562,852
1563,852
1563,853
1564,853
1564,854
1565,854
1566,854
1567,854
1568,854
1569,854
1570,854
1570,855
1570,856
1570,857
1571,857
1571,858
1571,859
1572,859
1573,859
1574,859
1574,860
1575,860
1575,861
1576,861
1577,861
1578,861
1579,861
1580,861
1581,861
1581,862
1581,863
1581,864
1582,864
1583,864
1584,864
1585,864
1586,864
1587,864
1587,865
1588,865
1588,866
1588,867
1588,868
1589,868
1589,869
1590,869
1591,869
1591,870
1591,871
1591,872
1592,872
1593,872
1594,872
1595,872
1595,873
1596,873
1596,874
1597,874
1597,875
1598,875
1599,875
1599,876
1600,876
1601,876
1602,876
1603,876
1604,876
1605,876
1606,876
1606,877
1607,877
1607,878
1608,878
1608,879
1608,880
1608,881
1609,881
1610,881
1611,881
1612,881
1612,882
1613,882
1613,883
1613,884
1614,884
1615,884
1616,884
1617,884
1618,884
1619,884
1619,885
1620,885
1620,886
1621,886
1622,886
1623,886
1623,887
1623,888
1623,889
1624,889
1625,889
1626,889
1627,889
1628,889
1629,889
1630,889
1630,890
1631,890
1632,890
1633,890
1633,891
1634,891
1634,892
1634,893
1635,893
1635,894
1636,894
1637,894
1637,895
1638,895
1639,895
1640,895
1641,895
1642,895
1643,895
1644,895
1644,896
1645,896
1646,896
1646,897
1646,898
1647,898
1648,898
1649,898
1649,899
1650,899
1650,900
1651,900
1652,900
1652,901
1653,901
1653,902
1654,902
1654,903
