PruningRLAgent 0,IsmctsAgent 1
0,1
0,2
1,2
1,3
1,4
2,4
3,4
3,5
3,6
3,7
3,8
4,8
4,9
4,10
5,10
5,11
5,12
5,13
6,13
6,14
7,14
7,15
8,15
8,16
8,17
9,17
10,17
10,18
10,19
10,20
10,21
11,21
11,22
12,22
12,23
12,24
12,25
13,25
13,26
13,27
13,28
13,29
13,30
13,31
13,32
13,33
13,34
13,35
13,36
13,37
14,37
14,38
14,39
14,40
14,41
14,42
14,43
14,44
15,44
16,44
16,45
16,46
16,47
16,48
17,48
17,49
17,50
17,51
17,52
18,52
18,53
18,54
18,55
18,56
18,57
19,57
19,58
19,59
19,60
19,61
19,62
19,63
19,64
19,65
19,66
19,67
19,68
19,69
19,70
19,71
19,72
19,73
19,74
19,75
19,76
19,77
19,78
19,79
19,80
20,80
20,81
21,81
21,82
22,82
22,83
22,84
22,85
22,86
22,87
22,88
22,89
22,90
23,90
23,91
23,92
23,93
24,93
24,94
25,94
25,95
26,95
26,96
26,97
27,97
27,98
27,99
27,100
27,101
28,101
28,102
28,103
29,103
29,104
30,104
30,105
30,106
31,106
31,107
31,108
32,108
32,109
33,109
33,110
33,111
34,111
34,112
34,113
34,114
34,115
35,115
35,116
36,116
36,117
37,117
38,117
38,118
39,118
39,119
39,120
40,120
40,121
41,121
42,121
42,122
42,123
42,124
42,125
42,126
42,127
43,127
43,128
43,129
43,130
43,131
44,131
44,132
45,132
45,133
45,134
45,135
46,135
46,136
46,137
46,138
46,139
46,140
46,141
46,142
47,142
48,142
48,143
48,144
48,145
49,145
50,145
51,145
51,146
52,146
52,147
52,148
52,149
52,150
52,151
53,151
53,152
53,153
53,154
53,155
53,156
53,157
53,158
53,159
53,160
54,160
54,161
55,161
55,162
56,162
56,163
56,164
56,165
57,165
57,166
57,167
57,168
58,168
58,169
59,169
59,170
59,171
60,171
60,172
60,173
61,173
61,174
62,174
62,175
62,176
62,177
63,177
63,178
64,178
64,179
64,180
64,181
64,182
65,182
65,183
66,183
67,183
68,183
69,183
70,183
70,184
70,185
71,185
72,185
73,185
73,186
74,186
75,186
75,187
76,187
77,187
77,188
77,189
77,190
78,190
78,191
78,192
78,193
79,193
79,194
80,194
81,194
82,194
83,194
83,195
83,196
83,197
84,197
84,198
85,198
85,199
85,200
86,200
87,200
87,201
87,202
87,203
87,204
88,204
89,204
90,204
90,205
90,206
90,207
91,207
91,208
92,208
92,209
92,210
92,211
93,211
93,212
93,213
93,214
94,214
94,215
94,216
95,216
96,216
97,216
98,216
98,217
98,218
99,218
100,218
100,219
100,220
101,220
102,220
102,221
102,222
102,223
102,224
103,224
103,225
103,226
104,226
105,226
106,226
106,227
106,228
106,229
107,229
107,230
107,231
107,232
107,233
107,234
107,235
107,236
108,236
108,237
109,237
110,237
111,237
112,237
113,237
114,237
114,238
114,239
114,240
114,241
114,242
114,243
115,243
115,244
115,245
115,246
115,247
116,247
116,248
116,249
117,249
118,249
118,250
118,251
119,251
119,252
119,253
120,253
120,254
120,255
120,256
120,257
120,258
120,259
120,260
120,261
120,262
121,262
122,262
122,263
122,264
123,264
124,264
124,265
125,265
125,266
125,267
125,268
125,269
125,270
126,270
126,271
126,272
127,272
127,273
128,273
128,274
128,275
129,275
129,276
130,276
130,277
130,278
131,278
132,278
132,279
132,280
132,281
133,281
134,281
134,282
135,282
135,283
135,284
136,284
137,284
137,285
137,286
138,286
138,287
139,287
140,287
140,288
140,289
140,290
141,290
142,290
142,291
142,292
143,292
143,293
144,293
145,293
145,294
145,295
145,296
145,297
146,297
146,298
146,299
147,299
147,300
147,301
148,301
148,302
148,303
148,304
148,305
148,306
148,307
149,307
149,308
149,309
150,309
150,310
150,311
150,312
151,312
152,312
152,313
152,314
152,315
153,315
153,316
154,316
155,316
155,317
156,317
156,318
157,318
157,319
158,319
159,319
159,320
160,320
160,321
161,321
161,322
161,323
161,324
162,324
162,325
162,326
162,327
162,328
162,329
162,330
162,331
162,332
163,332
164,332
165,332
166,332
167,332
168,332
168,333
169,333
169,334
170,334
170,335
171,335
171,336
172,336
172,337
172,338
172,339
172,340
172,341
172,342
173,342
174,342
174,343
174,344
175,344
176,344
176,345
176,346
176,347
176,348
176,349
176,350
177,350
177,351
178,351
178,352
179,352
179,353
179,354
179,355
180,355
180,356
180,357
180,358
180,359
180,360
181,360
181,361
181,362
182,362
182,363
183,363
183,364
183,365
183,366
183,367
183,368
184,368
184,369
184,370
185,370
185,371
186,371
186,372
187,372
188,372
188,373
188,374
188,375
189,375
190,375
190,376
190,377
190,378
191,378
191,379
191,380
192,380
193,380
194,380
194,381
194,382
194,383
195,383
195,384
196,384
196,385
197,385
198,385
199,385
200,385
201,385
201,386
201,387
201,388
202,388
202,389
203,389
204,389
204,390
204,391
204,392
204,393
204,394
204,395
205,395
205,396
205,397
205,398
205,399
206,399
207,399
208,399
209,399
210,399
210,400
210,401
211,401
211,402
212,402
213,402
214,402
214,403
215,403
216,403
216,404
217,404
217,405
217,406
217,407
218,407
218,408
218,409
218,410
218,411
219,411
220,411
221,411
222,411
222,412
222,413
222,414
222,415
222,416
223,416
224,416
225,416
225,417
225,418
226,418
226,419
226,420
226,421
227,421
227,422
227,423
228,423
229,423
230,423
230,424
230,425
230,426
230,427
231,427
232,427
232,428
232,429
232,430
233,430
233,431
233,432
233,433
234,433
235,433
235,434
235,435
235,436
235,437
236,437
236,438
236,439
237,439
237,440
238,440
239,440
240,440
240,441
240,442
240,443
240,444
240,445
240,446
240,447
240,448
240,449
240,450
240,451
240,452
240,453
240,454
241,454
241,455
241,456
241,457
241,458
242,458
242,459
242,460
243,460
243,461
243,462
243,463
243,464
243,465
243,466
243,467
243,468
243,469
243,470
244,470
245,470
246,470
247,470
248,470
248,471
248,472
248,473
248,474
248,475
249,475
249,476
250,476
251,476
251,477
252,477
253,477
253,478
254,478
254,479
255,479
255,480
255,481
256,481
256,482
256,483
257,483
257,484
258,484
258,485
259,485
259,486
259,487
259,488
259,489
259,490
259,491
259,492
260,492
260,493
260,494
260,495
261,495
261,496
262,496
263,496
264,496
265,496
265,497
265,498
265,499
265,500
266,500
267,500
268,500
268,501
268,502
268,503
268,504
269,504
270,504
271,504
271,505
271,506
272,506
272,507
272,508
273,508
273,509
273,510
273,511
273,512
273,513
273,514
273,515
273,516
273,517
273,518
273,519
274,519
274,520
274,521
274,522
275,522
275,523
276,523
276,524
276,525
276,526
276,527
277,527
277,528
277,529
278,529
278,530
278,531
279,531
279,532
279,533
279,534
279,535
280,535
281,535
281,536
282,536
282,537
282,538
283,538
284,538
284,539
284,540
284,541
284,542
284,543
284,544
284,545
284,546
285,546
285,547
285,548
286,548
287,548
287,549
288,549
288,550
288,551
288,552
288,553
289,553
290,553
290,554
290,555
290,556
291,556
291,557
292,557
293,557
293,558
293,559
293,560
294,560
295,560
296,560
296,561
297,561
297,562
297,563
298,563
298,564
299,564
299,565
299,566
299,567
299,568
300,568
300,569
300,570
300,571
