PruningRLAgent 0,OracleAgent 1
0,1
0,2
1,2
2,2
2,3
3,3
4,3
5,3
5,4
5,5
5,6
5,7
5,8
6,8
6,9
6,10
6,11
7,11
7,12
8,12
9,12
9,13
9,14
9,15
9,16
10,16
10,17
11,17
11,18
11,19
12,19
12,20
13,20
14,20
14,21
14,22
14,23
14,24
14,25
15,25
15,26
15,27
15,28
15,29
16,29
17,29
17,30
17,31
17,32
17,33
18,33
18,34
19,34
20,34
21,34
21,35
21,36
21,37
22,37
22,38
23,38
23,39
23,40
23,41
23,42
24,42
24,43
24,44
24,45
24,46
24,47
24,48
24,49
24,50
24,51
24,52
25,52
25,53
26,53
26,54
26,55
27,55
28,55
28,56
28,57
28,58
29,58
29,59
29,60
29,61
29,62
30,62
30,63
31,63
32,63
32,64
32,65
32,66
32,67
33,67
34,67
34,68
34,69
35,69
36,69
36,70
37,70
37,71
37,72
37,73
37,74
37,75
37,76
38,76
38,77
39,77
39,78
40,78
40,79
40,80
40,81
41,81
41,82
42,82
42,83
42,84
42,85
43,85
44,85
44,86
44,87
44,88
44,89
44,90
45,90
45,91
46,91
46,92
46,93
46,94
46,95
46,96
46,97
46,98
46,99
46,100
47,100
48,100
49,100
49,101
50,101
50,102
50,103
50,104
50,105
50,106
50,107
51,107
51,108
51,109
51,110
52,110
53,110
53,111
54,111
55,111
55,112
56,112
56,113
56,114
56,115
56,116
57,116
58,116
59,116
60,116
60,117
61,117
61,118
62,118
62,119
62,120
62,121
63,121
63,122
63,123
63,124
63,125
63,126
64,126
64,127
64,128
64,129
64,130
64,131
64,132
65,132
65,133
65,134
66,134
66,135
67,135
67,136
68,136
68,137
69,137
70,137
70,138
71,138
71,139
71,140
72,140
72,141
72,142
72,143
72,144
72,145
73,145
73,146
73,147
74,147
74,148
75,148
76,148
76,149
76,150
76,151
76,152
76,153
76,154
76,155
76,156
76,157
76,158
76,159
76,160
76,161
77,161
77,162
77,163
77,164
78,164
78,165
78,166
78,167
79,167
79,168
79,169
79,170
79,171
79,172
79,173
80,173
81,173
81,174
81,175
81,176
81,177
82,177
82,178
82,179
82,180
83,180
83,181
83,182
83,183
83,184
84,184
84,185
85,185
86,185
87,185
87,186
87,187
88,187
89,187
90,187
91,187
91,188
91,189
92,189
92,190
93,190
93,191
93,192
93,193
93,194
93,195
94,195
95,195
95,196
96,196
96,197
96,198
97,198
98,198
98,199
99,199
100,199
100,200
101,200
102,200
103,200
103,201
103,202
104,202
104,203
104,204
104,205
104,206
104,207
105,207
105,208
105,209
106,209
107,209
108,209
108,210
108,211
108,212
109,212
109,213
109,214
109,215
110,215
111,215
112,215
112,216
113,216
113,217
114,217
115,217
116,217
116,218
116,219
117,219
117,220
117,221
118,221
119,221
120,221
120,222
120,223
120,224
120,225
121,225
122,225
123,225
123,226
123,227
123,228
123,229
123,230
124,230
124,231
124,232
124,233
124,234
125,234
125,235
125,236
125,237
125,238
125,239
125,240
125,241
125,242
126,242
126,243
127,243
127,244
128,244
128,245
129,245
130,245
130,246
131,246
131,247
132,247
132,248
132,249
132,250
132,251
132,252
132,253
132,254
133,254
133,255
133,256
133,257
133,258
134,258
134,259
134,260
134,261
135,261
136,261
137,261
137,262
137,263
138,263
138,264
138,265
138,266
138,267
139,267
139,268
140,268
141,268
141,269
142,269
143,269
144,269
145,269
145,270
145,271
145,272
145,273
146,273
146,274
146,275
146,276
146,277
147,277
147,278
148,278
149,278
150,278
151,278
151,279
151,280
151,281
151,282
151,283
151,284
152,284
152,285
153,285
154,285
155,285
156,285
157,285
157,286
157,287
157,288
158,288
159,288
159,289
159,290
159,291
160,291
160,292
160,293
161,293
162,293
163,293
164,293
165,293
165,294
166,294
166,295
166,296
166,297
166,298
166,299
167,299
167,300
168,300
168,301
168,302
169,302
169,303
169,304
170,304
170,305
170,306
171,306
171,307
171,308
171,309
172,309
172,310
172,311
173,311
174,311
175,311
176,311
176,312
177,312
178,312
179,312
179,313
180,313
180,314
180,315
180,316
180,317
180,318
181,318
182,318
182,319
183,319
183,320
184,320
185,320
185,321
186,321
186,322
187,322
188,322
188,323
188,324
188,325
189,325
189,326
189,327
189,328
190,328
190,329
190,330
190,331
191,331
191,332
191,333
191,334
191,335
192,335
192,336
193,336
194,336
195,336
195,337
195,338
196,338
196,339
196,340
196,341
196,342
196,343
196,344
197,344
197,345
197,346
198,346
199,346
200,346
201,346
202,346
202,347
203,347
204,347
204,348
205,348
205,349
206,349
207,349
208,349
208,350
209,350
209,351
210,351
211,351
212,351
212,352
213,352
214,352
214,353
214,354
215,354
216,354
217,354
217,355
218,355
218,356
218,357
219,357
220,357
220,358
220,359
220,360
221,360
221,361
221,362
221,363
221,364
221,365
221,366
221,367
222,367
222,368
222,369
222,370
222,371
222,372
222,373
223,373
223,374
224,374
225,374
225,375
225,376
225,377
226,377
226,378
227,378
228,378
228,379
228,380
228,381
228,382
228,383
228,384
229,384
230,384
230,385
231,385
232,385
233,385
234,385
235,385
235,386
235,387
235,388
235,389
236,389
236,390
237,390
238,390
239,390
240,390
240,391
240,392
241,392
241,393
242,393
243,393
244,393
245,393
246,393
246,394
246,395
246,396
246,397
247,397
247,398
247,399
248,399
248,400
248,401
248,402
249,402
249,403
250,403
250,404
250,405
250,406
251,406
252,406
253,406
253,407
254,407
255,407
255,408
255,409
255,410
255,411
256,411
256,412
257,412
258,412
259,412
260,412
261,412
261,413
261,414
261,415
261,416
262,416
263,416
264,416
264,417
264,418
264,419
265,419
265,420
266,420
266,421
266,422
266,423
267,423
267,424
267,425
268,425
268,426
269,426
269,427
270,427
271,427
272,427
273,427
273,428
273,429
274,429
275,429
275,430
276,430
276,431
276,432
276,433
276,434
277,434
277,435
277,436
278,436
278,437
278,438
278,439
278,440
279,440
279,441
279,442
279,443
279,444
279,445
279,446
279,447
280,447
280,448
281,448
281,449
281,450
282,450
283,450
283,451
284,451
284,452
285,452
285,453
285,454
285,455
286,455
286,456
287,456
287,457
288,457
288,458
288,459
288,460
288,461
288,462
288,463
288,464
289,464
289,465
290,465
290,466
291,466
291,467
292,467
292,468
292,469
292,470
293,470
294,470
294,471
295,471
295,472
296,472
296,473
296,474
296,475
297,475
298,475
299,475
299,476
299,477
299,478
300,478
301,478
301,479
301,480
301,481
302,481
302,482
303,482
303,483
303,484
303,485
303,486
303,487
303,488
304,488
304,489
304,490
304,491
304,492
304,493
305,493
306,493
306,494
306,495
306,496
307,496
308,496
309,496
310,496
311,496
311,497
311,498
311,499
312,499
312,500
313,500
313,501
313,502
314,502
315,502
316,502
317,502
317,503
318,503
318,504
319,504
319,505
319,506
319,507
319,508
320,508
320,509
321,509
321,510
321,511
322,511
322,512
322,513
322,514
322,515
322,516
323,516
323,517
323,518
323,519
324,519
324,520
324,521
325,521
325,522
325,523
326,523
326,524
326,525
326,526
326,527
327,527
328,527
329,527
329,528
329,529
329,530
330,530
330,531
331,531
332,531
332,532
332,533
333,533
334,533
334,534
335,534
335,535
335,536
