IsmctsAgent 0,PruningRLAgent 1
1,0
2,0
2,1
3,1
4,1
4,2
5,2
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
22,4
22,5
22,6
23,6
24,6
25,6
26,6
27,6
28,6
29,6
30,6
31,6
31,7
32,7
32,8
33,8
34,8
34,9
35,9
36,9
37,9
37,10
37,11
37,12
37,13
38,13
39,13
40,13
41,13
42,13
42,14
43,14
44,14
44,15
45,15
46,15
47,15
48,15
49,15
50,15
51,15
51,16
52,16
53,16
53,17
53,18
54,18
55,18
56,18
57,18
57,19
57,20
58,20
58,21
58,22
58,23
59,23
60,23
61,23
62,23
63,23
64,23
64,24
65,24
66,24
67,24
67,25
68,25
69,25
70,25
70,26
71,26
72,26
73,26
74,26
74,27
75,27
76,27
77,27
77,28
78,28
79,28
80,28
81,28
81,29
82,29
83,29
84,29
85,29
86,29
86,30
87,30
88,30
89,30
90,30
91,30
91,31
92,31
93,31
94,31
95,31
96,31
96,32
96,33
97,33
98,33
99,33
100,33
101,33
102,33
103,33
104,33
104,34
105,34
106,34
107,34
107,35
108,35
109,35
110,35
111,35
112,35
113,35
114,35
114,36
114,37
115,37
115,38
115,39
116,39
116,40
117,40
118,40
119,40
119,41
119,42
119,43
120,43
120,44
121,44
121,45
122,45
123,45
124,45
124,46
125,46
126,46
126,47
126,48
127,48
128,48
129,48
129,49
130,49
130,50
131,50
132,50
133,50
134,50
135,50
136,50
137,50
138,50
139,50
140,50
141,50
141,51
142,51
143,51
143,52
144,52
145,52
146,52
147,52
148,52
149,52
149,53
149,54
150,54
150,55
150,56
150,57
151,57
151,58
151,59
152,59
153,59
154,59
154,60
155,60
156,60
156,61
156,62
157,62
157,63
158,63
159,63
160,63
160,64
160,65
160,66
161,66
162,66
163,66
163,67
163,68
163,69
164,69
165,69
166,69
166,70
167,70
168,70
169,70
170,70
171,70
172,70
173,70
174,70
174,71
175,71
176,71
176,72
177,72
177,73
178,73
179,73
180,73
180,74
181,74
182,74
182,75
183,75
184,75
185,75
186,75
187,75
188,75
189,75
189,76
190,76
191,76
191,77
191,78
191,79
191,80
192,80
192,81
193,81
194,81
195,81
