OracleAgent 0,BetterRandomAgent 1
0,1
0,2
0,3
1,3
2,3
2,4
3,4
4,4
4,5
5,5
6,5
6,6
6,7
6,8
7,8
8,8
9,8
10,8
11,8
12,8
13,8
14,8
14,9
15,9
16,9
17,9
18,9
18,10
19,10
20,10
20,11
20,12
20,13
20,14
20,15
21,15
22,15
23,15
24,15
25,15
26,15
26,16
27,16
27,17
28,17
29,17
30,17
31,17
31,18
32,18
32,19
33,19
33,20
33,21
34,21
35,21
35,22
35,23
35,24
36,24
37,24
38,24
39,24
40,24
40,25
41,25
41,26
41,27
41,28
42,28
43,28
44,28
45,28
45,29
46,29
46,30
47,30
47,31
48,31
49,31
49,32
50,32
51,32
51,33
51,34
52,34
53,34
54,34
55,34
56,34
56,35
57,35
58,35
58,36
59,36
60,36
61,36
61,37
62,37
63,37
63,38
64,38
65,38
65,39
66,39
67,39
68,39
69,39
69,40
70,40
71,40
71,41
72,41
73,41
74,41
75,41
75,42
76,42
76,43
76,44
77,44
77,45
78,45
79,45
80,45
80,46
80,47
80,48
81,48
82,48
83,48
84,48
85,48
86,48
87,48
87,49
88,49
88,50
89,50
89,51
89,52
90,52
91,52
92,52
93,52
93,53
93,54
94,54
94,55
95,55
96,55
96,56
97,56
98,56
98,57
99,57
100,57
101,57
101,58
101,59
102,59
103,59
104,59
105,59
105,60
105,61
106,61
107,61
108,61
108,62
108,63
109,63
110,63
110,64
111,64
112,64
113,64
114,64
115,64
116,64
116,65
116,66
117,66
118,66
118,67
119,67
120,67
120,68
121,68
122,68
123,68
124,68
125,68
126,68
127,68
128,68
129,68
130,68
130,69
131,69
132,69
133,69
134,69
135,69
136,69
137,69
138,69
138,70
138,71
139,71
139,72
139,73
139,74
139,75
140,75
140,76
140,77
141,77
141,78
141,79
142,79
143,79
144,79
144,80
144,81
145,81
146,81
146,82
147,82
148,82
149,82
150,82
151,82
151,83
152,83
153,83
154,83
155,83
155,84
156,84
157,84
158,84
159,84
160,84
161,84
162,84
163,84
163,85
164,85
165,85
166,85
167,85
167,86
167,87
167,88
167,89
167,90
167,91
168,91
168,92
169,92
170,92
171,92
172,92
173,92
173,93
173,94
174,94
174,95
175,95
176,95
177,95
178,95
179,95
180,95
180,96
181,96
181,97
182,97
182,98
183,98
184,98
184,99
184,100
184,101
185,101
186,101
187,101
188,101
189,101
190,101
190,102
191,102
192,102
193,102
193,103
193,104
194,104
195,104
196,104
197,104
197,105
197,106
197,107
197,108
198,108
199,108
200,108
201,108
201,109
202,109
202,110
203,110
204,110
205,110
205,111
206,111
207,111
208,111
208,112
209,112
210,112
210,113
211,113
211,114
212,114
212,115
213,115
214,115
214,116
215,116
216,116
217,116
217,117
218,117
219,117
220,117
221,117
222,117
222,118
222,119
223,119
224,119
225,119
226,119
227,119
227,120
227,121
227,122
227,123
227,124
227,125
228,125
229,125
229,126
229,127
230,127
230,128
231,128
231,129
232,129
233,129
234,129
235,129
236,129
237,129
238,129
238,130
239,130
239,131
240,131
240,132
241,132
242,132
242,133
243,133
244,133
244,134
245,134
246,134
247,134
247,135
248,135
248,136
248,137
249,137
249,138
249,139
250,139
250,140
250,141
251,141
252,141
253,141
253,142
253,143
253,144
254,144
255,144
255,145
256,145
257,145
257,146
258,146
258,147
259,147
260,147
261,147
262,147
263,147
264,147
265,147
266,147
266,148
267,148
267,149
268,149
269,149
270,149
271,149
272,149
273,149
274,149
275,149
275,150
276,150
276,151
276,152
277,152
277,153
278,153
279,153
279,154
280,154
281,154
281,155
281,156
282,156
283,156
283,157
283,158
283,159
283,160
284,160
285,160
285,161
285,162
286,162
286,163
286,164
287,164
288,164
288,165
289,165
290,165
290,166
290,167
291,167
291,168
291,169
291,170
291,171
292,171
293,171
294,171
294,172
294,173
295,173
296,173
297,173
298,173
298,174
299,174
299,175
300,175
300,176
301,176
301,177
302,177
302,178
302,179
303,179
303,180
304,180
305,180
305,181
306,181
306,182
306,183
307,183
308,183
309,183
309,184
310,184
311,184
311,185
311,186
312,186
313,186
313,187
314,187
315,187
316,187
317,187
318,187
319,187
319,188
320,188
321,188
322,188
323,188
324,188
324,189
325,189
326,189
326,190
327,190
328,190
328,191
329,191
329,192
330,192
331,192
332,192
333,192
334,192
335,192
335,193
336,193
336,194
337,194
338,194
339,194
339,195
339,196
339,197
340,197
341,197
342,197
343,197
344,197
345,197
345,198
346,198
347,198
348,198
348,199
349,199
350,199
351,199
352,199
353,199
354,199
354,200
355,200
355,201
356,201
356,202
357,202
358,202
358,203
359,203
360,203
360,204
361,204
362,204
363,204
363,205
363,206
363,207
364,207
364,208
365,208
365,209
366,209
366,210
366,211
367,211
368,211
368,212
369,212
369,213
370,213
371,213
372,213
372,214
372,215
373,215
374,215
375,215
376,215
376,216
377,216
378,216
379,216
379,217
380,217
380,218
381,218
382,218
383,218
384,218
385,218
386,218
386,219
386,220
386,221
386,222
387,222
387,223
387,224
388,224
389,224
390,224
390,225
390,226
390,227
391,227
392,227
393,227
393,228
394,228
395,228
396,228
396,229
397,229
398,229
399,229
400,229
400,230
401,230
401,231
402,231
403,231
404,231
404,232
405,232
406,232
407,232
407,233
407,234
408,234
409,234
410,234
410,235
411,235
411,236
412,236
412,237
413,237
413,238
414,238
415,238
415,239
416,239
416,240
417,240
418,240
419,240
419,241
420,241
421,241
421,242
422,242
422,243
423,243
424,243
425,243
426,243
427,243
428,243
429,243
429,244
430,244
431,244
432,244
432,245
432,246
433,246
433,247
434,247
434,248
434,249
435,249
436,249
437,249
438,249
438,250
439,250
440,250
440,251
440,252
440,253
440,254
441,254
441,255
441,256
441,257
442,257
443,257
444,257
445,257
445,258
446,258
446,259
447,259
448,259
449,259
449,260
450,260
451,260
451,261
451,262
452,262
453,262
454,262
454,263
455,263
455,264
456,264
456,265
457,265
457,266
457,267
458,267
459,267
460,267
460,268
461,268
462,268
463,268
464,268
465,268
466,268
466,269
467,269
468,269
468,270
469,270
469,271
469,272
469,273
470,273
471,273
471,274
472,274
473,274
474,274
475,274
476,274
477,274
477,275
478,275
478,276
478,277
479,277
480,277
481,277
482,277
483,277
484,277
484,278
485,278
486,278
486,279
486,280
487,280
488,280
489,280
490,280
490,281
491,281
491,282
492,282
493,282
494,282
494,283
495,283
496,283
496,284
496,285
497,285
498,285
498,286
498,287
499,287
499,288
500,288
500,289
501,289
502,289
503,289
503,290
504,290
505,290
506,290
507,290
508,290
509,290
510,290
511,290
512,290
512,291
513,291
514,291
515,291
516,291
517,291
518,291
519,291
520,291
521,291
521,292
521,293
522,293
522,294
523,294
524,294
525,294
526,294
527,294
528,294
529,294
530,294
530,295
531,295
532,295
533,295
534,295
534,296
534,297
534,298
534,299
535,299
535,300
536,300
536,301
537,301
537,302
537,303
537,304
538,304
538,305
538,306
539,306
539,307
539,308
540,308
541,308
541,309
541,310
541,311
541,312
542,312
543,312
544,312
544,313
545,313
546,313
547,313
548,313
548,314
548,315
549,315
549,316
550,316
551,316
552,316
553,316
553,317
553,318
