PruningRLAgent 0,OracleAgent 1
0,1
0,2
1,2
1,3
1,4
1,5
2,5
2,6
2,7
2,8
2,9
3,9
3,10
4,10
4,11
4,12
4,13
4,14
5,14
6,14
7,14
8,14
9,14
10,14
10,15
10,16
10,17
11,17
12,17
12,18
12,19
12,20
12,21
12,22
12,23
13,23
14,23
14,24
14,25
14,26
14,27
14,28
15,28
15,29
15,30
15,31
15,32
15,33
15,34
16,34
16,35
16,36
17,36
18,36
18,37
19,37
19,38
19,39
20,39
20,40
20,41
20,42
20,43
20,44
21,44
21,45
21,46
21,47
21,48
22,48
22,49
22,50
22,51
23,51
24,51
24,52
25,52
25,53
25,54
25,55
25,56
26,56
27,56
27,57
28,57
29,57
29,58
29,59
29,60
30,60
30,61
30,62
31,62
31,63
31,64
31,65
31,66
32,66
32,67
33,67
34,67
35,67
35,68
36,68
36,69
36,70
36,71
36,72
37,72
37,73
38,73
38,74
38,75
38,76
39,76
39,77
39,78
40,78
41,78
41,79
42,79
42,80
42,81
43,81
43,82
43,83
43,84
44,84
44,85
44,86
44,87
44,88
44,89
44,90
44,91
44,92
44,93
44,94
44,95
44,96
45,96
45,97
45,98
45,99
45,100
45,101
46,101
47,101
47,102
47,103
47,104
47,105
48,105
49,105
49,106
49,107
50,107
50,108
50,109
51,109
51,110
51,111
51,112
51,113
52,113
53,113
54,113
54,114
54,115
55,115
56,115
56,116
57,116
57,117
58,117
58,118
59,118
60,118
60,119
61,119
62,119
63,119
63,120
63,121
63,122
64,122
65,122
66,122
66,123
66,124
66,125
67,125
68,125
69,125
69,126
69,127
70,127
70,128
70,129
70,130
70,131
70,132
71,132
72,132
72,133
72,134
72,135
72,136
72,137
73,137
74,137
74,138
74,139
75,139
75,140
75,141
75,142
75,143
75,144
76,144
77,144
78,144
78,145
78,146
79,146
79,147
79,148
80,148
80,149
81,149
82,149
82,150
82,151
83,151
83,152
84,152
85,152
85,153
85,154
85,155
86,155
86,156
86,157
86,158
86,159
86,160
87,160
87,161
88,161
89,161
89,162
89,163
89,164
90,164
91,164
91,165
91,166
91,167
91,168
91,169
91,170
91,171
92,171
92,172
93,172
93,173
93,174
93,175
93,176
94,176
94,177
94,178
94,179
94,180
94,181
94,182
94,183
95,183
95,184
95,185
95,186
95,187
95,188
95,189
95,190
96,190
96,191
97,191
97,192
97,193
97,194
98,194
98,195
98,196
98,197
99,197
99,198
99,199
99,200
100,200
100,201
101,201
101,202
102,202
103,202
103,203
103,204
104,204
105,204
105,205
106,205
107,205
107,206
107,207
107,208
107,209
107,210
108,210
108,211
109,211
109,212
110,212
110,213
110,214
110,215
111,215
112,215
113,215
114,215
114,216
114,217
115,217
115,218
115,219
115,220
115,221
115,222
116,222
116,223
116,224
117,224
117,225
117,226
117,227
118,227
119,227
120,227
120,228
120,229
121,229
121,230
121,231
121,232
121,233
121,234
121,235
121,236
121,237
121,238
122,238
123,238
123,239
124,239
125,239
126,239
127,239
128,239
128,240
129,240
129,241
129,242
130,242
130,243
131,243
132,243
133,243
134,243
135,243
135,244
135,245
135,246
135,247
136,247
136,248
136,249
136,250
137,250
137,251
137,252
137,253
138,253
138,254
138,255
138,256
139,256
139,257
140,257
140,258
140,259
140,260
140,261
141,261
142,261
142,262
142,263
142,264
143,264
143,265
144,265
144,266
144,267
145,267
146,267
146,268
146,269
146,270
147,270
148,270
148,271
149,271
150,271
150,272
150,273
150,274
150,275
151,275
151,276
151,277
152,277
153,277
153,278
153,279
154,279
154,280
154,281
154,282
154,283
154,284
155,284
155,285
155,286
155,287
155,288
155,289
155,290
155,291
155,292
156,292
156,293
156,294
156,295
156,296
156,297
156,298
157,298
158,298
158,299
158,300
158,301
158,302
159,302
160,302
160,303
161,303
161,304
161,305
162,305
162,306
162,307
163,307
163,308
163,309
164,309
165,309
166,309
166,310
167,310
167,311
167,312
168,312
168,313
168,314
169,314
169,315
169,316
169,317
169,318
170,318
171,318
171,319
171,320
171,321
171,322
172,322
173,322
174,322
174,323
174,324
175,324
176,324
177,324
177,325
178,325
178,326
179,326
179,327
180,327
180,328
180,329
181,329
181,330
182,330
183,330
184,330
184,331
185,331
185,332
185,333
186,333
186,334
187,334
187,335
188,335
188,336
188,337
188,338
188,339
188,340
189,340
190,340
190,341
190,342
190,343
190,344
190,345
190,346
190,347
191,347
191,348
191,349
192,349
192,350
193,350
193,351
194,351
194,352
195,352
196,352
197,352
197,353
198,353
198,354
199,354
199,355
200,355
201,355
202,355
203,355
203,356
203,357
204,357
204,358
204,359
204,360
204,361
204,362
205,362
205,363
205,364
205,365
205,366
205,367
206,367
207,367
207,368
208,368
208,369
208,370
209,370
209,371
209,372
210,372
210,373
210,374
210,375
211,375
211,376
211,377
211,378
211,379
212,379
212,380
212,381
212,382
212,383
212,384
213,384
213,385
214,385
214,386
214,387
215,387
216,387
217,387
217,388
218,388
218,389
218,390
218,391
219,391
220,391
220,392
220,393
220,394
220,395
221,395
222,395
223,395
224,395
224,396
224,397
224,398
225,398
225,399
225,400
226,400
227,400
227,401
228,401
228,402
229,402
229,403
229,404
230,404
230,405
230,406
231,406
231,407
231,408
231,409
232,409
233,409
234,409
234,410
234,411
235,411
235,412
235,413
235,414
235,415
235,416
235,417
235,418
235,419
235,420
236,420
236,421
237,421
238,421
239,421
240,421
240,422
241,422
242,422
242,423
242,424
242,425
242,426
242,427
242,428
242,429
243,429
243,430
244,430
244,431
244,432
245,432
245,433
245,434
245,435
245,436
245,437
245,438
245,439
245,440
245,441
245,442
245,443
245,444
245,445
245,446
245,447
245,448
245,449
245,450
246,450
247,450
247,451
247,452
248,452
249,452
249,453
250,453
251,453
251,454
251,455
251,456
251,457
252,457
252,458
253,458
254,458
254,459
254,460
255,460
256,460
256,461
257,461
257,462
258,462
258,463
259,463
260,463
261,463
262,463
262,464
263,464
263,465
263,466
264,466
265,466
266,466
266,467
266,468
267,468
268,468
269,468
270,468
271,468
272,468
273,468
274,468
274,469
275,469
276,469
277,469
278,469
278,470
279,470
279,471
280,471
281,471
282,471
283,471
283,472
284,472
285,472
285,473
285,474
286,474
286,475
286,476
286,477
286,478
286,479
287,479
288,479
288,480
288,481
288,482
289,482
289,483
290,483
291,483
292,483
292,484
293,484
293,485
294,485
295,485
295,486
296,486
297,486
297,487
297,488
297,489
298,489
298,490
298,491
298,492
298,493
298,494
299,494
299,495
299,496
300,496
301,496
301,497
302,497
302,498
302,499
303,499
303,500
303,501
303,502
303,503
304,503
304,504
304,505
304,506
304,507
305,507
306,507
306,508
307,508
307,509
308,509
308,510
308,511
308,512
309,512
310,512
310,513
310,514
310,515
311,515
311,516
311,517
311,518
312,518
313,518
313,519
313,520
313,521
313,522
313,523
313,524
313,525
313,526
313,527
313,528
313,529
314,529
314,530
314,531
314,532
314,533
315,533
315,534
316,534
316,535
317,535
318,535
318,536
318,537
318,538
318,539
319,539
319,540
320,540
320,541
320,542
320,543
321,543
322,543
323,543
324,543
324,544
325,544
325,545
325,546
