BetterRandomAgent 0,IsmctsAgent 1
1,0
2,0
2,1
2,2
3,2
4,2
4,3
4,4
5,4
5,5
6,5
6,6
6,7
6,8
7,8
7,9
7,10
8,10
9,10
10,10
10,11
10,12
10,13
10,14
10,15
11,15
11,16
11,17
11,18
11,19
12,19
13,19
13,20
13,21
13,22
13,23
14,23
14,24
14,25
15,25
16,25
17,25
18,25
18,26
18,27
18,28
19,28
19,29
19,30
19,31
19,32
20,32
21,32
22,32
22,33
22,34
22,35
23,35
24,35
24,36
25,36
25,37
25,38
25,39
25,40
25,41
25,42
25,43
26,43
27,43
27,44
28,44
28,45
29,45
29,46
30,46
30,47
30,48
31,48
32,48
32,49
32,50
32,51
33,51
33,52
33,53
34,53
34,54
34,55
35,55
35,56
36,56
36,57
36,58
36,59
36,60
37,60
37,61
37,62
37,63
37,64
38,64
38,65
38,66
38,67
39,67
40,67
41,67
42,67
42,68
42,69
43,69
44,69
45,69
45,70
46,70
47,70
48,70
49,70
50,70
51,70
51,71
52,71
53,71
54,71
54,72
55,72
56,72
57,72
57,73
58,73
59,73
59,74
60,74
61,74
61,75
62,75
63,75
64,75
65,75
66,75
66,76
67,76
67,77
67,78
68,78
68,79
69,79
69,80
69,81
70,81
70,82
70,83
71,83
72,83
72,84
72,85
73,85
74,85
75,85
76,85
77,85
77,86
77,87
77,88
78,88
78,89
78,90
78,91
79,91
79,92
80,92
81,92
81,93
81,94
81,95
81,96
81,97
81,98
81,99
81,100
82,100
82,101
82,102
82,103
82,104
83,104
83,105
84,105
85,105
86,105
87,105
87,106
87,107
87,108
87,109
88,109
88,110
89,110
89,111
89,112
90,112
90,113
91,113
91,114
92,114
93,114
93,115
93,116
94,116
94,117
95,117
95,118
96,118
96,119
97,119
97,120
97,121
97,122
97,123
98,123
99,123
99,124
99,125
99,126
100,126
101,126
101,127
101,128
101,129
102,129
102,130
102,131
102,132
102,133
103,133
103,134
103,135
103,136
104,136
105,136
105,137
105,138
105,139
105,140
106,140
107,140
107,141
107,142
107,143
108,143
109,143
109,144
109,145
110,145
110,146
110,147
111,147
112,147
112,148
113,148
113,149
113,150
113,151
113,152
113,153
113,154
113,155
114,155
114,156
115,156
116,156
116,157
116,158
116,159
