IsmctsAgent 0,BetterRandomAgent 1
1,0
2,0
2,1
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
21,4
22,4
23,4
23,5
24,5
24,6
24,7
24,8
24,9
25,9
26,9
27,9
28,9
29,9
30,9
30,10
31,10
31,11
32,11
33,11
34,11
35,11
36,11
37,11
38,11
39,11
40,11
41,11
41,12
41,13
42,13
43,13
43,14
44,14
44,15
45,15
45,16
45,17
46,17
46,18
47,18
48,18
49,18
50,18
51,18
51,19
52,19
52,20
52,21
52,22
53,22
54,22
55,22
56,22
57,22
58,22
59,22
59,23
60,23
61,23
61,24
61,25
62,25
63,25
63,26
63,27
64,27
64,28
65,28
65,29
66,29
67,29
67,30
67,31
68,31
69,31
70,31
70,32
71,32
72,32
73,32
73,33
74,33
75,33
75,34
75,35
75,36
76,36
76,37
77,37
77,38
77,39
78,39
78,40
78,41
79,41
79,42
80,42
81,42
82,42
83,42
83,43
83,44
83,45
84,45
85,45
86,45
87,45
87,46
88,46
89,46
89,47
89,48
90,48
91,48
92,48
93,48
94,48
94,49
95,49
95,50
96,50
96,51
96,52
97,52
98,52
99,52
100,52
101,52
102,52
102,53
103,53
104,53
104,54
105,54
106,54
107,54
108,54
108,55
108,56
108,57
109,57
110,57
111,57
112,57
113,57
114,57
115,57
115,58
116,58
117,58
118,58
119,58
120,58
121,58
122,58
122,59
123,59
124,59
124,60
125,60
125,61
126,61
127,61
128,61
128,62
129,62
129,63
130,63
131,63
132,63
133,63
134,63
135,63
136,63
137,63
138,63
139,63
140,63
141,63
141,64
142,64
142,65
143,65
143,66
144,66
144,67
145,67
146,67
146,68
147,68
148,68
148,69
149,69
150,69
150,70
151,70
152,70
153,70
154,70
155,70
155,71
156,71
157,71
157,72
157,73
158,73
158,74
158,75
159,75
160,75
161,75
161,76
161,77
161,78
162,78
162,79
162,80
162,81
163,81
164,81
165,81
166,81
167,81
168,81
168,82
168,83
169,83
169,84
170,84
171,84
172,84
173,84
173,85
173,86
174,86
175,86
176,86
176,87
177,87
178,87
179,87
180,87
181,87
182,87
183,87
183,88
183,89
183,90
184,90
185,90
