IsmctsAgent 0,OracleAgent 1
0,1
1,1
1,2
2,2
3,2
3,3
4,3
4,4
4,5
5,5
6,5
6,6
7,6
8,6
9,6
9,7
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
18,9
18,10
19,10
20,10
21,10
22,10
23,10
24,10
24,11
25,11
25,12
25,13
26,13
27,13
28,13
29,13
30,13
31,13
32,13
33,13
33,14
34,14
34,15
34,16
34,17
35,17
36,17
37,17
37,18
38,18
38,19
39,19
40,19
41,19
41,20
42,20
43,20
43,21
44,21
44,22
44,23
44,24
45,24
46,24
47,24
48,24
49,24
49,25
50,25
50,26
51,26
52,26
53,26
53,27
54,27
54,28
55,28
55,29
56,29
57,29
58,29
59,29
59,30
60,30
61,30
61,31
62,31
63,31
63,32
64,32
65,32
65,33
66,33
66,34
67,34
67,35
67,36
68,36
69,36
70,36
70,37
71,37
71,38
71,39
71,40
71,41
72,41
73,41
74,41
75,41
76,41
76,42
77,42
77,43
77,44
78,44
79,44
79,45
80,45
80,46
80,47
80,48
80,49
81,49
82,49
83,49
84,49
85,49
86,49
87,49
87,50
87,51
88,51
88,52
89,52
89,53
90,53
91,53
92,53
93,53
93,54
94,54
94,55
94,56
95,56
95,57
95,58
95,59
96,59
97,59
98,59
98,60
99,60
99,61
100,61
101,61
101,62
101,63
101,64
102,64
103,64
104,64
104,65
105,65
106,65
107,65
107,66
108,66
109,66
110,66
110,67
111,67
112,67
113,67
114,67
114,68
115,68
115,69
116,69
117,69
118,69
119,69
120,69
121,69
121,70
121,71
121,72
121,73
122,73
123,73
124,73
125,73
126,73
127,73
128,73
129,73
129,74
130,74
130,75
131,75
132,75
133,75
133,76
133,77
134,77
135,77
136,77
136,78
137,78
137,79
138,79
138,80
139,80
139,81
139,82
140,82
140,83
141,83
142,83
143,83
143,84
143,85
144,85
144,86
145,86
146,86
147,86
147,87
147,88
147,89
148,89
149,89
149,90
150,90
151,90
152,90
152,91
153,91
153,92
153,93
153,94
154,94
154,95
155,95
156,95
157,95
157,96
157,97
157,98
158,98
158,99
159,99
159,100
159,101
160,101
161,101
162,101
162,102
163,102
163,103
163,104
164,104
164,105
165,105
165,106
166,106
166,107
166,108
167,108
168,108
169,108
169,109
169,110
169,111
169,112
169,113
170,113
170,114
170,115
171,115
172,115
172,116
172,117
173,117
174,117
175,117
175,118
175,119
175,120
175,121
176,121
177,121
178,121
179,121
179,122
180,122
180,123
181,123
181,124
181,125
181,126
181,127
181,128
181,129
182,129
182,130
183,130
184,130
185,130
186,130
186,131
186,132
186,133
187,133
188,133
189,133
189,134
189,135
189,136
190,136
191,136
192,136
193,136
194,136
194,137
195,137
195,138
195,139
195,140
196,140
196,141
197,141
198,141
198,142
199,142
200,142
200,143
201,143
202,143
202,144
203,144
203,145
204,145
204,146
204,147
204,148
205,148
206,148
206,149
207,149
208,149
209,149
210,149
211,149
212,149
213,149
214,149
215,149
215,150
216,150
216,151
217,151
218,151
218,152
218,153
219,153
220,153
221,153
221,154
222,154
223,154
223,155
224,155
224,156
225,156
226,156
227,156
228,156
228,157
228,158
229,158
230,158
230,159
230,160
231,160
232,160
233,160
233,161
234,161
235,161
236,161
236,162
237,162
238,162
239,162
239,163
239,164
240,164
241,164
242,164
242,165
243,165
243,166
243,167
244,167
244,168
245,168
246,168
247,168
247,169
247,170
248,170
249,170
250,170
251,170
252,170
253,170
254,170
255,170
255,171
256,171
257,171
258,171
259,171
260,171
261,171
261,172
262,172
262,173
263,173
264,173
264,174
265,174
266,174
267,174
268,174
269,174
269,175
270,175
271,175
271,176
272,176
273,176
274,176
275,176
276,176
277,176
278,176
279,176
279,177
280,177
281,177
281,178
281,179
282,179
283,179
283,180
284,180
285,180
285,181
286,181
287,181
287,182
288,182
288,183
288,184
289,184
290,184
291,184
292,184
293,184
293,185
293,186
293,187
293,188
294,188
295,188
296,188
297,188
297,189
297,190
298,190
298,191
298,192
298,193
298,194
298,195
299,195
300,195
300,196
300,197
300,198
301,198
301,199
302,199
303,199
303,200
304,200
305,200
306,200
307,200
307,201
308,201
308,202
309,202
310,202
311,202
312,202
312,203
312,204
313,204
313,205
313,206
313,207
314,207
315,207
315,208
316,208
317,208
318,208
319,208
319,209
320,209
321,209
321,210
322,210
323,210
323,211
323,212
324,212
325,212
326,212
326,213
326,214
327,214
328,214
329,214
330,214
331,214
332,214
332,215
333,215
334,215
335,215
335,216
335,217
336,217
336,218
337,218
338,218
339,218
339,219
340,219
341,219
342,219
342,220
342,221
343,221
343,222
344,222
345,222
346,222
346,223
347,223
348,223
348,224
348,225
349,225
350,225
350,226
350,227
351,227
352,227
353,227
353,228
354,228
355,228
355,229
356,229
357,229
358,229
359,229
360,229
361,229
362,229
363,229
363,230
364,230
364,231
364,232
364,233
365,233
366,233
367,233
367,234
367,235
367,236
367,237
367,238
368,238
368,239
369,239
370,239
370,240
370,241
371,241
372,241
373,241
374,241
375,241
376,241
376,242
377,242
378,242
379,242
379,243
380,243
380,244
380,245
381,245
382,245
383,245
383,246
384,246
384,247
384,248
385,248
385,249
386,249
386,250
386,251
387,251
388,251
388,252
389,252
390,252
391,252
392,252
393,252
394,252
394,253
395,253
396,253
396,254
397,254
397,255
398,255
399,255
400,255
400,256
401,256
402,256
403,256
403,257
404,257
405,257
406,257
407,257
407,258
407,259
408,259
409,259
410,259
411,259
412,259
412,260
412,261
412,262
413,262
414,262
415,262
416,262
417,262
418,262
419,262
419,263
420,263
421,263
422,263
422,264
423,264
424,264
425,264
426,264
427,264
428,264
428,265
428,266
428,267
429,267
430,267
431,267
432,267
432,268
432,269
433,269
434,269
434,270
434,271
434,272
435,272
436,272
437,272
437,273
437,274
438,274
439,274
439,275
440,275
441,275
441,276
442,276
443,276
443,277
443,278
444,278
445,278
446,278
446,279
447,279
447,280
448,280
448,281
449,281
449,282
449,283
449,284
450,284
450,285
450,286
450,287
451,287
452,287
452,288
453,288
453,289
453,290
453,291
453,292
454,292
455,292
455,293
455,294
455,295
456,295
457,295
458,295
458,296
459,296
459,297
460,297
461,297
461,298
462,298
462,299
463,299
464,299
465,299
466,299
466,300
466,301
466,302
467,302
467,303
467,304
468,304
469,304
469,305
470,305
471,305
471,306
472,306
473,306
474,306
474,307
474,308
475,308
475,309
475,310
475,311
475,312
475,313
476,313
477,313
478,313
479,313
479,314
480,314
480,315
481,315
482,315
482,316
483,316
483,317
484,317
485,317
486,317
486,318
486,319
486,320
487,320
488,320
488,321
