OracleAgent 0,IsmctsAgent 1
1,0
1,1
1,2
2,2
3,2
4,2
4,3
4,4
4,5
4,6
4,7
4,8
5,8
5,9
5,10
5,11
6,11
7,11
7,12
8,12
8,13
9,13
10,13
10,14
10,15
11,15
12,15
13,15
14,15
14,16
15,16
16,16
16,17
17,17
17,18
17,19
18,19
18,20
18,21
18,22
18,23
18,24
18,25
19,25
19,26
19,27
20,27
21,27
22,27
22,28
23,28
23,29
23,30
23,31
23,32
23,33
23,34
24,34
25,34
25,35
25,36
25,37
26,37
26,38
26,39
26,40
26,41
27,41
27,42
27,43
27,44
27,45
28,45
28,46
29,46
29,47
29,48
29,49
29,50
30,50
30,51
31,51
32,51
32,52
33,52
33,53
33,54
33,55
34,55
35,55
35,56
36,56
37,56
37,57
38,57
39,57
40,57
40,58
41,58
41,59
41,60
41,61
42,61
42,62
43,62
44,62
44,63
45,63
46,63
46,64
46,65
46,66
47,66
47,67
47,68
48,68
49,68
50,68
51,68
51,69
51,70
51,71
51,72
52,72
53,72
53,73
53,74
53,75
54,75
54,76
55,76
55,77
55,78
55,79
56,79
56,80
56,81
57,81
57,82
58,82
58,83
58,84
58,85
58,86
59,86
60,86
61,86
61,87
61,88
62,88
63,88
63,89
64,89
65,89
65,90
66,90
66,91
66,92
66,93
67,93
67,94
67,95
67,96
68,96
68,97
68,98
69,98
69,99
70,99
70,100
70,101
70,102
71,102
72,102
73,102
74,102
75,102
75,103
75,104
75,105
76,105
76,106
76,107
76,108
77,108
78,108
78,109
78,110
78,111
78,112
78,113
79,113
79,114
79,115
79,116
79,117
79,118
79,119
79,120
80,120
80,121
80,122
81,122
82,122
83,122
84,122
85,122
86,122
87,122
87,123
87,124
88,124
88,125
88,126
88,127
88,128
89,128
90,128
91,128
91,129
92,129
92,130
93,130
93,131
93,132
94,132
94,133
94,134
95,134
95,135
96,135
97,135
98,135
99,135
99,136
100,136
100,137
101,137
101,138
102,138
102,139
103,139
104,139
104,140
105,140
105,141
105,142
106,142
107,142
108,142
108,143
109,143
109,144
110,144
110,145
111,145
112,145
112,146
113,146
114,146
114,147
115,147
115,148
116,148
117,148
117,149
117,150
118,150
118,151
119,151
120,151
121,151
122,151
123,151
123,152
124,152
125,152
125,153
125,154
125,155
126,155
126,156
126,157
126,158
127,158
127,159
127,160
127,161
127,162
127,163
128,163
129,163
130,163
131,163
131,164
132,164
132,165
133,165
134,165
134,166
134,167
134,168
135,168
136,168
136,169
136,170
137,170
137,171
137,172
138,172
139,172
139,173
140,173
140,174
141,174
142,174
142,175
142,176
142,177
142,178
142,179
142,180
143,180
143,181
144,181
144,182
145,182
146,182
146,183
146,184
146,185
146,186
146,187
147,187
148,187
148,188
148,189
149,189
149,190
150,190
150,191
150,192
150,193
151,193
151,194
151,195
152,195
153,195
153,196
153,197
153,198
153,199
153,200
153,201
154,201
155,201
156,201
157,201
157,202
158,202
159,202
160,202
160,203
160,204
160,205
161,205
161,206
162,206
162,207
162,208
162,209
162,210
162,211
162,212
162,213
162,214
162,215
162,216
162,217
162,218
163,218
164,218
165,218
165,219
165,220
166,220
166,221
166,222
167,222
168,222
168,223
168,224
169,224
170,224
170,225
171,225
172,225
173,225
173,226
173,227
173,228
173,229
174,229
174,230
175,230
176,230
177,230
177,231
177,232
177,233
177,234
177,235
177,236
178,236
179,236
179,237
179,238
179,239
179,240
180,240
180,241
181,241
182,241
183,241
184,241
185,241
186,241
187,241
187,242
188,242
188,243
189,243
189,244
189,245
189,246
189,247
189,248
190,248
191,248
191,249
191,250
191,251
192,251
192,252
192,253
193,253
193,254
193,255
193,256
193,257
193,258
194,258
194,259
194,260
194,261
195,261
196,261
197,261
197,262
198,262
198,263
199,263
199,264
200,264
200,265
201,265
202,265
203,265
203,266
203,267
204,267
204,268
204,269
204,270
205,270
205,271
206,271
206,272
206,273
207,273
207,274
207,275
207,276
207,277
207,278
208,278
209,278
210,278
211,278
211,279
212,279
212,280
212,281
212,282
212,283
212,284
213,284
213,285
213,286
214,286
215,286
215,287
215,288
215,289
215,290
216,290
216,291
216,292
216,293
217,293
217,294
217,295
218,295
219,295
220,295
221,295
221,296
221,297
222,297
222,298
223,298
224,298
225,298
225,299
225,300
225,301
225,302
226,302
227,302
228,302
229,302
230,302
230,303
231,303
231,304
231,305
232,305
232,306
232,307
232,308
232,309
232,310
232,311
232,312
232,313
232,314
232,315
233,315
233,316
233,317
233,318
234,318
234,319
234,320
235,320
235,321
236,321
236,322
237,322
237,323
238,323
239,323
239,324
239,325
240,325
240,326
240,327
241,327
242,327
242,328
242,329
242,330
242,331
242,332
243,332
244,332
245,332
245,333
245,334
246,334
246,335
247,335
248,335
248,336
249,336
249,337
249,338
249,339
250,339
251,339
251,340
252,340
252,341
252,342
253,342
253,343
254,343
255,343
255,344
256,344
257,344
258,344
258,345
258,346
258,347
259,347
260,347
261,347
261,348
262,348
263,348
263,349
264,349
265,349
266,349
267,349
268,349
269,349
270,349
270,350
270,351
270,352
271,352
271,353
271,354
271,355
272,355
272,356
272,357
272,358
272,359
273,359
274,359
274,360
274,361
275,361
276,361
277,361
278,361
279,361
279,362
279,363
279,364
279,365
279,366
280,366
280,367
280,368
280,369
281,369
281,370
281,371
281,372
282,372
282,373
283,373
283,374
284,374
285,374
285,375
285,376
285,377
285,378
286,378
287,378
287,379
288,379
289,379
289,380
289,381
289,382
290,382
291,382
291,383
291,384
292,384
292,385
293,385
293,386
293,387
293,388
294,388
295,388
295,389
295,390
296,390
296,391
296,392
297,392
297,393
297,394
297,395
298,395
299,395
299,396
300,396
301,396
302,396
302,397
303,397
304,397
304,398
304,399
305,399
306,399
307,399
308,399
308,400
309,400
309,401
309,402
310,402
310,403
310,404
310,405
310,406
310,407
311,407
311,408
311,409
311,410
312,410
312,411
312,412
312,413
312,414
313,414
314,414
314,415
315,415
315,416
316,416
316,417
316,418
316,419
316,420
317,420
317,421
318,421
318,422
318,423
318,424
318,425
318,426
319,426
319,427
319,428
320,428
321,428
322,428
322,429
323,429
323,430
324,430
324,431
324,432
324,433
324,434
324,435
325,435
326,435
327,435
327,436
328,436
329,436
330,436
330,437
330,438
331,438
332,438
332,439
332,440
333,440
333,441
333,442
334,442
335,442
335,443
336,443
336,444
337,444
338,444
338,445
339,445
340,445
340,446
340,447
340,448
341,448
342,448
342,449
342,450
342,451
343,451
344,451
345,451
345,452
345,453
345,454
345,455
345,456
346,456
347,456
347,457
347,458
347,459
348,459
349,459
349,460
349,461
350,461
351,461
352,461
353,461
354,461
354,462
354,463
354,464
355,464
356,464
357,464
357,465
357,466
358,466
359,466
359,467
359,468
359,469
360,469
361,469
361,470
361,471
362,471
362,472
362,473
362,474
362,475
362,476
363,476
364,476
364,477
364,478
365,478
366,478
366,479
366,480
367,480
368,480
368,481
369,481
369,482
369,483
369,484
369,485
370,485
370,486
370,487
370,488
370,489
371,489
371,490
371,491
372,491
373,491
374,491
375,491
375,492
375,493
375,494
375,495
375,496
375,497
375,498
376,498
376,499
376,500
376,501
376,502
377,502
377,503
378,503
379,503
379,504
379,505
380,505
381,505
382,505
383,505
383,506
384,506
384,507
384,508
384,509
384,510
384,511
384,512
384,513
385,513
386,513
387,513
388,513
389,513
390,513
391,513
392,513
392,514
393,514
394,514
394,515
395,515
395,516
396,516
396,517
396,518
396,519
397,519
397,520
397,521
398,521
398,522
398,523
398,524
398,525
399,525
400,525
400,526
401,526
401,527
402,527
402,528
402,529
403,529
404,529
404,530
405,530
405,531
405,532
406,532
406,533
406,534
407,534
408,534
408,535
408,536
408,537
409,537
409,538
410,538
410,539
410,540
410,541
411,541
412,541
412,542
412,543
413,543
413,544
413,545
413,546
413,547
413,548
413,549
413,550
413,551
413,552
414,552
415,552
416,552
417,552
417,553
418,553
418,554
419,554
419,555
420,555
421,555
421,556
421,557
422,557
422,558
423,558
423,559
424,559
425,559
426,559
427,559
427,560
427,561
428,561
428,562
428,563
429,563
429,564
430,564
430,565
431,565
431,566
431,567
432,567
432,568
432,569
432,570
432,571
433,571
434,571
435,571
435,572
436,572
437,572
437,573
437,574
437,575
437,576
438,576
439,576
440,576
441,576
441,577
442,577
442,578
442,579
443,579
443,580
444,580
445,580
445,581
445,582
446,582
447,582
448,582
448,583
448,584
448,585
448,586
449,586
449,587
449,588
450,588
450,589
451,589
452,589
453,589
453,590
454,590
454,591
455,591
455,592
455,593
456,593
456,594
456,595
456,596
457,596
458,596
459,596
459,597
459,598
459,599
460,599
461,599
461,600
461,601
462,601
462,602
462,603
462,604
462,605
462,606
463,606
463,607
464,607
464,608
464,609
464,610
464,611
465,611
465,612
466,612
466,613
466,614
466,615
466,616
467,616
468,616
469,616
469,617
469,618
469,619
470,619
471,619
471,620
471,621
472,621
473,621
473,622
474,622
475,622
475,623
475,624
476,624
476,625
476,626
476,627
477,627
477,628
478,628
479,628
479,629
480,629
481,629
482,629
482,630
482,631
483,631
484,631
484,632
484,633
485,633
485,634
485,635
485,636
485,637
486,637
486,638
486,639
487,639
488,639
489,639
490,639
490,640
490,641
490,642
490,643
490,644
490,645
490,646
491,646
492,646
493,646
494,646
495,646
495,647
496,647
496,648
496,649
496,650
496,651
497,651
497,652
498,652
498,653
498,654
499,654
499,655
500,655
501,655
502,655
502,656
503,656
503,657
503,658
503,659
504,659
504,660
505,660
506,660
506,661
507,661
508,661
508,662
509,662
509,663
509,664
510,664
511,664
512,664
512,665
513,665
513,666
514,666
514,667
514,668
515,668
515,669
515,670
515,671
516,671
516,672
516,673
516,674
516,675
517,675
518,675
519,675
519,676
519,677
520,677
520,678
521,678
522,678
523,678
523,679
524,679
524,680
524,681
524,682
525,682
525,683
526,683
527,683
527,684
528,684
529,684
529,685
529,686
529,687
529,688
530,688
531,688
531,689
531,690
532,690
533,690
533,691
534,691
535,691
536,691
536,692
536,693
536,694
536,695
537,695
538,695
538,696
538,697
538,698
538,699
539,699
539,700
540,700
540,701
541,701
541,702
541,703
541,704
542,704
543,704
543,705
544,705
544,706
545,706
546,706
547,706
547,707
547,708
548,708
549,708
550,708
550,709
550,710
551,710
551,711
552,711
552,712
553,712
553,713
553,714
553,715
553,716
553,717
554,717
554,718
554,719
554,720
555,720
555,721
555,722
555,723
556,723
556,724
557,724
557,725
558,725
559,725
559,726
559,727
559,728
559,729
559,730
560,730
560,731
561,731
561,732
562,732
562,733
563,733
564,733
564,734
565,734
565,735
566,735
566,736
567,736
568,736
569,736
569,737
569,738
569,739
569,740
570,740
571,740
571,741
571,742
571,743
571,744
571,745
571,746
572,746
573,746
573,747
574,747
574,748
574,749
574,750
574,751
574,752
575,752
576,752
577,752
577,753
578,753
578,754
578,755
579,755
579,756
579,757
580,757
580,758
580,759
581,759
581,760
581,761
581,762
582,762
583,762
583,763
583,764
584,764
585,764
586,764
586,765
586,766
587,766
587,767
588,767
589,767
589,768
590,768
591,768
592,768
593,768
594,768
595,768
596,768
597,768
598,768
599,768
599,769
599,770
599,771
599,772
599,773
599,774
600,774
601,774
602,774
602,775
603,775
604,775
605,775
606,775
606,776
606,777
606,778
606,779
606,780
607,780
608,780
608,781
608,782
609,782
609,783
610,783
610,784
610,785
610,786
610,787
610,788
610,789
611,789
612,789
612,790
613,790
613,791
613,792
613,793
614,793
614,794
615,794
616,794
616,795
616,796
616,797
617,797
618,797
618,798
619,798
619,799
620,799
621,799
621,800
622,800
622,801
623,801
623,802
623,803
623,804
624,804
624,805
625,805
625,806
626,806
627,806
627,807
627,808
628,808
628,809
628,810
629,810
629,811
630,811
630,812
631,812
631,813
631,814
631,815
631,816
631,817
631,818
632,818
632,819
632,820
632,821
632,822
632,823
633,823
633,824
633,825
633,826
633,827
633,828
634,828
634,829
634,830
634,831
635,831
635,832
635,833
635,834
636,834
636,835
636,836
637,836
638,836
639,836
639,837
639,838
639,839
640,839
640,840
640,841
641,841
641,842
642,842
642,843
642,844
642,845
643,845
643,846
644,846
645,846
646,846
646,847
647,847
648,847
648,848
648,849
649,849
649,850
649,851
649,852
649,853
649,854
650,854
651,854
651,855
652,855
652,856
653,856
653,857
654,857
655,857
656,857
657,857
657,858
657,859
657,860
657,861
657,862
657,863
657,864
657,865
657,866
658,866
659,866
659,867
659,868
659,869
660,869
660,870
660,871
660,872
661,872
662,872
663,872
663,873
663,874
664,874
665,874
666,874
666,875
666,876
666,877
666,878
666,879
667,879
667,880
668,880
669,880
669,881
670,881
670,882
671,882
672,882
672,883
672,884
673,884
674,884
674,885
674,886
675,886
675,887
676,887
677,887
678,887
678,888
679,888
679,889
680,889
680,890
681,890
681,891
682,891
683,891
684,891
684,892
685,892
685,893
685,894
685,895
685,896
686,896
687,896
687,897
687,898
688,898
688,899
689,899
689,900
690,900
690,901
690,902
690,903
690,904
690,905
691,905
691,906
691,907
691,908
691,909
691,910
691,911
692,911
692,912
692,913
692,914
692,915
692,916
692,917
693,917
693,918
693,919
693,920
694,920
694,921
694,922
695,922
695,923
696,923
696,924
697,924
698,924
699,924
700,924
701,924
701,925
701,926
701,927
701,928
702,928
703,928
703,929
704,929
705,929
705,930
705,931
706,931
706,932
707,932
708,932
709,932
710,932
711,932
711,933
711,934
712,934
712,935
713,935
713,936
713,937
714,937
714,938
715,938
715,939
715,940
716,940
716,941
717,941
717,942
717,943
717,944
718,944
718,945
719,945
720,945
720,946
720,947
720,948
721,948
722,948
722,949
723,949
723,950
723,951
724,951
724,952
725,952
725,953
725,954
725,955
725,956
725,957
726,957
726,958
727,958
727,959
727,960
727,961
728,961
729,961
729,962
730,962
731,962
732,962
732,963
733,963
734,963
734,964
734,965
734,966
735,966
736,966
736,967
737,967
738,967
738,968
738,969
739,969
740,969
740,970
740,971
740,972
741,972
742,972
742,973
743,973
743,974
744,974
745,974
746,974
746,975
746,976
746,977
747,977
747,978
748,978
749,978
749,979
749,980
750,980
751,980
752,980
753,980
753,981
753,982
754,982
754,983
754,984
754,985
754,986
754,987
755,987
755,988
756,988
757,988
757,989
757,990
758,990
759,990
759,991
760,991
761,991
762,991
763,991
763,992
764,992
765,992
765,993
765,994
765,995
765,996
766,996
767,996
767,997
767,998
768,998
769,998
769,999
769,1000
769,1001
770,1001
770,1002
771,1002
772,1002
772,1003
772,1004
773,1004
774,1004
774,1005
774,1006
774,1007
775,1007
776,1007
776,1008
776,1009
776,1010
776,1011
776,1012
776,1013
777,1013
777,1014
777,1015
777,1016
777,1017
777,1018
778,1018
779,1018
779,1019
779,1020
780,1020
780,1021
781,1021
781,1022
781,1023
781,1024
782,1024
783,1024
783,1025
784,1025
784,1026
785,1026
786,1026
786,1027
787,1027
788,1027
788,1028
788,1029
789,1029
789,1030
790,1030
791,1030
792,1030
793,1030
793,1031
793,1032
794,1032
795,1032
795,1033
796,1033
797,1033
797,1034
798,1034
799,1034
799,1035
800,1035
800,1036
800,1037
800,1038
800,1039
801,1039
802,1039
803,1039
803,1040
803,1041
803,1042
804,1042
805,1042
805,1043
806,1043
806,1044
806,1045
806,1046
807,1046
807,1047
808,1047
808,1048
809,1048
809,1049
809,1050
809,1051
809,1052
809,1053
810,1053
810,1054
811,1054
812,1054
812,1055
812,1056
813,1056
814,1056
815,1056
816,1056
816,1057
817,1057
817,1058
818,1058
818,1059
819,1059
819,1060
819,1061
820,1061
820,1062
820,1063
821,1063
821,1064
822,1064
823,1064
823,1065
823,1066
824,1066
825,1066
825,1067
826,1067
826,1068
827,1068
827,1069
828,1069
829,1069
830,1069
830,1070
830,1071
831,1071
832,1071
833,1071
833,1072
833,1073
833,1074
834,1074
834,1075
834,1076
835,1076
835,1077
836,1077
836,1078
837,1078
837,1079
838,1079
838,1080
839,1080
839,1081
840,1081
840,1082
840,1083
841,1083
841,1084
841,1085
841,1086
842,1086
842,1087
843,1087
843,1088
844,1088
844,1089
845,1089
845,1090
846,1090
846,1091
847,1091
848,1091
849,1091
849,1092
849,1093
849,1094
849,1095
850,1095
850,1096
851,1096
851,1097
852,1097
852,1098
853,1098
853,1099
853,1100
854,1100
855,1100
856,1100
857,1100
857,1101
857,1102
858,1102
859,1102
860,1102
860,1103
860,1104
860,1105
861,1105
861,1106
861,1107
861,1108
861,1109
861,1110
861,1111
862,1111
863,1111
863,1112
863,1113
864,1113
864,1114
864,1115
865,1115
866,1115
867,1115
868,1115
868,1116
869,1116
870,1116
871,1116
871,1117
872,1117
873,1117
873,1118
873,1119
874,1119
875,1119
876,1119
876,1120
876,1121
876,1122
876,1123
876,1124
877,1124
877,1125
877,1126
877,1127
878,1127
878,1128
879,1128
879,1129
880,1129
881,1129
881,1130
881,1131
881,1132
882,1132
882,1133
882,1134
883,1134
883,1135
883,1136
884,1136
885,1136
886,1136
886,1137
887,1137
887,1138
887,1139
888,1139
889,1139
890,1139
890,1140
891,1140
891,1141
892,1141
893,1141
894,1141
895,1141
895,1142
896,1142
896,1143
896,1144
897,1144
897,1145
897,1146
897,1147
897,1148
898,1148
899,1148
900,1148
900,1149
900,1150
900,1151
901,1151
902,1151
903,1151
903,1152
903,1153
904,1153
904,1154
905,1154
906,1154
906,1155
906,1156
906,1157
907,1157
908,1157
908,1158
909,1158
910,1158
910,1159
911,1159
912,1159
912,1160
913,1160
913,1161
913,1162
914,1162
914,1163
914,1164
915,1164
916,1164
917,1164
918,1164
918,1165
918,1166
918,1167
919,1167
919,1168
919,1169
919,1170
919,1171
919,1172
919,1173
920,1173
920,1174
920,1175
920,1176
920,1177
921,1177
921,1178
921,1179
921,1180
921,1181
922,1181
923,1181
924,1181
924,1182
924,1183
924,1184
925,1184
925,1185
926,1185
927,1185
927,1186
928,1186
928,1187
928,1188
928,1189
928,1190
928,1191
928,1192
928,1193
929,1193
929,1194
929,1195
929,1196
929,1197
930,1197
930,1198
930,1199
931,1199
932,1199
932,1200
932,1201
932,1202
932,1203
933,1203
933,1204
933,1205
934,1205
935,1205
935,1206
936,1206
936,1207
936,1208
937,1208
937,1209
937,1210
937,1211
938,1211
939,1211
939,1212
939,1213
939,1214
939,1215
939,1216
939,1217
939,1218
940,1218
941,1218
941,1219
941,1220
941,1221
941,1222
942,1222
942,1223
943,1223
943,1224
943,1225
944,1225
945,1225
945,1226
945,1227
945,1228
945,1229
945,1230
945,1231
945,1232
946,1232
946,1233
946,1234
947,1234
947,1235
947,1236
948,1236
949,1236
950,1236
950,1237
950,1238
951,1238
951,1239
951,1240
951,1241
951,1242
952,1242
953,1242
954,1242
954,1243
955,1243
955,1244
956,1244
956,1245
956,1246
957,1246
957,1247
958,1247
958,1248
959,1248
959,1249
960,1249
960,1250
961,1250
962,1250
962,1251
962,1252
962,1253
962,1254
963,1254
964,1254
965,1254
966,1254
967,1254
968,1254
969,1254
970,1254
971,1254
972,1254
973,1254
973,1255
974,1255
975,1255
976,1255
977,1255
978,1255
978,1256
978,1257
978,1258
978,1259
978,1260
979,1260
980,1260
980,1261
980,1262
980,1263
981,1263
981,1264
981,1265
982,1265
982,1266
983,1266
984,1266
985,1266
985,1267
985,1268
985,1269
986,1269
986,1270
987,1270
987,1271
988,1271
988,1272
989,1272
989,1273
989,1274
989,1275
990,1275
991,1275
992,1275
993,1275
993,1276
994,1276
995,1276
995,1277
996,1277
996,1278
996,1279
996,1280
996,1281
997,1281
998,1281
998,1282
998,1283
998,1284
998,1285
999,1285
1000,1285
1001,1285
1001,1286
1002,1286
1002,1287
1002,1288
1002,1289
1002,1290
1002,1291
1003,1291
1004,1291
1004,1292
1004,1293
1005,1293
1006,1293
1007,1293
1007,1294
1008,1294
1008,1295
1009,1295
1010,1295
1011,1295
1012,1295
1013,1295
1013,1296
1013,1297
1014,1297
1015,1297
1015,1298
1015,1299
1016,1299
1016,1300
1017,1300
1017,1301
1017,1302
1017,1303
1017,1304
1018,1304
1019,1304
1019,1305
1019,1306
1020,1306
1021,1306
1021,1307
1021,1308
1021,1309
1022,1309
1022,1310
1023,1310
1023,1311
1024,1311
1025,1311
1026,1311
1026,1312
1026,1313
1027,1313
1027,1314
1027,1315
1027,1316
1027,1317
1028,1317
1028,1318
1028,1319
1028,1320
1028,1321
1028,1322
1028,1323
1029,1323
1030,1323
1030,1324
1030,1325
1030,1326
1030,1327
1031,1327
1032,1327
1032,1328
1033,1328
1034,1328
1034,1329
1035,1329
1035,1330
1036,1330
1036,1331
1036,1332
1037,1332
1037,1333
1037,1334
1037,1335
1037,1336
1037,1337
1037,1338
1038,1338
1038,1339
1038,1340
1039,1340
1040,1340
1040,1341
1041,1341
1042,1341
1042,1342
1042,1343
1042,1344
1042,1345
1043,1345
1044,1345
1045,1345
1045,1346
1045,1347
1045,1348
1045,1349
1046,1349
1046,1350
1046,1351
1047,1351
1047,1352
1048,1352
1048,1353
1049,1353
1050,1353
1050,1354
1051,1354
1052,1354
1052,1355
1053,1355
1054,1355
1055,1355
1056,1355
1057,1355
1058,1355
1059,1355
1059,1356
1059,1357
1059,1358
1060,1358
1060,1359
1060,1360
1060,1361
1060,1362
1060,1363
1060,1364
1061,1364
1061,1365
1062,1365
1063,1365
1063,1366
1063,1367
1063,1368
1064,1368
1064,1369
1064,1370
1065,1370
1066,1370
1067,1370
1067,1371
1068,1371
1068,1372
1069,1372
1070,1372
1071,1372
1072,1372
1072,1373
1072,1374
1072,1375
1072,1376
1072,1377
1073,1377
1074,1377
1075,1377
1075,1378
1075,1379
1075,1380
1075,1381
1075,1382
1075,1383
1075,1384
1075,1385
1076,1385
1076,1386
1076,1387
1077,1387
1077,1388
1078,1388
1079,1388
1079,1389
1080,1389
1081,1389
1081,1390
1082,1390
1082,1391
1083,1391
1083,1392
1083,1393
1084,1393
1084,1394
1085,1394
1085,1395
1085,1396
1085,1397
1086,1397
1086,1398
1087,1398
1087,1399
1087,1400
1087,1401
1087,1402
1088,1402
1089,1402
1089,1403
1089,1404
1090,1404
1091,1404
1092,1404
1092,1405
1093,1405
1093,1406
1094,1406
1095,1406
1096,1406
1096,1407
1096,1408
1096,1409
1097,1409
1098,1409
1099,1409
1100,1409
1100,1410
1101,1410
1101,1411
1101,1412
1102,1412
1102,1413
1103,1413
1104,1413
1105,1413
1106,1413
1106,1414
1106,1415
1107,1415
1107,1416
1108,1416
1108,1417
1108,1418
1109,1418
1110,1418
1111,1418
1112,1418
1112,1419
1113,1419
1114,1419
1115,1419
1115,1420
1115,1421
1115,1422
1115,1423
1115,1424
1116,1424
1116,1425
1117,1425
1118,1425
1119,1425
1120,1425
1121,1425
1122,1425
1123,1425
1124,1425
1124,1426
1124,1427
1125,1427
