OracleAgent 0,PruningRLAgent 1
0,1
1,1
2,1
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
9,3
10,3
11,3
11,4
11,5
11,6
11,7
12,7
12,8
13,8
14,8
15,8
16,8
16,9
17,9
18,9
18,10
18,11
19,11
20,11
21,11
22,11
22,12
23,12
24,12
25,12
25,13
26,13
26,14
27,14
28,14
29,14
29,15
29,16
30,16
31,16
32,16
33,16
33,17
33,18
33,19
34,19
34,20
34,21
34,22
35,22
35,23
36,23
37,23
38,23
39,23
40,23
40,24
41,24
42,24
43,24
44,24
44,25
45,25
45,26
46,26
46,27
46,28
46,29
46,30
46,31
46,32
47,32
47,33
47,34
47,35
48,35
49,35
50,35
51,35
51,36
52,36
53,36
54,36
55,36
56,36
57,36
58,36
58,37
59,37
59,38
60,38
61,38
61,39
62,39
62,40
62,41
62,42
62,43
62,44
63,44
64,44
65,44
65,45
65,46
66,46
67,46
68,46
68,47
69,47
70,47
71,47
72,47
73,47
74,47
75,47
75,48
76,48
77,48
78,48
79,48
79,49
80,49
81,49
82,49
82,50
82,51
82,52
83,52
84,52
85,52
85,53
86,53
87,53
87,54
87,55
87,56
87,57
88,57
88,58
89,58
90,58
91,58
92,58
93,58
94,58
94,59
94,60
94,61
95,61
96,61
96,62
97,62
97,63
98,63
99,63
99,64
100,64
101,64
102,64
103,64
104,64
104,65
105,65
106,65
107,65
108,65
109,65
109,66
110,66
110,67
111,67
112,67
112,68
112,69
113,69
114,69
115,69
116,69
116,70
117,70
118,70
119,70
119,71
119,72
120,72
121,72
122,72
122,73
122,74
123,74
124,74
125,74
126,74
127,74
127,75
128,75
129,75
130,75
130,76
131,76
131,77
131,78
132,78
132,79
132,80
133,80
133,81
134,81
135,81
135,82
136,82
136,83
137,83
138,83
138,84
139,84
140,84
140,85
141,85
141,86
141,87
141,88
142,88
142,89
142,90
143,90
144,90
144,91
145,91
145,92
146,92
147,92
147,93
148,93
148,94
148,95
149,95
149,96
149,97
150,97
150,98
151,98
151,99
152,99
153,99
154,99
155,99
155,100
155,101
155,102
156,102
157,102
158,102
158,103
159,103
160,103
161,103
162,103
163,103
164,103
165,103
166,103
167,103
168,103
169,103
170,103
170,104
171,104
171,105
172,105
173,105
174,105
175,105
175,106
176,106
177,106
177,107
178,107
178,108
179,108
179,109
179,110
180,110
180,111
180,112
180,113
181,113
181,114
181,115
181,116
182,116
182,117
182,118
183,118
183,119
184,119
184,120
184,121
184,122
184,123
184,124
184,125
185,125
186,125
187,125
187,126
187,127
188,127
189,127
190,127
190,128
191,128
192,128
192,129
192,130
193,130
194,130
195,130
196,130
196,131
196,132
197,132
198,132
199,132
200,132
201,132
202,132
203,132
203,133
204,133
205,133
205,134
205,135
205,136
206,136
207,136
207,137
207,138
207,139
208,139
209,139
210,139
211,139
212,139
212,140
213,140
214,140
214,141
214,142
215,142
215,143
215,144
215,145
215,146
216,146
217,146
217,147
218,147
218,148
218,149
219,149
220,149
220,150
221,150
221,151
221,152
221,153
222,153
223,153
223,154
223,155
224,155
224,156
225,156
225,157
225,158
225,159
226,159
226,160
227,160
228,160
229,160
230,160
231,160
232,160
233,160
234,160
235,160
235,161
235,162
236,162
237,162
238,162
239,162
239,163
239,164
240,164
241,164
241,165
242,165
242,166
243,166
244,166
245,166
246,166
247,166
247,167
248,167
248,168
249,168
250,168
251,168
252,168
253,168
254,168
255,168
256,168
256,169
257,169
257,170
257,171
257,172
258,172
258,173
259,173
260,173
261,173
262,173
263,173
264,173
264,174
264,175
264,176
265,176
265,177
266,177
266,178
266,179
267,179
267,180
267,181
268,181
268,182
269,182
270,182
271,182
272,182
273,182
274,182
275,182
275,183
275,184
275,185
275,186
276,186
277,186
278,186
279,186
280,186
281,186
282,186
282,187
282,188
283,188
283,189
283,190
283,191
284,191
285,191
285,192
286,192
287,192
288,192
289,192
290,192
291,192
291,193
292,193
293,193
294,193
295,193
296,193
297,193
297,194
297,195
298,195
298,196
299,196
300,196
300,197
300,198
301,198
301,199
301,200
302,200
303,200
304,200
304,201
304,202
305,202
305,203
306,203
306,204
307,204
307,205
308,205
309,205
310,205
311,205
311,206
312,206
313,206
313,207
314,207
315,207
315,208
316,208
317,208
318,208
318,209
318,210
318,211
318,212
318,213
318,214
318,215
319,215
320,215
321,215
322,215
323,215
324,215
325,215
326,215
326,216
327,216
327,217
328,217
329,217
329,218
329,219
329,220
329,221
330,221
330,222
330,223
330,224
330,225
331,225
332,225
332,226
332,227
333,227
333,228
333,229
334,229
334,230
335,230
336,230
336,231
337,231
338,231
338,232
338,233
339,233
340,233
341,233
341,234
341,235
342,235
342,236
343,236
343,237
344,237
344,238
345,238
345,239
346,239
347,239
348,239
349,239
349,240
350,240
351,240
351,241
351,242
351,243
352,243
352,244
353,244
354,244
355,244
356,244
357,244
357,245
357,246
358,246
359,246
360,246
360,247
360,248
361,248
362,248
362,249
363,249
364,249
364,250
365,250
366,250
367,250
368,250
368,251
368,252
369,252
370,252
370,253
371,253
372,253
373,253
373,254
374,254
374,255
375,255
376,255
377,255
377,256
377,257
377,258
377,259
377,260
378,260
379,260
379,261
379,262
380,262
381,262
382,262
383,262
383,263
384,263
384,264
385,264
385,265
386,265
386,266
387,266
388,266
388,267
388,268
388,269
389,269
390,269
391,269
391,270
392,270
393,270
394,270
395,270
396,270
396,271
397,271
398,271
399,271
399,272
400,272
401,272
401,273
401,274
402,274
403,274
404,274
405,274
406,274
407,274
408,274
408,275
408,276
408,277
408,278
409,278
409,279
410,279
411,279
411,280
412,280
412,281
413,281
414,281
415,281
416,281
417,281
418,281
418,282
419,282
420,282
420,283
421,283
421,284
422,284
422,285
422,286
423,286
424,286
425,286
425,287
426,287
426,288
427,288
428,288
429,288
430,288
430,289
430,290
430,291
430,292
431,292
432,292
433,292
434,292
434,293
435,293
435,294
435,295
436,295
437,295
438,295
439,295
440,295
441,295
441,296
442,296
443,296
443,297
443,298
443,299
443,300
444,300
444,301
445,301
446,301
446,302
447,302
448,302
449,302
450,302
450,303
451,303
452,303
452,304
452,305
452,306
453,306
453,307
454,307
455,307
456,307
456,308
456,309
456,310
457,310
458,310
459,310
460,310
460,311
461,311
462,311
463,311
463,312
463,313
463,314
464,314
465,314
466,314
467,314
468,314
469,314
469,315
470,315
471,315
471,316
471,317
472,317
473,317
473,318
474,318
475,318
476,318
477,318
478,318
479,318
480,318
481,318
482,318
483,318
483,319
483,320
483,321
483,322
484,322
485,322
486,322
487,322
