PruningRLAgent 0,IsmctsAgent 1
1,0
2,0
3,0
3,1
3,2
4,2
4,3
4,4
4,5
5,5
5,6
5,7
5,8
6,8
6,9
6,10
6,11
7,11
7,12
8,12
9,12
9,13
9,14
9,15
10,15
11,15
11,16
11,17
11,18
12,18
12,19
12,20
13,20
14,20
14,21
15,21
15,22
15,23
15,24
15,25
15,26
16,26
16,27
16,28
16,29
17,29
18,29
19,29
19,30
20,30
21,30
21,31
21,32
21,33
22,33
23,33
23,34
24,34
25,34
25,35
25,36
25,37
26,37
27,37
27,38
28,38
29,38
29,39
29,40
30,40
30,41
30,42
31,42
31,43
32,43
32,44
33,44
33,45
33,46
33,47
33,48
34,48
35,48
36,48
37,48
37,49
37,50
38,50
38,51
38,52
39,52
40,52
41,52
41,53
41,54
41,55
41,56
42,56
42,57
43,57
44,57
44,58
44,59
44,60
44,61
44,62
45,62
45,63
46,63
46,64
46,65
46,66
47,66
47,67
47,68
47,69
47,70
48,70
49,70
49,71
49,72
50,72
50,73
50,74
51,74
51,75
52,75
52,76
53,76
53,77
53,78
53,79
54,79
54,80
54,81
55,81
55,82
56,82
56,83
56,84
56,85
56,86
56,87
56,88
57,88
58,88
58,89
58,90
59,90
59,91
59,92
60,92
60,93
61,93
62,93
62,94
63,94
63,95
64,95
65,95
65,96
65,97
65,98
66,98
66,99
67,99
68,99
68,100
68,101
69,101
70,101
70,102
71,102
71,103
72,103
72,104
72,105
72,106
72,107
72,108
72,109
72,110
72,111
73,111
73,112
73,113
73,114
74,114
74,115
75,115
76,115
76,116
77,116
77,117
77,118
77,119
77,120
77,121
77,122
77,123
78,123
79,123
80,123
80,124
81,124
81,125
81,126
82,126
83,126
83,127
84,127
84,128
84,129
84,130
84,131
85,131
85,132
86,132
86,133
87,133
88,133
88,134
89,134
89,135
89,136
89,137
89,138
89,139
90,139
90,140
90,141
90,142
90,143
91,143
92,143
92,144
92,145
92,146
92,147
93,147
93,148
94,148
95,148
96,148
96,149
97,149
98,149
98,150
99,150
99,151
99,152
99,153
99,154
99,155
100,155
100,156
101,156
101,157
101,158
101,159
101,160
102,160
103,160
103,161
104,161
104,162
104,163
105,163
106,163
106,164
106,165
106,166
106,167
107,167
107,168
108,168
