IsmctsAgent 0,BetterRandomAgent 1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
8,1
9,1
10,1
11,1
11,2
11,3
11,4
11,5
12,5
13,5
14,5
15,5
16,5
16,6
17,6
18,6
18,7
18,8
19,8
19,9
19,10
19,11
19,12
20,12
21,12
21,13
21,14
22,14
23,14
24,14
25,14
25,15
26,15
27,15
28,15
29,15
29,16
30,16
31,16
32,16
32,17
32,18
32,19
33,19
34,19
34,20
34,21
35,21
35,22
35,23
36,23
37,23
37,24
38,24
39,24
39,25
40,25
40,26
41,26
42,26
43,26
44,26
45,26
46,26
47,26
47,27
47,28
47,29
47,30
47,31
47,32
48,32
48,33
48,34
49,34
50,34
50,35
51,35
51,36
51,37
52,37
52,38
53,38
54,38
55,38
56,38
56,39
56,40
57,40
58,40
59,40
59,41
59,42
60,42
61,42
61,43
62,43
62,44
63,44
63,45
64,45
65,45
66,45
67,45
68,45
68,46
69,46
69,47
70,47
71,47
72,47
73,47
74,47
75,47
75,48
75,49
76,49
77,49
78,49
79,49
80,49
81,49
81,50
82,50
83,50
84,50
85,50
85,51
85,52
86,52
86,53
87,53
88,53
89,53
90,53
90,54
90,55
91,55
92,55
93,55
94,55
95,55
95,56
95,57
95,58
96,58
97,58
98,58
98,59
99,59
100,59
100,60
101,60
101,61
101,62
102,62
103,62
103,63
104,63
105,63
106,63
107,63
108,63
108,64
108,65
109,65
109,66
109,67
110,67
111,67
112,67
112,68
113,68
113,69
113,70
113,71
114,71
114,72
115,72
116,72
117,72
118,72
118,73
119,73
120,73
120,74
121,74
121,75
122,75
123,75
124,75
125,75
125,76
126,76
126,77
126,78
127,78
128,78
129,78
130,78
131,78
132,78
132,79
133,79
134,79
135,79
135,80
136,80
137,80
138,80
139,80
140,80
141,80
142,80
143,80
144,80
145,80
146,80
147,80
147,81
148,81
149,81
149,82
150,82
150,83
151,83
152,83
153,83
153,84
153,85
154,85
155,85
156,85
156,86
157,86
158,86
159,86
160,86
161,86
161,87
162,87
163,87
164,87
164,88
165,88
166,88
167,88
168,88
169,88
169,89
169,90
169,91
169,92
170,92
171,92
172,92
173,92
173,93
174,93
174,94
174,95
174,96
175,96
176,96
177,96
178,96
179,96
