PruningRLAgent 0,BetterRandomAgent 1
0,1
0,2
1,2
2,2
3,2
4,2
4,3
4,4
4,5
5,5
6,5
6,6
7,6
7,7
8,7
8,8
8,9
8,10
8,11
9,11
9,12
9,13
10,13
10,14
11,14
12,14
13,14
14,14
14,15
15,15
15,16
15,17
15,18
16,18
17,18
17,19
17,20
18,20
19,20
19,21
19,22
19,23
19,24
20,24
20,25
20,26
20,27
21,27
22,27
23,27
23,28
24,28
25,28
26,28
26,29
27,29
27,30
28,30
28,31
29,31
29,32
29,33
29,34
29,35
29,36
30,36
30,37
30,38
31,38
31,39
31,40
31,41
31,42
31,43
31,44
32,44
32,45
33,45
33,46
33,47
33,48
33,49
34,49
35,49
36,49
36,50
36,51
36,52
36,53
36,54
37,54
37,55
38,55
38,56
39,56
39,57
39,58
39,59
39,60
40,60
41,60
42,60
42,61
42,62
42,63
43,63
44,63
45,63
45,64
46,64
47,64
47,65
47,66
47,67
47,68
48,68
48,69
49,69
50,69
50,70
50,71
50,72
50,73
51,73
52,73
52,74
52,75
53,75
53,76
53,77
53,78
53,79
53,80
53,81
53,82
54,82
54,83
54,84
55,84
55,85
56,85
57,85
57,86
57,87
58,87
58,88
58,89
58,90
59,90
60,90
60,91
61,91
61,92
62,92
63,92
63,93
63,94
64,94
65,94
66,94
66,95
66,96
67,96
67,97
67,98
68,98
69,98
70,98
71,98
72,98
72,99
72,100
73,100
73,101
73,102
73,103
73,104
73,105
73,106
73,107
74,107
74,108
75,108
76,108
76,109
76,110
77,110
78,110
79,110
79,111
79,112
79,113
80,113
81,113
82,113
83,113
83,114
84,114
85,114
85,115
85,116
86,116
87,116
88,116
89,116
90,116
90,117
90,118
90,119
91,119
92,119
92,120
92,121
92,122
93,122
94,122
95,122
96,122
96,123
97,123
98,123
98,124
99,124
99,125
99,126
99,127
100,127
101,127
102,127
102,128
103,128
103,129
104,129
105,129
106,129
107,129
107,130
107,131
107,132
107,133
107,134
108,134
109,134
109,135
109,136
110,136
110,137
111,137
111,138
112,138
112,139
113,139
114,139
115,139
116,139
116,140
117,140
118,140
118,141
118,142
118,143
119,143
119,144
119,145
119,146
119,147
120,147
121,147
121,148
122,148
122,149
122,150
123,150
123,151
123,152
123,153
123,154
124,154
124,155
125,155
125,156
125,157
126,157
126,158
127,158
128,158
129,158
129,159
130,159
130,160
131,160
132,160
133,160
133,161
133,162
134,162
135,162
135,163
135,164
135,165
136,165
136,166
137,166
138,166
138,167
138,168
138,169
139,169
140,169
140,170
140,171
140,172
140,173
140,174
140,175
140,176
140,177
141,177
142,177
143,177
144,177
145,177
145,178
145,179
145,180
145,181
146,181
147,181
147,182
148,182
148,183
148,184
148,185
149,185
149,186
150,186
150,187
151,187
152,187
153,187
154,187
154,188
154,189
154,190
155,190
156,190
157,190
158,190
158,191
159,191
159,192
160,192
160,193
160,194
161,194
161,195
162,195
162,196
162,197
163,197
163,198
163,199
164,199
165,199
165,200
165,201
165,202
166,202
166,203
166,204
167,204
168,204
168,205
168,206
168,207
168,208
169,208
170,208
170,209
171,209
171,210
172,210
172,211
173,211
173,212
173,213
173,214
173,215
173,216
173,217
173,218
174,218
175,218
176,218
176,219
176,220
176,221
177,221
177,222
178,222
178,223
178,224
178,225
178,226
178,227
178,228
178,229
178,230
179,230
179,231
180,231
181,231
182,231
182,232
183,232
183,233
184,233
185,233
186,233
186,234
187,234
187,235
187,236
187,237
188,237
189,237
190,237
191,237
192,237
192,238
193,238
194,238
194,239
194,240
194,241
194,242
194,243
195,243
195,244
196,244
196,245
197,245
198,245
198,246
198,247
199,247
199,248
199,249
200,249
201,249
201,250
201,251
202,251
202,252
202,253
203,253
204,253
205,253
205,254
205,255
205,256
205,257
205,258
206,258
206,259
206,260
206,261
206,262
206,263
206,264
207,264
207,265
208,265
208,266
208,267
209,267
210,267
211,267
211,268
212,268
212,269
213,269
213,270
213,271
213,272
213,273
214,273
214,274
215,274
215,275
216,275
217,275
218,275
218,276
219,276
219,277
219,278
219,279
220,279
220,280
221,280
222,280
222,281
223,281
223,282
223,283
223,284
223,285
224,285
225,285
226,285
226,286
227,286
227,287
228,287
229,287
229,288
229,289
230,289
231,289
232,289
232,290
232,291
232,292
233,292
234,292
235,292
236,292
237,292
238,292
239,292
239,293
239,294
239,295
239,296
239,297
240,297
241,297
241,298
241,299
241,300
242,300
243,300
244,300
244,301
244,302
244,303
244,304
245,304
245,305
246,305
247,305
247,306
247,307
248,307
248,308
248,309
248,310
248,311
248,312
249,312
249,313
249,314
249,315
249,316
249,317
250,317
250,318
250,319
250,320
251,320
252,320
252,321
252,322
253,322
253,323
254,323
255,323
255,324
256,324
256,325
256,326
256,327
256,328
256,329
257,329
258,329
259,329
259,330
260,330
261,330
262,330
263,330
263,331
264,331
264,332
264,333
264,334
265,334
266,334
266,335
267,335
268,335
268,336
269,336
270,336
270,337
271,337
271,338
271,339
272,339
273,339
273,340
273,341
273,342
274,342
274,343
274,344
275,344
275,345
276,345
277,345
278,345
278,346
278,347
279,347
280,347
281,347
281,348
282,348
282,349
283,349
284,349
284,350
285,350
285,351
285,352
285,353
286,353
286,354
287,354
288,354
289,354
289,355
289,356
289,357
290,357
291,357
292,357
293,357
294,357
295,357
295,358
295,359
295,360
296,360
297,360
298,360
298,361
298,362
298,363
299,363
300,363
301,363
302,363
303,363
304,363
305,363
305,364
306,364
307,364
307,365
308,365
308,366
308,367
309,367
309,368
310,368
311,368
311,369
312,369
313,369
313,370
313,371
314,371
315,371
316,371
317,371
317,372
317,373
317,374
317,375
317,376
317,377
317,378
318,378
319,378
319,379
319,380
319,381
319,382
319,383
320,383
320,384
321,384
322,384
323,384
323,385
324,385
324,386
324,387
325,387
325,388
325,389
325,390
326,390
326,391
326,392
326,393
327,393
327,394
328,394
328,395
328,396
328,397
329,397
329,398
329,399
329,400
329,401
330,401
330,402
330,403
330,404
331,404
332,404
332,405
332,406
333,406
334,406
335,406
335,407
335,408
336,408
337,408
337,409
337,410
337,411
337,412
337,413
337,414
338,414
338,415
338,416
339,416
339,417
339,418
340,418
341,418
341,419
341,420
341,421
341,422
342,422
342,423
343,423
343,424
343,425
344,425
344,426
344,427
344,428
345,428
346,428
346,429
347,429
348,429
348,430
349,430
350,430
350,431
350,432
350,433
351,433
352,433
352,434
353,434
354,434
354,435
354,436
354,437
354,438
355,438
356,438
357,438
358,438
358,439
358,440
359,440
360,440
360,441
360,442
360,443
360,444
360,445
360,446
361,446
361,447
362,447
363,447
364,447
364,448
364,449
364,450
365,450
366,450
367,450
368,450
368,451
368,452
368,453
368,454
368,455
368,456
368,457
368,458
369,458
369,459
370,459
370,460
371,460
371,461
371,462
372,462
373,462
373,463
373,464
373,465
373,466
374,466
374,467
374,468
374,469
374,470
374,471
375,471
376,471
376,472
376,473
376,474
376,475
377,475
377,476
378,476
379,476
380,476
380,477
380,478
381,478
381,479
382,479
383,479
384,479
384,480
384,481
385,481
386,481
386,482
387,482
387,483
387,484
