BetterRandomAgent 0,BetterRandomAgent 1
1,0
1,1
1,2
1,3
1,4
1,5
2,5
2,6
2,7
3,7
4,7
4,8
5,8
5,9
5,10
6,10
7,10
8,10
8,11
9,11
9,12
9,13
10,13
11,13
12,13
13,13
13,14
14,14
15,14
16,14
16,15
16,16
17,16
18,16
18,17
18,18
19,18
20,18
21,18
22,18
22,19
23,19
24,19
24,20
25,20
25,21
26,21
26,22
27,22
28,22
28,23
29,23
29,24
29,25
30,25
31,25
32,25
33,25
34,25
34,26
34,27
35,27
36,27
37,27
37,28
38,28
39,28
39,29
40,29
41,29
42,29
42,30
42,31
42,32
42,33
42,34
42,35
43,35
44,35
44,36
44,37
45,37
45,38
46,38
46,39
47,39
48,39
49,39
50,39
51,39
52,39
52,40
52,41
53,41
54,41
54,42
54,43
55,43
55,44
56,44
56,45
57,45
58,45
59,45
59,46
59,47
60,47
61,47
61,48
61,49
62,49
62,50
63,50
63,51
64,51
65,51
66,51
66,52
66,53
66,54
67,54
67,55
68,55
68,56
68,57
69,57
69,58
70,58
71,58
71,59
71,60
72,60
72,61
73,61
74,61
74,62
75,62
76,62
77,62
77,63
78,63
78,64
79,64
79,65
80,65
80,66
81,66
81,67
82,67
82,68
82,69
83,69
83,70
84,70
84,71
85,71
85,72
85,73
86,73
86,74
87,74
88,74
89,74
90,74
90,75
91,75
91,76
92,76
92,77
92,78
93,78
94,78
95,78
95,79
96,79
96,80
96,81
97,81
98,81
99,81
99,82
100,82
101,82
101,83
101,84
102,84
102,85
102,86
103,86
104,86
104,87
104,88
105,88
106,88
106,89
107,89
107,90
108,90
108,91
108,92
108,93
109,93
109,94
109,95
110,95
110,96
111,96
112,96
113,96
113,97
114,97
115,97
116,97
117,97
117,98
117,99
117,100
118,100
119,100
119,101
120,101
121,101
122,101
123,101
124,101
125,101
126,101
126,102
126,103
126,104
126,105
126,106
126,107
126,108
126,109
126,110
127,110
127,111
127,112
127,113
128,113
128,114
128,115
129,115
130,115
130,116
130,117
130,118
130,119
130,120
131,120
131,121
131,122
132,122
132,123
133,123
134,123
134,124
135,124
136,124
137,124
138,124
139,124
139,125
139,126
139,127
139,128
140,128
140,129
140,130
141,130
142,130
143,130
144,130
145,130
145,131
145,132
145,133
145,134
145,135
145,136
145,137
146,137
146,138
147,138
148,138
148,139
149,139
150,139
151,139
152,139
152,140
153,140
154,140
155,140
156,140
156,141
156,142
157,142
158,142
158,143
159,143
160,143
160,144
161,144
162,144
162,145
163,145
164,145
165,145
165,146
165,147
165,148
166,148
167,148
168,148
168,149
169,149
170,149
171,149
172,149
173,149
174,149
174,150
174,151
174,152
175,152
176,152
176,153
176,154
177,154
178,154
179,154
179,155
180,155
181,155
181,156
181,157
182,157
183,157
183,158
183,159
183,160
183,161
184,161
185,161
185,162
185,163
185,164
185,165
186,165
186,166
186,167
187,167
187,168
188,168
189,168
189,169
189,170
189,171
189,172
190,172
191,172
192,172
192,173
192,174
193,174
194,174
195,174
196,174
196,175
197,175
197,176
197,177
197,178
197,179
198,179
198,180
198,181
198,182
198,183
199,183
199,184
199,185
199,186
199,187
200,187
200,188
201,188
201,189
201,190
201,191
201,192
201,193
202,193
203,193
203,194
204,194
205,194
206,194
206,195
206,196
206,197
206,198
207,198
208,198
209,198
210,198
211,198
212,198
212,199
212,200
213,200
214,200
215,200
215,201
215,202
216,202
217,202
217,203
218,203
218,204
218,205
218,206
219,206
219,207
219,208
219,209
220,209
221,209
221,210
221,211
222,211
223,211
223,212
223,213
224,213
225,213
225,214
226,214
226,215
226,216
227,216
228,216
228,217
229,217
229,218
230,218
230,219
231,219
231,220
232,220
232,221
232,222
233,222
233,223
233,224
234,224
235,224
236,224
237,224
237,225
238,225
239,225
240,225
240,226
240,227
241,227
242,227
242,228
243,228
244,228
245,228
245,229
246,229
247,229
247,230
248,230
248,231
249,231
250,231
250,232
251,232
251,233
251,234
251,235
252,235
252,236
252,237
253,237
253,238
253,239
254,239
255,239
255,240
255,241
255,242
256,242
256,243
256,244
256,245
257,245
257,246
258,246
259,246
260,246
260,247
260,248
260,249
261,249
261,250
262,250
262,251
263,251
264,251
265,251
266,251
267,251
268,251
269,251
270,251
271,251
271,252
272,252
272,253
273,253
274,253
274,254
274,255
274,256
275,256
275,257
276,257
277,257
278,257
279,257
279,258
279,259
280,259
281,259
282,259
283,259
284,259
285,259
285,260
285,261
286,261
287,261
288,261
289,261
289,262
289,263
290,263
291,263
292,263
293,263
293,264
293,265
293,266
293,267
293,268
293,269
294,269
294,270
295,270
295,271
295,272
295,273
296,273
297,273
297,274
297,275
298,275
299,275
299,276
299,277
299,278
299,279
300,279
301,279
301,280
301,281
301,282
301,283
302,283
303,283
304,283
305,283
306,283
306,284
306,285
307,285
308,285
308,286
309,286
310,286
310,287
310,288
310,289
310,290
311,290
312,290
313,290
313,291
314,291
315,291
315,292
316,292
316,293
316,294
317,294
317,295
318,295
318,296
318,297
319,297
320,297
320,298
321,298
322,298
322,299
322,300
323,300
323,301
324,301
324,302
324,303
325,303
325,304
325,305
325,306
325,307
326,307
327,307
327,308
327,309
328,309
328,310
328,311
328,312
329,312
330,312
331,312
331,313
332,313
333,313
333,314
334,314
334,315
335,315
335,316
336,316
336,317
336,318
337,318
337,319
338,319
338,320
338,321
339,321
339,322
339,323
339,324
340,324
340,325
340,326
340,327
341,327
341,328
341,329
342,329
342,330
343,330
343,331
344,331
344,332
344,333
344,334
345,334
345,335
346,335
347,335
347,336
347,337
348,337
348,338
349,338
350,338
351,338
352,338
352,339
352,340
353,340
354,340
355,340
356,340
357,340
358,340
358,341
359,341
360,341
361,341
362,341
362,342
362,343
362,344
362,345
363,345
363,346
364,346
364,347
364,348
365,348
365,349
366,349
367,349
368,349
368,350
368,351
368,352
368,353
368,354
369,354
370,354
371,354
372,354
373,354
373,355
374,355
374,356
375,356
375,357
375,358
376,358
376,359
377,359
377,360
378,360
379,360
380,360
381,360
382,360
383,360
384,360
384,361
385,361
386,361
387,361
388,361
388,362
388,363
389,363
389,364
389,365
389,366
389,367
390,367
391,367
391,368
391,369
391,370
392,370
392,371
393,371
393,372
394,372
394,373
395,373
395,374
396,374
396,375
396,376
397,376
397,377
397,378
398,378
399,378
400,378
401,378
402,378
402,379
403,379
403,380
404,380
405,380
406,380
407,380
408,380
408,381
409,381
409,382
410,382
411,382
412,382
413,382
414,382
415,382
415,383
415,384
416,384
416,385
416,386
416,387
416,388
417,388
417,389
418,389
418,390
419,390
420,390
420,391
421,391
422,391
422,392
423,392
423,393
424,393
425,393
425,394
425,395
425,396
426,396
427,396
428,396
428,397
429,397
430,397
431,397
432,397
432,398
433,398
433,399
433,400
434,400
435,400
435,401
436,401
436,402
436,403
437,403
437,404
437,405
437,406
438,406
439,406
440,406
441,406
441,407
441,408
442,408
442,409
443,409
444,409
445,409
446,409
447,409
447,410
448,410
448,411
448,412
449,412
450,412
450,413
450,414
450,415
451,415
452,415
452,416
453,416
453,417
454,417
455,417
455,418
455,419
456,419
457,419
457,420
457,421
457,422
457,423
458,423
458,424
459,424
459,425
460,425
460,426
461,426
462,426
462,427
463,427
463,428
463,429
464,429
464,430
464,431
464,432
465,432
466,432
467,432
467,433
467,434
468,434
469,434
470,434
471,434
471,435
472,435
472,436
472,437
472,438
472,439
473,439
473,440
474,440
475,440
475,441
476,441
476,442
477,442
477,443
478,443
478,444
479,444
479,445
480,445
480,446
481,446
481,447
482,447
482,448
483,448
483,449
484,449
485,449
485,450
486,450
487,450
487,451
488,451
488,452
488,453
488,454
488,455
489,455
489,456
490,456
490,457
491,457
491,458
491,459
492,459
492,460
493,460
494,460
495,460
496,460
497,460
498,460
499,460
499,461
500,461
500,462
500,463
501,463
502,463
502,464
503,464
503,465
503,466
504,466
504,467
505,467
505,468
505,469
505,470
505,471
505,472
505,473
505,474
506,474
506,475
507,475
507,476
507,477
508,477
508,478
508,479
508,480
509,480
510,480
511,480
512,480
512,481
513,481
514,481
514,482
514,483
514,484
514,485
515,485
516,485
517,485
518,485
519,485
519,486
520,486
520,487
520,488
520,489
521,489
522,489
522,490
522,491
522,492
522,493
522,494
523,494
524,494
524,495
524,496
525,496
525,497
525,498
525,499
525,500
525,501
526,501
526,502
527,502
527,503
528,503
529,503
529,504
530,504
530,505
531,505
531,506
531,507
532,507
533,507
533,508
534,508
535,508
535,509
535,510
536,510
536,511
536,512
537,512
538,512
539,512
539,513
539,514
539,515
540,515
541,515
542,515
543,515
544,515
544,516
545,516
545,517
545,518
546,518
546,519
546,520
546,521
546,522
547,522
547,523
547,524
548,524
549,524
549,525
549,526
549,527
550,527
551,527
552,527
552,528
553,528
554,528
554,529
554,530
555,530
555,531
556,531
557,531
558,531
558,532
558,533
559,533
559,534
559,535
559,536
559,537
559,538
559,539
560,539
560,540
560,541
560,542
560,543
560,544
560,545
561,545
562,545
562,546
562,547
562,548
562,549
563,549
563,550
564,550
565,550
566,550
567,550
567,551
567,552
568,552
569,552
569,553
570,553
571,553
572,553
572,554
573,554
574,554
575,554
575,555
576,555
577,555
577,556
578,556
578,557
578,558
579,558
579,559
579,560
579,561
579,562
579,563
580,563
580,564
581,564
582,564
583,564
583,565
584,565
585,565
585,566
586,566
587,566
588,566
588,567
588,568
589,568
590,568
591,568
592,568
593,568
593,569
593,570
594,570
594,571
595,571
596,571
596,572
596,573
597,573
598,573
599,573
600,573
600,574
600,575
601,575
601,576
601,577
602,577
603,577
604,577
604,578
605,578
605,579
606,579
606,580
606,581
606,582
606,583
606,584
607,584
608,584
608,585
609,585
609,586
610,586
610,587
610,588
611,588
611,589
611,590
612,590
612,591
612,592
612,593
613,593
613,594
613,595
614,595
615,595
616,595
617,595
617,596
617,597
618,597
619,597
619,598
619,599
619,600
620,600
620,601
621,601
621,602
622,602
623,602
624,602
624,603
624,604
625,604
625,605
626,605
626,606
627,606
628,606
629,606
630,606
630,607
631,607
632,607
633,607
633,608
633,609
633,610
634,610
635,610
636,610
637,610
637,611
638,611
639,611
639,612
640,612
641,612
641,613
642,613
642,614
643,614
643,615
643,616
643,617
643,618
643,619
643,620
643,621
643,622
643,623
644,623
644,624
645,624
646,624
646,625
646,626
646,627
646,628
646,629
646,630
647,630
648,630
649,630
650,630
651,630
651,631
652,631
653,631
653,632
654,632
655,632
655,633
656,633
656,634
657,634
658,634
658,635
658,636
659,636
660,636
661,636
661,637
662,637
662,638
663,638
664,638
664,639
664,640
664,641
665,641
665,642
665,643
665,644
665,645
665,646
665,647
666,647
666,648
667,648
667,649
668,649
668,650
669,650
669,651
670,651
671,651
672,651
673,651
673,652
673,653
674,653
675,653
676,653
676,654
676,655
676,656
677,656
677,657
678,657
679,657
679,658
679,659
680,659
680,660
681,660
681,661
681,662
681,663
681,664
681,665
682,665
682,666
682,667
682,668
683,668
684,668
684,669
684,670
684,671
685,671
686,671
686,672
686,673
686,674
686,675
687,675
687,676
687,677
688,677
689,677
689,678
690,678
691,678
692,678
692,679
693,679
694,679
694,680
695,680
696,680
696,681
696,682
696,683
696,684
696,685
697,685
697,686
697,687
697,688
697,689
697,690
697,691
698,691
698,692
698,693
699,693
699,694
699,695
700,695
701,695
702,695
702,696
702,697
703,697
703,698
704,698
704,699
704,700
705,700
705,701
706,701
707,701
707,702
707,703
707,704
708,704
709,704
710,704
711,704
711,705
711,706
712,706
712,707
712,708
713,708
713,709
714,709
714,710
714,711
715,711
715,712
715,713
716,713
717,713
718,713
719,713
720,713
721,713
721,714
722,714
723,714
724,714
724,715
725,715
726,715
726,716
727,716
728,716
728,717
728,718
729,718
729,719
730,719
731,719
731,720
732,720
732,721
733,721
734,721
734,722
734,723
735,723
736,723
737,723
738,723
738,724
739,724
739,725
740,725
741,725
742,725
742,726
742,727
742,728
743,728
743,729
744,729
744,730
744,731
745,731
745,732
745,733
746,733
747,733
748,733
748,734
748,735
749,735
750,735
750,736
750,737
750,738
751,738
751,739
751,740
751,741
752,741
753,741
754,741
754,742
755,742
756,742
757,742
757,743
757,744
757,745
758,745
759,745
759,746
759,747
759,748
759,749
760,749
761,749
761,750
761,751
762,751
762,752
762,753
763,753
763,754
764,754
765,754
766,754
767,754
768,754
768,755
769,755
769,756
770,756
770,757
771,757
771,758
771,759
771,760
772,760
773,760
773,761
773,762
774,762
775,762
775,763
776,763
776,764
776,765
777,765
778,765
779,765
780,765
780,766
781,766
782,766
783,766
783,767
784,767
785,767
786,767
787,767
788,767
789,767
789,768
789,769
789,770
789,771
789,772
789,773
790,773
791,773
792,773
792,774
793,774
793,775
794,775
794,776
795,776
795,777
795,778
795,779
795,780
796,780
797,780
797,781
797,782
798,782
798,783
798,784
799,784
799,785
800,785
801,785
802,785
803,785
804,785
805,785
805,786
806,786
806,787
807,787
807,788
808,788
808,789
808,790
808,791
808,792
809,792
809,793
809,794
809,795
810,795
811,795
811,796
811,797
811,798
812,798
813,798
814,798
815,798
816,798
817,798
817,799
817,800
818,800
819,800
820,800
821,800
822,800
823,800
824,800
824,801
825,801
826,801
826,802
826,803
827,803
828,803
829,803
829,804
829,805
829,806
830,806
830,807
830,808
830,809
830,810
831,810
831,811
831,812
831,813
832,813
832,814
833,814
834,814
834,815
834,816
835,816
836,816
837,816
838,816
838,817
839,817
839,818
839,819
839,820
840,820
840,821
840,822
840,823
840,824
840,825
841,825
841,826
841,827
842,827
843,827
844,827
844,828
845,828
845,829
846,829
846,830
847,830
848,830
848,831
849,831
849,832
850,832
851,832
852,832
853,832
853,833
853,834
854,834
854,835
855,835
856,835
857,835
857,836
857,837
857,838
857,839
857,840
858,840
859,840
860,840
861,840
862,840
863,840
863,841
863,842
863,843
863,844
864,844
865,844
865,845
865,846
866,846
867,846
868,846
868,847
868,848
868,849
869,849
869,850
870,850
870,851
870,852
871,852
871,853
872,853
873,853
874,853
875,853
876,853
876,854
877,854
877,855
878,855
878,856
878,857
879,857
879,858
880,858
881,858
882,858
882,859
883,859
883,860
883,861
884,861
885,861
885,862
885,863
886,863
887,863
888,863
888,864
889,864
890,864
891,864
892,864
892,865
893,865
894,865
895,865
896,865
897,865
898,865
898,866
898,867
899,867
899,868
900,868
901,868
902,868
903,868
904,868
904,869
905,869
906,869
906,870
906,871
907,871
907,872
907,873
907,874
907,875
907,876
908,876
909,876
910,876
910,877
911,877
911,878
912,878
912,879
912,880
913,880
913,881
914,881
914,882
915,882
915,883
915,884
916,884
916,885
916,886
916,887
917,887
917,888
917,889
918,889
919,889
920,889
921,889
921,890
921,891
921,892
922,892
922,893
922,894
922,895
922,896
922,897
922,898
923,898
924,898
925,898
926,898
926,899
927,899
928,899
928,900
928,901
928,902
929,902
929,903
930,903
931,903
932,903
933,903
934,903
935,903
935,904
935,905
936,905
936,906
937,906
938,906
939,906
940,906
940,907
940,908
941,908
942,908
942,909
943,909
943,910
943,911
943,912
943,913
943,914
943,915
944,915
944,916
944,917
945,917
946,917
947,917
947,918
947,919
948,919
949,919
949,920
950,920
951,920
952,920
952,921
952,922
952,923
953,923
953,924
954,924
954,925
955,925
955,926
955,927
955,928
955,929
955,930
956,930
957,930
958,930
959,930
959,931
960,931
961,931
961,932
962,932
962,933
962,934
962,935
962,936
963,936
964,936
964,937
965,937
965,938
966,938
966,939
966,940
966,941
967,941
967,942
968,942
969,942
969,943
969,944
969,945
970,945
971,945
971,946
971,947
971,948
972,948
972,949
973,949
973,950
973,951
974,951
975,951
975,952
975,953
976,953
977,953
978,953
978,954
979,954
980,954
980,955
980,956
981,956
981,957
982,957
982,958
982,959
982,960
982,961
983,961
984,961
985,961
986,961
987,961
988,961
988,962
988,963
988,964
988,965
988,966
988,967
988,968
988,969
988,970
988,971
989,971
989,972
990,972
990,973
990,974
991,974
991,975
991,976
992,976
993,976
994,976
995,976
996,976
996,977
997,977
998,977
999,977
1000,977
1000,978
1001,978
1001,979
1002,979
1003,979
1004,979
1005,979
1005,980
1005,981
1005,982
1006,982
1007,982
1007,983
1007,984
1008,984
1009,984
1009,985
1009,986
1009,987
1010,987
1010,988
1010,989
1011,989
1012,989
1013,989
1013,990
1014,990
1014,991
1014,992
1014,993
1014,994
1015,994
1015,995
1015,996
1015,997
1016,997
1016,998
1016,999
1016,1000
1017,1000
1018,1000
1018,1001
1019,1001
1019,1002
1020,1002
1020,1003
1021,1003
1022,1003
1022,1004
1022,1005
1022,1006
1023,1006
1024,1006
1025,1006
1025,1007
1025,1008
1026,1008
1026,1009
1027,1009
1028,1009
1028,1010
1028,1011
1028,1012
1028,1013
1028,1014
1028,1015
1028,1016
1029,1016
1030,1016
1031,1016
1032,1016
1033,1016
1034,1016
1034,1017
1035,1017
1035,1018
1036,1018
1037,1018
1038,1018
1038,1019
1039,1019
1040,1019
1040,1020
1041,1020
1042,1020
1042,1021
1042,1022
1042,1023
1043,1023
1043,1024
1043,1025
1044,1025
1045,1025
1046,1025
1046,1026
1046,1027
1046,1028
1047,1028
1048,1028
1048,1029
1049,1029
1049,1030
1050,1030
1051,1030
1051,1031
1052,1031
1052,1032
1053,1032
1054,1032
1055,1032
1055,1033
1056,1033
1056,1034
1056,1035
1057,1035
1057,1036
1058,1036
1058,1037
1059,1037
1060,1037
1061,1037
1061,1038
1061,1039
1061,1040
1061,1041
1062,1041
1062,1042
1062,1043
1063,1043
1063,1044
1064,1044
1064,1045
1064,1046
1065,1046
1065,1047
1065,1048
1065,1049
1065,1050
1066,1050
1067,1050
1067,1051
1068,1051
1068,1052
1069,1052
1070,1052
1071,1052
1072,1052
1072,1053
1072,1054
1072,1055
1073,1055
1074,1055
1075,1055
1076,1055
1076,1056
1077,1056
1078,1056
1079,1056
1079,1057
1079,1058
1079,1059
1079,1060
1080,1060
1081,1060
1082,1060
1083,1060
1084,1060
1084,1061
1085,1061
1086,1061
1087,1061
1087,1062
1087,1063
1087,1064
1088,1064
1089,1064
1089,1065
1090,1065
1090,1066
1090,1067
1091,1067
1091,1068
1092,1068
1092,1069
1093,1069
1094,1069
1094,1070
1094,1071
1094,1072
1094,1073
1095,1073
1096,1073
1096,1074
1096,1075
1096,1076
1097,1076
1098,1076
1098,1077
1098,1078
1099,1078
1100,1078
1101,1078
1101,1079
1101,1080
1101,1081
1101,1082
1102,1082
1102,1083
1102,1084
1102,1085
1102,1086
1102,1087
1103,1087
1103,1088
1103,1089
1103,1090
1104,1090
1105,1090
1105,1091
1105,1092
1105,1093
1106,1093
1106,1094
1106,1095
1107,1095
1107,1096
1108,1096
1109,1096
1110,1096
1111,1096
1111,1097
1112,1097
1112,1098
1112,1099
1113,1099
1113,1100
1113,1101
1113,1102
1114,1102
1115,1102
1115,1103
1115,1104
1115,1105
1116,1105
1117,1105
1118,1105
1118,1106
1118,1107
1119,1107
1119,1108
1120,1108
1121,1108
1121,1109
1122,1109
1123,1109
1124,1109
1125,1109
1126,1109
1127,1109
1127,1110
1127,1111
1127,1112
1127,1113
1128,1113
1129,1113
1130,1113
1131,1113
1132,1113
1132,1114
1133,1114
1133,1115
1133,1116
1133,1117
1133,1118
1133,1119
1134,1119
1135,1119
1136,1119
1136,1120
1137,1120
1138,1120
1138,1121
1139,1121
1139,1122
1140,1122
1141,1122
1141,1123
1141,1124
1142,1124
1142,1125
1142,1126
1143,1126
1144,1126
1144,1127
1145,1127
1145,1128
1146,1128
1147,1128
1147,1129
1148,1129
1149,1129
1150,1129
1151,1129
1152,1129
1152,1130
1152,1131
1153,1131
1153,1132
1154,1132
1155,1132
1156,1132
1157,1132
1158,1132
1159,1132
1159,1133
1160,1133
1161,1133
1161,1134
1162,1134
1163,1134
1164,1134
1164,1135
1164,1136
1165,1136
1165,1137
1166,1137
1167,1137
1168,1137
1169,1137
1169,1138
1170,1138
1171,1138
1171,1139
1172,1139
1173,1139
1174,1139
1174,1140
1175,1140
1176,1140
1176,1141
1176,1142
1176,1143
1176,1144
1176,1145
1177,1145
1177,1146
1177,1147
1177,1148
1178,1148
1178,1149
1178,1150
1179,1150
1180,1150
1180,1151
1181,1151
1181,1152
1181,1153
1182,1153
1183,1153
1184,1153
1184,1154
1184,1155
1185,1155
1185,1156
1185,1157
1186,1157
1187,1157
1187,1158
1188,1158
1189,1158
1189,1159
1189,1160
1190,1160
1190,1161
1191,1161
1191,1162
1191,1163
1191,1164
1191,1165
1191,1166
1192,1166
1193,1166
1193,1167
1194,1167
1195,1167
1196,1167
1196,1168
1196,1169
1196,1170
1197,1170
1197,1171
1198,1171
1199,1171
1199,1172
1200,1172
1200,1173
1201,1173
1202,1173
1203,1173
1203,1174
1204,1174
1205,1174
1206,1174
1207,1174
1207,1175
1208,1175
1208,1176
1208,1177
1208,1178
1208,1179
1209,1179
1210,1179
1210,1180
1211,1180
1212,1180
1212,1181
1212,1182
1213,1182
1214,1182
1214,1183
1214,1184
1214,1185
1215,1185
1215,1186
1216,1186
1217,1186
1218,1186
1219,1186
1220,1186
1221,1186
1222,1186
1222,1187
1222,1188
1223,1188
1224,1188
1225,1188
1225,1189
1226,1189
1227,1189
1227,1190
1227,1191
1227,1192
1227,1193
1228,1193
1229,1193
1229,1194
1230,1194
1231,1194
1232,1194
1233,1194
1234,1194
1234,1195
1234,1196
1235,1196
1236,1196
1236,1197
1236,1198
1236,1199
1236,1200
1236,1201
1236,1202
1237,1202
1238,1202
1239,1202
1240,1202
1240,1203
1241,1203
1242,1203
1242,1204
1242,1205
1242,1206
1243,1206
1244,1206
1244,1207
1244,1208
1245,1208
1246,1208
1246,1209
1247,1209
1247,1210
1247,1211
1248,1211
1249,1211
1250,1211
1251,1211
1252,1211
1253,1211
1254,1211
1255,1211
1256,1211
1257,1211
1258,1211
1259,1211
1260,1211
1261,1211
1261,1212
1262,1212
1263,1212
1263,1213
1264,1213
1265,1213
1265,1214
1266,1214
1267,1214
1268,1214
1269,1214
1269,1215
1270,1215
1270,1216
1271,1216
1272,1216
1272,1217
1273,1217
1274,1217
1275,1217
1276,1217
1276,1218
1277,1218
1277,1219
1278,1219
1278,1220
1278,1221
1279,1221
1279,1222
1280,1222
1280,1223
1280,1224
1281,1224
1282,1224
1283,1224
1284,1224
1285,1224
1286,1224
1287,1224
1287,1225
1288,1225
1288,1226
1288,1227
1289,1227
1290,1227
1290,1228
1291,1228
1292,1228
1292,1229
1293,1229
1293,1230
1294,1230
1294,1231
1294,1232
1295,1232
1296,1232
1297,1232
1297,1233
1298,1233
1299,1233
1300,1233
1300,1234
1301,1234
1301,1235
1301,1236
1302,1236
1302,1237
1302,1238
1302,1239
