BetterRandomAgent 0,OracleAgent 1
0,1
1,1
2,1
3,1
3,2
4,2
5,2
5,3
6,3
7,3
8,3
8,4
8,5
8,6
9,6
10,6
11,6
12,6
13,6
13,7
14,7
14,8
14,9
14,10
14,11
15,11
15,12
16,12
17,12
18,12
19,12
19,13
19,14
20,14
20,15
20,16
20,17
21,17
21,18
21,19
21,20
21,21
22,21
23,21
23,22
24,22
24,23
24,24
25,24
25,25
26,25
27,25
28,25
28,26
28,27
28,28
29,28
30,28
30,29
30,30
30,31
30,32
30,33
31,33
32,33
32,34
32,35
32,36
32,37
33,37
33,38
33,39
34,39
34,40
35,40
36,40
36,41
37,41
37,42
37,43
38,43
38,44
38,45
38,46
38,47
39,47
40,47
40,48
41,48
41,49
42,49
43,49
44,49
44,50
44,51
45,51
45,52
46,52
46,53
46,54
46,55
46,56
47,56
48,56
49,56
49,57
49,58
49,59
50,59
50,60
51,60
52,60
52,61
53,61
53,62
53,63
54,63
55,63
55,64
56,64
56,65
56,66
56,67
57,67
57,68
57,69
57,70
57,71
58,71
58,72
58,73
58,74
59,74
60,74
60,75
60,76
60,77
61,77
61,78
62,78
62,79
62,80
63,80
63,81
63,82
63,83
63,84
63,85
64,85
64,86
64,87
64,88
65,88
66,88
66,89
67,89
67,90
67,91
68,91
68,92
68,93
68,94
68,95
68,96
68,97
68,98
69,98
69,99
70,99
70,100
70,101
70,102
70,103
71,103
71,104
71,105
72,105
72,106
72,107
72,108
72,109
72,110
72,111
72,112
72,113
72,114
72,115
72,116
73,116
74,116
74,117
74,118
74,119
74,120
74,121
74,122
74,123
75,123
75,124
76,124
76,125
76,126
76,127
76,128
77,128
78,128
78,129
78,130
78,131
78,132
79,132
80,132
81,132
82,132
82,133
82,134
83,134
83,135
84,135
84,136
84,137
84,138
84,139
84,140
85,140
85,141
86,141
86,142
87,142
87,143
87,144
87,145
87,146
88,146
88,147
89,147
89,148
89,149
89,150
89,151
89,152
89,153
90,153
91,153
91,154
92,154
92,155
92,156
93,156
93,157
93,158
93,159
93,160
93,161
93,162
94,162
94,163
94,164
95,164
96,164
97,164
97,165
98,165
99,165
99,166
100,166
100,167
100,168
101,168
101,169
101,170
102,170
103,170
103,171
104,171
105,171
105,172
106,172
106,173
106,174
106,175
107,175
107,176
108,176
108,177
108,178
109,178
110,178
111,178
111,179
112,179
112,180
112,181
113,181
113,182
114,182
114,183
114,184
114,185
114,186
114,187
114,188
114,189
114,190
115,190
115,191
116,191
116,192
116,193
117,193
117,194
118,194
119,194
120,194
121,194
121,195
121,196
121,197
121,198
122,198
122,199
122,200
122,201
123,201
123,202
124,202
124,203
125,203
126,203
126,204
127,204
127,205
127,206
128,206
128,207
128,208
129,208
129,209
130,209
130,210
131,210
132,210
132,211
132,212
133,212
134,212
135,212
135,213
136,213
136,214
137,214
137,215
137,216
137,217
138,217
138,218
138,219
138,220
138,221
139,221
139,222
140,222
140,223
141,223
141,224
141,225
142,225
142,226
143,226
143,227
143,228
144,228
144,229
144,230
144,231
144,232
145,232
146,232
146,233
147,233
147,234
147,235
148,235
148,236
149,236
149,237
150,237
150,238
151,238
151,239
152,239
152,240
153,240
153,241
154,241
155,241
155,242
155,243
155,244
155,245
155,246
156,246
156,247
157,247
157,248
158,248
158,249
158,250
158,251
158,252
159,252
160,252
161,252
162,252
162,253
163,253
164,253
165,253
165,254
166,254
166,255
166,256
167,256
168,256
168,257
168,258
169,258
170,258
170,259
170,260
170,261
170,262
171,262
171,263
171,264
172,264
173,264
174,264
174,265
174,266
175,266
176,266
177,266
177,267
177,268
178,268
178,269
179,269
180,269
181,269
182,269
182,270
182,271
183,271
184,271
184,272
184,273
184,274
185,274
185,275
185,276
185,277
185,278
185,279
186,279
187,279
188,279
188,280
189,280
189,281
190,281
190,282
190,283
191,283
191,284
192,284
193,284
194,284
194,285
195,285
195,286
195,287
196,287
196,288
196,289
196,290
196,291
197,291
197,292
198,292
198,293
198,294
198,295
198,296
198,297
198,298
198,299
198,300
198,301
198,302
198,303
198,304
198,305
199,305
200,305
200,306
200,307
200,308
200,309
200,310
201,310
201,311
201,312
201,313
201,314
202,314
202,315
202,316
202,317
202,318
203,318
203,319
203,320
204,320
205,320
206,320
207,320
207,321
208,321
208,322
208,323
208,324
209,324
210,324
211,324
211,325
211,326
211,327
211,328
212,328
213,328
213,329
213,330
213,331
213,332
214,332
214,333
214,334
215,334
215,335
215,336
215,337
216,337
216,338
216,339
216,340
216,341
217,341
218,341
219,341
220,341
221,341
222,341
223,341
224,341
224,342
225,342
226,342
227,342
228,342
228,343
228,344
228,345
228,346
228,347
229,347
230,347
230,348
230,349
231,349
231,350
231,351
232,351
233,351
233,352
233,353
234,353
235,353
236,353
236,354
237,354
237,355
237,356
237,357
237,358
237,359
238,359
239,359
239,360
240,360
240,361
240,362
240,363
240,364
241,364
241,365
241,366
241,367
241,368
241,369
241,370
241,371
241,372
242,372
243,372
243,373
243,374
243,375
243,376
244,376
245,376
246,376
246,377
247,377
247,378
247,379
247,380
247,381
248,381
249,381
249,382
249,383
249,384
249,385
250,385
250,386
251,386
252,386
252,387
252,388
252,389
253,389
253,390
253,391
253,392
254,392
255,392
255,393
255,394
256,394
256,395
257,395
257,396
258,396
258,397
259,397
259,398
259,399
259,400
259,401
260,401
260,402
260,403
260,404
261,404
261,405
261,406
261,407
261,408
262,408
262,409
262,410
262,411
262,412
263,412
263,413
264,413
264,414
265,414
265,415
266,415
266,416
266,417
266,418
267,418
267,419
267,420
267,421
267,422
268,422
269,422
270,422
270,423
270,424
270,425
270,426
270,427
270,428
270,429
271,429
271,430
271,431
271,432
272,432
272,433
272,434
272,435
272,436
272,437
273,437
274,437
274,438
274,439
274,440
275,440
275,441
275,442
275,443
275,444
276,444
276,445
277,445
277,446
277,447
278,447
279,447
280,447
280,448
280,449
280,450
280,451
281,451
281,452
281,453
282,453
282,454
282,455
282,456
283,456
283,457
283,458
283,459
283,460
283,461
283,462
283,463
284,463
284,464
284,465
284,466
284,467
285,467
286,467
286,468
286,469
287,469
287,470
288,470
289,470
289,471
290,471
290,472
290,473
291,473
292,473
292,474
293,474
293,475
294,475
294,476
295,476
295,477
296,477
296,478
296,479
297,479
297,480
298,480
298,481
299,481
300,481
300,482
301,482
301,483
302,483
302,484
302,485
302,486
302,487
303,487
304,487
304,488
304,489
304,490
304,491
305,491
305,492
305,493
305,494
305,495
305,496
305,497
305,498
305,499
306,499
307,499
307,500
307,501
307,502
