IsmctsAgent 0,PruningRLAgent 1
1,0
2,0
3,0
4,0
4,1
4,2
5,2
6,2
6,3
6,4
7,4
8,4
9,4
9,5
10,5
11,5
12,5
13,5
14,5
14,6
15,6
16,6
17,6
17,7
18,7
18,8
18,9
18,10
18,11
19,11
19,12
20,12
21,12
22,12
23,12
23,13
24,13
25,13
25,14
25,15
26,15
27,15
27,16
27,17
28,17
29,17
29,18
30,18
31,18
32,18
33,18
34,18
35,18
35,19
35,20
36,20
36,21
37,21
38,21
39,21
39,22
40,22
41,22
42,22
43,22
44,22
45,22
45,23
45,24
46,24
46,25
47,25
47,26
48,26
49,26
50,26
51,26
52,26
53,26
54,26
55,26
56,26
56,27
57,27
57,28
58,28
58,29
59,29
59,30
60,30
60,31
61,31
62,31
63,31
64,31
65,31
66,31
67,31
68,31
69,31
69,32
69,33
70,33
71,33
72,33
73,33
74,33
74,34
75,34
76,34
77,34
78,34
78,35
79,35
80,35
80,36
81,36
82,36
83,36
84,36
85,36
86,36
87,36
87,37
88,37
89,37
90,37
91,37
92,37
93,37
94,37
94,38
95,38
96,38
97,38
98,38
99,38
99,39
100,39
100,40
101,40
102,40
103,40
104,40
105,40
106,40
107,40
107,41
108,41
109,41
110,41
111,41
112,41
113,41
114,41
115,41
115,42
115,43
116,43
117,43
117,44
117,45
117,46
118,46
119,46
120,46
121,46
122,46
122,47
123,47
124,47
124,48
125,48
126,48
127,48
128,48
129,48
130,48
131,48
132,48
132,49
133,49
134,49
134,50
135,50
136,50
137,50
138,50
139,50
140,50
141,50
142,50
143,50
143,51
143,52
143,53
144,53
145,53
146,53
147,53
148,53
149,53
150,53
151,53
152,53
153,53
154,53
155,53
155,54
156,54
157,54
158,54
159,54
160,54
161,54
162,54
162,55
163,55
163,56
164,56
165,56
165,57
166,57
167,57
168,57
169,57
170,57
171,57
171,58
172,58
172,59
172,60
172,61
173,61
174,61
174,62
175,62
176,62
177,62
178,62
179,62
180,62
181,62
182,62
183,62
183,63
184,63
185,63
186,63
187,63
188,63
189,63
190,63
191,63
192,63
193,63
194,63
195,63
196,63
197,63
198,63
198,64
199,64
200,64
200,65
201,65
202,65
203,65
204,65
205,65
205,66
205,67
205,68
206,68
207,68
208,68
