OracleAgent 0,IsmctsAgent 1
0,1
0,2
0,3
0,4
1,4
1,5
1,6
1,7
2,7
2,8
2,9
3,9
4,9
4,10
4,11
4,12
5,12
5,13
6,13
6,14
7,14
7,15
8,15
8,16
9,16
9,17
9,18
10,18
10,19
11,19
11,20
12,20
12,21
12,22
12,23
12,24
12,25
13,25
14,25
15,25
15,26
15,27
16,27
17,27
18,27
18,28
18,29
19,29
19,30
20,30
20,31
20,32
20,33
21,33
22,33
23,33
24,33
24,34
24,35
24,36
25,36
25,37
25,38
25,39
25,40
26,40
27,40
28,40
28,41
28,42
28,43
28,44
28,45
29,45
29,46
30,46
31,46
31,47
32,47
32,48
33,48
33,49
33,50
34,50
34,51
34,52
34,53
34,54
35,54
36,54
37,54
38,54
39,54
40,54
41,54
41,55
41,56
42,56
43,56
44,56
45,56
45,57
46,57
46,58
47,58
48,58
48,59
48,60
48,61
48,62
48,63
49,63
49,64
49,65
50,65
51,65
52,65
53,65
54,65
54,66
55,66
55,67
56,67
57,67
58,67
58,68
59,68
59,69
59,70
59,71
60,71
60,72
60,73
60,74
60,75
61,75
62,75
62,76
63,76
63,77
63,78
63,79
63,80
63,81
64,81
64,82
64,83
64,84
64,85
64,86
65,86
66,86
66,87
67,87
67,88
67,89
68,89
68,90
69,90
69,91
70,91
71,91
72,91
72,92
73,92
73,93
73,94
74,94
74,95
75,95
75,96
75,97
75,98
75,99
76,99
77,99
77,100
77,101
78,101
78,102
78,103
78,104
78,105
78,106
79,106
79,107
79,108
80,108
81,108
81,109
81,110
82,110
82,111
82,112
83,112
83,113
83,114
83,115
84,115
84,116
84,117
85,117
85,118
86,118
86,119
86,120
87,120
87,121
88,121
89,121
90,121
90,122
90,123
91,123
92,123
93,123
93,124
93,125
94,125
95,125
96,125
97,125
97,126
98,126
98,127
98,128
98,129
99,129
99,130
99,131
99,132
99,133
99,134
100,134
100,135
101,135
101,136
101,137
101,138
101,139
101,140
101,141
102,141
102,142
102,143
102,144
102,145
103,145
103,146
103,147
103,148
104,148
104,149
104,150
104,151
104,152
104,153
104,154
104,155
104,156
104,157
104,158
105,158
105,159
105,160
105,161
105,162
105,163
105,164
106,164
106,165
106,166
107,166
108,166
109,166
109,167
110,167
110,168
111,168
111,169
111,170
111,171
111,172
111,173
112,173
112,174
113,174
113,175
113,176
113,177
113,178
113,179
114,179
114,180
114,181
115,181
116,181
116,182
117,182
117,183
117,184
117,185
118,185
118,186
119,186
120,186
120,187
121,187
121,188
121,189
121,190
122,190
122,191
123,191
124,191
125,191
125,192
125,193
125,194
126,194
127,194
128,194
129,194
129,195
130,195
130,196
131,196
131,197
131,198
131,199
132,199
133,199
133,200
134,200
134,201
135,201
135,202
136,202
136,203
137,203
138,203
139,203
139,204
139,205
140,205
140,206
140,207
141,207
142,207
143,207
144,207
145,207
146,207
147,207
147,208
148,208
149,208
150,208
150,209
150,210
150,211
150,212
150,213
150,214
150,215
151,215
152,215
153,215
153,216
154,216
154,217
155,217
155,218
155,219
155,220
156,220
157,220
157,221
157,222
157,223
157,224
158,224
159,224
159,225
159,226
159,227
159,228
159,229
159,230
159,231
160,231
160,232
160,233
161,233
161,234
161,235
162,235
163,235
163,236
164,236
165,236
165,237
165,238
166,238
166,239
167,239
167,240
168,240
169,240
170,240
170,241
170,242
170,243
170,244
170,245
171,245
171,246
171,247
172,247
173,247
174,247
174,248
174,249
175,249
175,250
176,250
176,251
176,252
176,253
177,253
178,253
178,254
179,254
179,255
179,256
179,257
179,258
179,259
180,259
180,260
180,261
180,262
180,263
181,263
181,264
182,264
182,265
182,266
183,266
183,267
184,267
184,268
184,269
184,270
185,270
185,271
186,271
187,271
187,272
187,273
188,273
189,273
189,274
189,275
190,275
191,275
192,275
192,276
192,277
192,278
193,278
193,279
194,279
194,280
194,281
195,281
196,281
196,282
197,282
197,283
197,284
197,285
197,286
198,286
198,287
198,288
198,289
199,289
199,290
200,290
200,291
200,292
200,293
200,294
201,294
201,295
202,295
203,295
204,295
204,296
205,296
206,296
207,296
207,297
208,297
209,297
209,298
209,299
209,300
210,300
210,301
210,302
211,302
211,303
211,304
211,305
212,305
213,305
213,306
214,306
214,307
214,308
214,309
214,310
214,311
215,311
216,311
216,312
217,312
217,313
218,313
219,313
220,313
221,313
222,313
222,314
222,315
222,316
223,316
224,316
225,316
225,317
225,318
225,319
225,320
225,321
226,321
226,322
227,322
227,323
227,324
228,324
228,325
229,325
230,325
230,326
231,326
231,327
232,327
233,327
233,328
234,328
234,329
234,330
234,331
234,332
235,332
236,332
236,333
236,334
236,335
237,335
237,336
237,337
238,337
238,338
239,338
239,339
239,340
240,340
240,341
240,342
241,342
242,342
243,342
243,343
243,344
244,344
244,345
244,346
244,347
244,348
244,349
245,349
245,350
245,351
246,351
246,352
246,353
247,353
248,353
248,354
248,355
248,356
249,356
250,356
250,357
251,357
251,358
251,359
252,359
253,359
253,360
253,361
253,362
253,363
253,364
253,365
254,365
254,366
255,366
255,367
255,368
256,368
256,369
257,369
257,370
257,371
257,372
258,372
259,372
260,372
261,372
261,373
261,374
261,375
261,376
262,376
262,377
263,377
263,378
263,379
264,379
264,380
265,380
266,380
267,380
268,380
269,380
269,381
269,382
269,383
270,383
270,384
270,385
271,385
272,385
272,386
273,386
274,386
274,387
275,387
275,388
275,389
275,390
276,390
277,390
278,390
278,391
279,391
279,392
279,393
280,393
280,394
280,395
281,395
281,396
281,397
281,398
282,398
283,398
284,398
285,398
285,399
286,399
286,400
287,400
287,401
288,401
289,401
290,401
290,402
291,402
291,403
291,404
291,405
292,405
293,405
293,406
293,407
294,407
294,408
294,409
294,410
295,410
295,411
296,411
297,411
298,411
298,412
298,413
299,413
300,413
301,413
302,413
302,414
302,415
303,415
303,416
304,416
304,417
304,418
305,418
305,419
305,420
305,421
305,422
306,422
306,423
307,423
308,423
309,423
310,423
310,424
310,425
310,426
310,427
311,427
311,428
311,429
312,429
313,429
313,430
313,431
314,431
314,432
315,432
316,432
316,433
317,433
317,434
317,435
318,435
318,436
319,436
319,437
319,438
320,438
321,438
322,438
323,438
324,438
325,438
326,438
327,438
327,439
328,439
329,439
329,440
330,440
331,440
332,440
333,440
333,441
334,441
334,442
334,443
335,443
336,443
336,444
337,444
337,445
337,446
337,447
338,447
338,448
339,448
340,448
341,448
341,449
342,449
342,450
342,451
343,451
344,451
344,452
344,453
345,453
345,454
346,454
347,454
347,455
347,456
347,457
347,458
347,459
347,460
348,460
348,461
348,462
349,462
350,462
351,462
351,463
351,464
351,465
351,466
351,467
351,468
352,468
353,468
354,468
355,468
356,468
356,469
356,470
357,470
357,471
357,472
357,473
357,474
357,475
358,475
358,476
358,477
359,477
360,477
360,478
360,479
361,479
361,480
361,481
362,481
362,482
363,482
363,483
363,484
363,485
364,485
364,486
364,487
365,487
366,487
366,488
367,488
368,488
368,489
368,490
368,491
369,491
369,492
369,493
369,494
370,494
371,494
372,494
372,495
372,496
372,497
372,498
372,499
