PruningRLAgent 0,BetterRandomAgent 1
0,1
1,1
1,2
2,2
3,2
3,3
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
4,12
5,12
5,13
5,14
5,15
5,16
6,16
6,17
6,18
6,19
6,20
6,21
6,22
7,22
7,23
7,24
7,25
7,26
7,27
8,27
9,27
10,27
11,27
11,28
11,29
11,30
11,31
11,32
12,32
12,33
12,34
12,35
12,36
13,36
13,37
13,38
13,39
14,39
15,39
16,39
17,39
18,39
18,40
19,40
19,41
19,42
19,43
19,44
20,44
20,45
20,46
20,47
20,48
20,49
20,50
20,51
21,51
22,51
23,51
23,52
23,53
23,54
24,54
24,55
24,56
24,57
25,57
26,57
26,58
26,59
26,60
26,61
26,62
26,63
27,63
27,64
27,65
27,66
27,67
28,67
29,67
29,68
30,68
30,69
30,70
30,71
30,72
31,72
31,73
31,74
32,74
32,75
33,75
33,76
33,77
33,78
34,78
34,79
35,79
36,79
36,80
37,80
37,81
37,82
38,82
38,83
39,83
39,84
39,85
39,86
40,86
41,86
41,87
41,88
41,89
41,90
42,90
42,91
43,91
44,91
44,92
45,92
45,93
45,94
45,95
45,96
46,96
47,96
47,97
47,98
48,98
48,99
49,99
49,100
49,101
50,101
50,102
51,102
51,103
51,104
51,105
52,105
52,106
53,106
54,106
54,107
54,108
55,108
56,108
57,108
57,109
57,110
58,110
59,110
59,111
60,111
60,112
61,112
62,112
62,113
62,114
63,114
63,115
64,115
64,116
65,116
66,116
66,117
66,118
67,118
68,118
68,119
69,119
70,119
71,119
71,120
72,120
73,120
73,121
74,121
74,122
74,123
74,124
74,125
75,125
75,126
76,126
76,127
77,127
78,127
79,127
80,127
80,128
80,129
81,129
82,129
83,129
84,129
85,129
86,129
86,130
87,130
87,131
87,132
87,133
87,134
87,135
88,135
88,136
88,137
88,138
88,139
88,140
88,141
89,141
90,141
91,141
91,142
92,142
93,142
93,143
94,143
94,144
95,144
96,144
96,145
96,146
97,146
97,147
98,147
99,147
100,147
101,147
102,147
103,147
103,148
104,148
105,148
106,148
106,149
107,149
107,150
108,150
108,151
108,152
109,152
109,153
109,154
109,155
110,155
111,155
112,155
113,155
114,155
114,156
114,157
114,158
114,159
114,160
115,160
116,160
116,161
116,162
116,163
116,164
116,165
116,166
117,166
118,166
119,166
120,166
120,167
121,167
122,167
123,167
124,167
124,168
124,169
125,169
126,169
126,170
127,170
128,170
128,171
129,171
130,171
130,172
131,172
132,172
133,172
134,172
134,173
134,174
135,174
135,175
135,176
136,176
136,177
137,177
137,178
138,178
138,179
138,180
138,181
138,182
139,182
140,182
140,183
140,184
141,184
142,184
142,185
143,185
143,186
143,187
143,188
144,188
144,189
145,189
146,189
146,190
147,190
148,190
148,191
148,192
149,192
150,192
151,192
152,192
152,193
152,194
153,194
154,194
154,195
154,196
155,196
156,196
156,197
157,197
157,198
157,199
157,200
158,200
158,201
158,202
158,203
158,204
159,204
159,205
159,206
159,207
159,208
159,209
159,210
160,210
160,211
160,212
160,213
161,213
162,213
163,213
163,214
164,214
164,215
165,215
166,215
166,216
166,217
166,218
167,218
167,219
167,220
167,221
168,221
168,222
169,222
170,222
171,222
171,223
171,224
172,224
173,224
174,224
174,225
174,226
174,227
175,227
175,228
175,229
176,229
176,230
177,230
178,230
178,231
178,232
179,232
180,232
180,233
180,234
180,235
180,236
180,237
180,238
181,238
182,238
182,239
183,239
184,239
185,239
186,239
187,239
188,239
188,240
189,240
190,240
190,241
190,242
190,243
190,244
190,245
190,246
190,247
191,247
191,248
191,249
191,250
191,251
192,251
193,251
193,252
194,252
195,252
196,252
196,253
196,254
197,254
198,254
198,255
199,255
199,256
199,257
199,258
200,258
200,259
200,260
200,261
200,262
201,262
202,262
203,262
204,262
204,263
205,263
206,263
207,263
207,264
208,264
209,264
210,264
210,265
211,265
212,265
212,266
213,266
213,267
213,268
214,268
214,269
215,269
215,270
215,271
216,271
216,272
217,272
218,272
218,273
219,273
220,273
221,273
222,273
223,273
223,274
223,275
223,276
224,276
225,276
226,276
226,277
226,278
226,279
226,280
226,281
227,281
228,281
228,282
229,282
230,282
231,282
232,282
233,282
233,283
234,283
235,283
236,283
237,283
237,284
237,285
238,285
238,286
239,286
239,287
240,287
240,288
241,288
242,288
242,289
243,289
243,290
244,290
245,290
246,290
246,291
246,292
247,292
247,293
248,293
248,294
249,294
249,295
250,295
251,295
252,295
252,296
252,297
253,297
254,297
254,298
254,299
254,300
255,300
255,301
255,302
255,303
256,303
256,304
257,304
257,305
257,306
258,306
258,307
259,307
259,308
260,308
260,309
260,310
260,311
260,312
260,313
261,313
261,314
262,314
262,315
262,316
263,316
264,316
265,316
265,317
265,318
265,319
266,319
266,320
267,320
268,320
269,320
269,321
269,322
269,323
269,324
270,324
271,324
272,324
272,325
272,326
273,326
274,326
275,326
275,327
275,328
275,329
275,330
276,330
276,331
277,331
277,332
278,332
279,332
280,332
281,332
282,332
282,333
282,334
282,335
282,336
282,337
283,337
283,338
283,339
283,340
283,341
284,341
284,342
285,342
285,343
285,344
285,345
285,346
286,346
286,347
286,348
287,348
288,348
288,349
289,349
290,349
290,350
291,350
292,350
293,350
294,350
294,351
295,351
295,352
296,352
296,353
296,354
297,354
297,355
297,356
297,357
297,358
298,358
298,359
298,360
298,361
298,362
298,363
298,364
299,364
300,364
300,365
300,366
300,367
301,367
302,367
302,368
303,368
304,368
305,368
305,369
305,370
306,370
306,371
306,372
307,372
308,372
308,373
308,374
309,374
310,374
311,374
311,375
311,376
311,377
312,377
312,378
312,379
313,379
313,380
314,380
314,381
314,382
315,382
316,382
316,383
316,384
316,385
316,386
316,387
316,388
316,389
317,389
317,390
318,390
318,391
318,392
318,393
318,394
319,394
320,394
320,395
321,395
321,396
322,396
322,397
323,397
324,397
324,398
324,399
325,399
325,400
325,401
326,401
326,402
327,402
327,403
328,403
329,403
329,404
329,405
330,405
330,406
330,407
331,407
332,407
332,408
333,408
333,409
334,409
334,410
334,411
334,412
334,413
335,413
336,413
337,413
338,413
339,413
340,413
341,413
341,414
342,414
342,415
342,416
343,416
343,417
343,418
344,418
344,419
345,419
345,420
346,420
347,420
347,421
347,422
347,423
347,424
347,425
347,426
347,427
347,428
347,429
348,429
349,429
349,430
349,431
350,431
351,431
352,431
352,432
353,432
353,433
353,434
353,435
353,436
353,437
353,438
354,438
355,438
355,439
355,440
355,441
356,441
356,442
356,443
356,444
356,445
357,445
358,445
358,446
359,446
359,447
360,447
361,447
