PruningRLAgent 0,IsmctsAgent 1
0,1
0,2
0,3
0,4
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
2,12
2,13
3,13
4,13
4,14
4,15
5,15
5,16
5,17
5,18
5,19
6,19
6,20
7,20
8,20
8,21
8,22
8,23
8,24
8,25
9,25
9,26
9,27
10,27
10,28
10,29
10,30
11,30
11,31
11,32
11,33
12,33
13,33
13,34
14,34
15,34
15,35
16,35
16,36
17,36
17,37
17,38
18,38
19,38
19,39
19,40
20,40
20,41
20,42
20,43
20,44
20,45
21,45
22,45
22,46
22,47
22,48
22,49
22,50
22,51
22,52
22,53
22,54
22,55
22,56
22,57
23,57
23,58
23,59
23,60
23,61
23,62
23,63
23,64
23,65
23,66
23,67
23,68
23,69
23,70
24,70
25,70
25,71
25,72
26,72
26,73
26,74
26,75
26,76
27,76
28,76
28,77
29,77
29,78
30,78
30,79
30,80
30,81
30,82
31,82
31,83
32,83
32,84
33,84
33,85
34,85
35,85
35,86
36,86
37,86
37,87
37,88
37,89
38,89
39,89
39,90
39,91
39,92
39,93
39,94
39,95
40,95
40,96
40,97
41,97
41,98
41,99
41,100
41,101
41,102
42,102
43,102
43,103
43,104
43,105
43,106
43,107
43,108
43,109
43,110
43,111
43,112
43,113
43,114
43,115
43,116
44,116
44,117
45,117
45,118
45,119
45,120
45,121
45,122
45,123
46,123
47,123
47,124
47,125
47,126
47,127
47,128
47,129
47,130
47,131
47,132
47,133
47,134
47,135
47,136
47,137
47,138
48,138
49,138
49,139
49,140
49,141
49,142
49,143
49,144
49,145
50,145
51,145
52,145
52,146
52,147
52,148
52,149
52,150
52,151
52,152
52,153
53,153
54,153
54,154
54,155
54,156
55,156
55,157
55,158
55,159
56,159
56,160
56,161
56,162
56,163
57,163
58,163
58,164
58,165
58,166
58,167
59,167
59,168
59,169
60,169
60,170
61,170
61,171
61,172
61,173
61,174
62,174
62,175
62,176
62,177
62,178
62,179
62,180
62,181
62,182
62,183
63,183
63,184
64,184
64,185
64,186
64,187
65,187
65,188
65,189
65,190
66,190
66,191
67,191
67,192
67,193
67,194
67,195
67,196
67,197
67,198
67,199
67,200
67,201
67,202
67,203
68,203
68,204
68,205
69,205
69,206
69,207
69,208
69,209
69,210
70,210
70,211
70,212
70,213
71,213
71,214
71,215
72,215
72,216
72,217
72,218
73,218
74,218
74,219
74,220
75,220
76,220
76,221
77,221
77,222
77,223
78,223
78,224
78,225
78,226
78,227
78,228
78,229
78,230
78,231
78,232
78,233
78,234
78,235
78,236
78,237
78,238
78,239
78,240
78,241
78,242
78,243
78,244
78,245
79,245
79,246
79,247
79,248
79,249
79,250
79,251
79,252
79,253
79,254
80,254
80,255
81,255
82,255
82,256
83,256
83,257
83,258
83,259
83,260
83,261
83,262
84,262
84,263
84,264
85,264
85,265
85,266
85,267
86,267
86,268
86,269
87,269
87,270
87,271
87,272
87,273
88,273
88,274
89,274
89,275
89,276
89,277
89,278
90,278
90,279
90,280
90,281
90,282
90,283
91,283
91,284
91,285
92,285
92,286
92,287
93,287
94,287
94,288
94,289
94,290
94,291
94,292
94,293
95,293
95,294
95,295
96,295
97,295
97,296
97,297
97,298
97,299
97,300
97,301
98,301
98,302
99,302
99,303
100,303
101,303
102,303
102,304
102,305
103,305
103,306
104,306
105,306
106,306
107,306
107,307
107,308
107,309
107,310
107,311
107,312
107,313
107,314
107,315
108,315
108,316
109,316
109,317
109,318
109,319
109,320
110,320
110,321
110,322
110,323
110,324
110,325
110,326
110,327
110,328
110,329
111,329
111,330
111,331
111,332
111,333
111,334
111,335
112,335
112,336
113,336
114,336
114,337
114,338
115,338
115,339
115,340
115,341
116,341
117,341
118,341
118,342
119,342
119,343
119,344
120,344
120,345
121,345
121,346
121,347
122,347
122,348
122,349
122,350
122,351
122,352
123,352
123,353
124,353
125,353
125,354
125,355
125,356
125,357
125,358
125,359
125,360
125,361
126,361
126,362
126,363
127,363
127,364
127,365
127,366
127,367
127,368
127,369
127,370
127,371
127,372
128,372
129,372
129,373
129,374
129,375
129,376
130,376
130,377
130,378
131,378
131,379
131,380
132,380
132,381
133,381
133,382
134,382
134,383
135,383
135,384
136,384
136,385
136,386
136,387
136,388
136,389
136,390
136,391
136,392
136,393
136,394
136,395
136,396
136,397
136,398
137,398
138,398
138,399
138,400
138,401
138,402
138,403
138,404
138,405
138,406
138,407
138,408
138,409
138,410
138,411
139,411
139,412
139,413
139,414
140,414
140,415
140,416
140,417
140,418
140,419
140,420
140,421
141,421
141,422
142,422
142,423
142,424
143,424
143,425
143,426
144,426
144,427
145,427
145,428
145,429
146,429
146,430
146,431
146,432
146,433
146,434
146,435
146,436
147,436
147,437
147,438
148,438
149,438
149,439
149,440
149,441
149,442
149,443
149,444
149,445
149,446
149,447
149,448
149,449
150,449
150,450
151,450
151,451
151,452
151,453
151,454
151,455
152,455
153,455
153,456
153,457
154,457
154,458
154,459
155,459
155,460
156,460
156,461
156,462
156,463
156,464
156,465
156,466
157,466
157,467
157,468
157,469
158,469
158,470
158,471
158,472
159,472
159,473
159,474
159,475
160,475
160,476
160,477
160,478
160,479
161,479
161,480
162,480
162,481
162,482
162,483
162,484
162,485
162,486
163,486
164,486
164,487
164,488
165,488
165,489
166,489
166,490
166,491
166,492
166,493
166,494
167,494
168,494
169,494
170,494
170,495
171,495
171,496
171,497
171,498
172,498
172,499
173,499
173,500
173,501
173,502
173,503
174,503
174,504
174,505
175,505
175,506
176,506
177,506
177,507
177,508
178,508
178,509
178,510
178,511
178,512
178,513
178,514
178,515
178,516
178,517
178,518
178,519
179,519
180,519
181,519
182,519
182,520
182,521
182,522
182,523
182,524
182,525
182,526
182,527
183,527
184,527
184,528
184,529
184,530
184,531
184,532
185,532
186,532
186,533
187,533
188,533
188,534
188,535
189,535
189,536
189,537
189,538
189,539
189,540
189,541
189,542
190,542
190,543
191,543
191,544
192,544
192,545
192,546
192,547
192,548
193,548
193,549
194,549
195,549
195,550
195,551
195,552
195,553
195,554
195,555
195,556
195,557
196,557
196,558
197,558
198,558
199,558
200,558
200,559
200,560
200,561
200,562
201,562
202,562
203,562
203,563
203,564
203,565
203,566
203,567
204,567
205,567
205,568
205,569
205,570
205,571
205,572
205,573
205,574
205,575
205,576
206,576
207,576
207,577
208,577
208,578
208,579
208,580
208,581
208,582
208,583
208,584
208,585
209,585
209,586
210,586
210,587
211,587
211,588
211,589
211,590
212,590
213,590
213,591
213,592
213,593
213,594
213,595
214,595
214,596
214,597
215,597
215,598
216,598
216,599
216,600
216,601
216,602
216,603
216,604
216,605
216,606
216,607
216,608
216,609
216,610
216,611
217,611
217,612
217,613
218,613
218,614
219,614
219,615
219,616
219,617
219,618
219,619
219,620
220,620
220,621
220,622
221,622
222,622
222,623
222,624
222,625
222,626
222,627
223,627
223,628
223,629
223,630
223,631
223,632
223,633
223,634
223,635
223,636
223,637
224,637
224,638
224,639
225,639
225,640
225,641
226,641
226,642
226,643
226,644
227,644
