PruningRLAgent 0,OracleAgent 1
0,1
0,2
0,3
0,4
0,5
1,5
2,5
2,6
2,7
3,7
3,8
3,9
3,10
3,11
3,12
4,12
4,13
4,14
4,15
4,16
4,17
4,18
4,19
4,20
5,20
5,21
5,22
6,22
6,23
7,23
8,23
8,24
8,25
8,26
9,26
9,27
10,27
11,27
12,27
12,28
13,28
13,29
14,29
14,30
14,31
14,32
14,33
15,33
16,33
17,33
18,33
18,34
18,35
18,36
19,36
20,36
20,37
20,38
20,39
20,40
21,40
21,41
22,41
22,42
22,43
23,43
23,44
23,45
23,46
23,47
23,48
23,49
23,50
24,50
25,50
25,51
25,52
25,53
26,53
27,53
27,54
27,55
27,56
27,57
27,58
27,59
27,60
28,60
28,61
29,61
29,62
29,63
30,63
30,64
31,64
32,64
33,64
33,65
34,65
34,66
34,67
35,67
35,68
35,69
35,70
35,71
36,71
36,72
36,73
36,74
36,75
36,76
37,76
37,77
37,78
38,78
38,79
38,80
39,80
40,80
40,81
40,82
40,83
41,83
41,84
41,85
42,85
43,85
43,86
43,87
43,88
43,89
43,90
43,91
44,91
44,92
44,93
44,94
44,95
44,96
44,97
44,98
45,98
45,99
45,100
46,100
47,100
47,101
47,102
47,103
47,104
48,104
49,104
49,105
50,105
51,105
52,105
52,106
52,107
52,108
52,109
52,110
52,111
52,112
53,112
53,113
54,113
54,114
54,115
55,115
55,116
55,117
56,117
56,118
57,118
57,119
57,120
58,120
59,120
59,121
60,121
60,122
60,123
60,124
60,125
60,126
60,127
61,127
61,128
62,128
62,129
63,129
64,129
64,130
64,131
64,132
64,133
64,134
65,134
66,134
66,135
67,135
67,136
68,136
69,136
69,137
69,138
69,139
70,139
70,140
70,141
71,141
71,142
71,143
71,144
71,145
71,146
71,147
72,147
72,148
72,149
72,150
72,151
72,152
72,153
72,154
73,154
73,155
73,156
73,157
73,158
74,158
74,159
74,160
74,161
74,162
74,163
74,164
74,165
74,166
74,167
75,167
75,168
76,168
77,168
77,169
77,170
77,171
77,172
78,172
78,173
78,174
78,175
79,175
79,176
80,176
81,176
81,177
81,178
82,178
82,179
82,180
83,180
83,181
83,182
84,182
85,182
86,182
87,182
88,182
89,182
90,182
90,183
90,184
91,184
91,185
91,186
91,187
91,188
91,189
92,189
93,189
94,189
95,189
96,189
96,190
97,190
97,191
98,191
98,192
98,193
98,194
98,195
98,196
98,197
98,198
98,199
98,200
98,201
98,202
99,202
99,203
99,204
99,205
100,205
100,206
101,206
101,207
102,207
102,208
102,209
102,210
103,210
103,211
103,212
104,212
105,212
105,213
106,213
107,213
107,214
107,215
107,216
107,217
107,218
107,219
108,219
109,219
109,220
109,221
109,222
110,222
110,223
111,223
112,223
113,223
114,223
114,224
114,225
114,226
114,227
114,228
114,229
115,229
115,230
116,230
117,230
118,230
119,230
119,231
119,232
120,232
121,232
121,233
121,234
121,235
121,236
121,237
122,237
123,237
123,238
123,239
124,239
125,239
125,240
126,240
126,241
126,242
127,242
128,242
129,242
130,242
130,243
130,244
130,245
130,246
130,247
131,247
131,248
131,249
131,250
132,250
133,250
133,251
133,252
133,253
133,254
133,255
133,256
134,256
134,257
134,258
134,259
134,260
134,261
135,261
135,262
135,263
135,264
135,265
135,266
136,266
137,266
137,267
137,268
137,269
138,269
138,270
138,271
138,272
138,273
138,274
139,274
140,274
140,275
140,276
140,277
140,278
140,279
141,279
141,280
141,281
142,281
142,282
142,283
143,283
143,284
144,284
145,284
145,285
146,285
146,286
146,287
146,288
146,289
146,290
147,290
148,290
148,291
148,292
148,293
148,294
148,295
148,296
149,296
150,296
150,297
151,297
152,297
153,297
154,297
155,297
155,298
155,299
155,300
155,301
155,302
156,302
156,303
156,304
157,304
158,304
158,305
159,305
160,305
160,306
160,307
161,307
162,307
163,307
163,308
164,308
164,309
164,310
164,311
165,311
166,311
167,311
168,311
169,311
169,312
169,313
169,314
169,315
169,316
169,317
170,317
170,318
170,319
171,319
171,320
171,321
171,322
171,323
171,324
171,325
171,326
172,326
173,326
174,326
174,327
174,328
174,329
174,330
174,331
174,332
175,332
175,333
175,334
175,335
176,335
176,336
177,336
178,336
178,337
178,338
178,339
178,340
178,341
178,342
179,342
179,343
179,344
179,345
179,346
179,347
179,348
179,349
179,350
180,350
180,351
180,352
180,353
181,353
182,353
183,353
184,353
185,353
185,354
185,355
186,355
186,356
186,357
187,357
188,357
189,357
189,358
190,358
191,358
191,359
191,360
192,360
192,361
193,361
194,361
194,362
195,362
196,362
196,363
197,363
198,363
198,364
198,365
198,366
198,367
198,368
199,368
200,368
200,369
201,369
201,370
201,371
201,372
201,373
201,374
201,375
202,375
203,375
203,376
204,376
204,377
204,378
204,379
205,379
205,380
205,381
205,382
206,382
207,382
207,383
207,384
207,385
207,386
207,387
208,387
209,387
209,388
209,389
210,389
210,390
211,390
212,390
213,390
213,391
213,392
214,392
215,392
215,393
215,394
216,394
216,395
216,396
216,397
216,398
216,399
216,400
216,401
216,402
217,402
218,402
218,403
218,404
219,404
220,404
220,405
220,406
220,407
220,408
220,409
220,410
220,411
220,412
220,413
221,413
222,413
222,414
223,414
223,415
224,415
225,415
225,416
226,416
226,417
226,418
226,419
227,419
228,419
228,420
228,421
228,422
229,422
229,423
229,424
229,425
229,426
229,427
229,428
230,428
231,428
232,428
232,429
232,430
232,431
232,432
232,433
232,434
233,434
234,434
235,434
235,435
235,436
235,437
236,437
236,438
237,438
237,439
237,440
237,441
238,441
238,442
239,442
239,443
239,444
240,444
241,444
241,445
242,445
242,446
242,447
243,447
244,447
245,447
245,448
245,449
245,450
246,450
246,451
246,452
247,452
247,453
247,454
247,455
248,455
249,455
250,455
251,455
251,456
251,457
251,458
252,458
252,459
253,459
253,460
253,461
254,461
254,462
255,462
255,463
255,464
255,465
255,466
255,467
255,468
256,468
256,469
257,469
258,469
259,469
259,470
259,471
260,471
261,471
261,472
261,473
261,474
261,475
261,476
262,476
263,476
263,477
263,478
264,478
264,479
264,480
264,481
265,481
266,481
267,481
268,481
268,482
268,483
269,483
269,484
270,484
270,485
271,485
272,485
272,486
272,487
272,488
273,488
273,489
273,490
273,491
273,492
273,493
273,494
274,494
275,494
276,494
277,494
278,494
278,495
279,495
279,496
279,497
279,498
279,499
280,499
280,500
280,501
280,502
280,503
281,503
281,504
282,504
282,505
282,506
282,507
282,508
283,508
283,509
284,509
284,510
284,511
285,511
285,512
285,513
285,514
285,515
285,516
285,517
286,517
286,518
286,519
287,519
287,520
287,521
288,521
288,522
288,523
288,524
288,525
289,525
290,525
291,525
291,526
291,527
291,528
291,529
292,529
292,530
292,531
292,532
292,533
293,533
293,534
293,535
294,535
294,536
294,537
295,537
295,538
296,538
297,538
298,538
298,539
298,540
299,540
299,541
300,541
300,542
301,542
301,543
301,544
301,545
301,546
302,546
303,546
304,546
304,547
305,547
305,548
305,549
305,550
305,551
305,552
305,553
305,554
306,554
306,555
307,555
308,555
309,555
309,556
309,557
309,558
309,559
310,559
311,559
312,559
