IsmctsAgent 0,OracleAgent 1
0,1
1,1
2,1
3,1
3,2
3,3
4,3
5,3
6,3
6,4
6,5
6,6
6,7
7,7
7,8
8,8
8,9
8,10
9,10
9,11
10,11
11,11
12,11
13,11
14,11
14,12
15,12
15,13
15,14
16,14
16,15
16,16
17,16
18,16
19,16
20,16
20,17
20,18
21,18
22,18
22,19
23,19
24,19
25,19
26,19
26,20
26,21
26,22
26,23
27,23
28,23
29,23
30,23
31,23
32,23
33,23
34,23
35,23
36,23
37,23
38,23
38,24
39,24
39,25
40,25
41,25
41,26
42,26
42,27
42,28
42,29
42,30
42,31
43,31
44,31
44,32
45,32
46,32
46,33
47,33
47,34
48,34
49,34
49,35
50,35
51,35
51,36
51,37
52,37
52,38
53,38
53,39
53,40
53,41
53,42
53,43
53,44
53,45
54,45
55,45
55,46
55,47
56,47
57,47
57,48
58,48
59,48
60,48
61,48
62,48
63,48
64,48
65,48
66,48
67,48
67,49
67,50
68,50
68,51
69,51
70,51
70,52
70,53
70,54
71,54
72,54
72,55
73,55
74,55
75,55
76,55
76,56
77,56
77,57
77,58
78,58
79,58
80,58
81,58
81,59
81,60
81,61
81,62
82,62
83,62
84,62
84,63
85,63
85,64
85,65
86,65
87,65
88,65
89,65
90,65
90,66
91,66
92,66
92,67
92,68
93,68
93,69
94,69
94,70
95,70
95,71
96,71
97,71
98,71
98,72
98,73
98,74
99,74
100,74
100,75
100,76
101,76
102,76
102,77
103,77
103,78
104,78
104,79
105,79
106,79
107,79
108,79
109,79
109,80
109,81
109,82
109,83
109,84
110,84
110,85
111,85
111,86
112,86
113,86
114,86
114,87
114,88
115,88
116,88
116,89
117,89
118,89
119,89
120,89
121,89
122,89
123,89
123,90
124,90
125,90
125,91
126,91
126,92
127,92
128,92
128,93
128,94
128,95
128,96
129,96
129,97
130,97
130,98
130,99
130,100
130,101
130,102
131,102
131,103
132,103
133,103
133,104
133,105
133,106
134,106
135,106
135,107
136,107
137,107
138,107
138,108
139,108
140,108
141,108
141,109
141,110
141,111
141,112
142,112
143,112
143,113
144,113
145,113
146,113
146,114
147,114
148,114
149,114
149,115
150,115
151,115
152,115
153,115
153,116
154,116
155,116
156,116
156,117
157,117
157,118
157,119
158,119
159,119
160,119
161,119
162,119
162,120
163,120
163,121
164,121
165,121
166,121
167,121
168,121
169,121
169,122
170,122
170,123
171,123
171,124
171,125
171,126
172,126
173,126
173,127
173,128
173,129
173,130
173,131
173,132
174,132
174,133
175,133
176,133
176,134
176,135
177,135
177,136
177,137
177,138
178,138
178,139
178,140
179,140
180,140
181,140
182,140
183,140
183,141
184,141
184,142
185,142
186,142
187,142
188,142
189,142
189,143
190,143
191,143
192,143
193,143
194,143
195,143
195,144
196,144
197,144
198,144
198,145
199,145
200,145
201,145
201,146
202,146
202,147
202,148
202,149
203,149
203,150
204,150
205,150
205,151
205,152
206,152
207,152
208,152
208,153
208,154
209,154
210,154
210,155
210,156
211,156
211,157
212,157
212,158
212,159
213,159
213,160
213,161
213,162
214,162
215,162
215,163
216,163
217,163
218,163
219,163
219,164
220,164
221,164
221,165
221,166
221,167
221,168
221,169
221,170
221,171
222,171
222,172
223,172
224,172
225,172
225,173
225,174
225,175
225,176
225,177
226,177
226,178
226,179
227,179
228,179
229,179
230,179
231,179
232,179
232,180
232,181
232,182
233,182
233,183
233,184
234,184
234,185
234,186
235,186
236,186
236,187
237,187
237,188
238,188
239,188
239,189
239,190
239,191
240,191
240,192
241,192
242,192
243,192
243,193
243,194
243,195
243,196
243,197
244,197
244,198
244,199
245,199
246,199
246,200
246,201
247,201
248,201
248,202
249,202
250,202
251,202
252,202
253,202
254,202
254,203
254,204
255,204
256,204
257,204
258,204
259,204
260,204
261,204
262,204
263,204
264,204
264,205
265,205
266,205
266,206
267,206
268,206
268,207
269,207
269,208
270,208
270,209
270,210
270,211
271,211
272,211
272,212
272,213
272,214
273,214
273,215
274,215
275,215
276,215
277,215
277,216
277,217
278,217
279,217
279,218
280,218
280,219
281,219
282,219
282,220
282,221
283,221
283,222
283,223
283,224
284,224
285,224
286,224
287,224
287,225
287,226
288,226
288,227
288,228
288,229
289,229
289,230
290,230
291,230
292,230
293,230
294,230
295,230
295,231
296,231
297,231
298,231
298,232
299,232
300,232
301,232
302,232
303,232
304,232
305,232
306,232
306,233
306,234
307,234
307,235
307,236
307,237
308,237
308,238
308,239
309,239
310,239
311,239
312,239
312,240
313,240
314,240
315,240
316,240
316,241
317,241
317,242
318,242
318,243
319,243
320,243
321,243
322,243
322,244
323,244
324,244
324,245
325,245
326,245
326,246
326,247
327,247
328,247
329,247
329,248
330,248
330,249
331,249
331,250
332,250
332,251
333,251
334,251
334,252
335,252
335,253
336,253
337,253
337,254
338,254
339,254
339,255
339,256
339,257
339,258
340,258
341,258
342,258
342,259
342,260
342,261
343,261
344,261
345,261
346,261
347,261
347,262
347,263
348,263
348,264
349,264
350,264
351,264
352,264
352,265
352,266
353,266
353,267
354,267
355,267
356,267
357,267
358,267
358,268
358,269
358,270
359,270
360,270
361,270
361,271
362,271
362,272
362,273
363,273
364,273
365,273
366,273
366,274
366,275
367,275
367,276
368,276
368,277
368,278
368,279
369,279
370,279
370,280
371,280
371,281
371,282
372,282
373,282
373,283
374,283
374,284
374,285
375,285
376,285
377,285
377,286
378,286
378,287
379,287
379,288
379,289
380,289
381,289
382,289
383,289
384,289
384,290
384,291
385,291
386,291
386,292
386,293
386,294
387,294
387,295
387,296
387,297
388,297
388,298
389,298
389,299
390,299
391,299
391,300
392,300
392,301
393,301
394,301
395,301
395,302
396,302
396,303
396,304
397,304
398,304
399,304
400,304
401,304
401,305
402,305
402,306
403,306
404,306
405,306
406,306
406,307
407,307
407,308
408,308
408,309
409,309
410,309
411,309
412,309
412,310
413,310
414,310
415,310
415,311
415,312
415,313
415,314
416,314
417,314
417,315
417,316
417,317
417,318
418,318
419,318
420,318
421,318
422,318
423,318
423,319
424,319
425,319
426,319
427,319
427,320
427,321
427,322
427,323
427,324
427,325
427,326
428,326
429,326
430,326
430,327
431,327
431,328
432,328
433,328
434,328
434,329
434,330
435,330
436,330
437,330
438,330
438,331
439,331
440,331
440,332
441,332
441,333
441,334
442,334
443,334
444,334
445,334
445,335
446,335
447,335
447,336
448,336
448,337
448,338
448,339
448,340
449,340
450,340
451,340
452,340
452,341
452,342
452,343
453,343
454,343
455,343
456,343
457,343
458,343
458,344
459,344
460,344
460,345
461,345
462,345
463,345
464,345
