IsmctsAgent 0,PruningAgent 1
0,1
0,2
0,3
1,3
2,3
3,3
4,3
5,3
6,3
6,4
7,4
8,4
9,4
10,4
11,4
11,5
11,6
12,6
13,6
13,7
13,8
14,8
15,8
16,8
17,8
17,9
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
24,11
25,11
26,11
27,11
28,11
29,11
30,11
31,11
32,11
33,11
33,12
34,12
35,12
35,13
35,14
36,14
37,14
37,15
38,15
39,15
39,16
39,17
39,18
39,19
39,20
40,20
41,20
41,21
42,21
43,21
43,22
43,23
43,24
44,24
44,25
45,25
46,25
47,25
48,25
48,26
49,26
50,26
50,27
51,27
52,27
53,27
53,28
54,28
55,28
56,28
57,28
58,28
59,28
60,28
61,28
61,29
62,29
63,29
63,30
64,30
65,30
65,31
66,31
67,31
68,31
68,32
69,32
70,32
70,33
71,33
72,33
73,33
74,33
75,33
76,33
77,33
78,33
79,33
80,33
81,33
82,33
82,34
83,34
84,34
85,34
85,35
85,36
86,36
87,36
88,36
89,36
89,37
89,38
90,38
91,38
92,38
93,38
94,38
95,38
96,38
97,38
98,38
99,38
100,38
100,39
100,40
101,40
102,40
102,41
103,41
104,41
105,41
106,41
106,42
107,42
108,42
109,42
109,43
109,44
110,44
111,44
112,44
113,44
114,44
115,44
115,45
116,45
117,45
117,46
118,46
119,46
120,46
120,47
121,47
122,47
123,47
124,47
125,47
125,48
126,48
127,48
128,48
129,48
130,48
130,49
131,49
131,50
132,50
133,50
134,50
135,50
136,50
137,50
138,50
139,50
139,51
140,51
141,51
142,51
143,51
144,51
145,51
146,51
147,51
148,51
149,51
150,51
151,51
151,52
152,52
153,52
154,52
155,52
156,52
157,52
158,52
158,53
158,54
159,54
160,54
161,54
162,54
162,55
163,55
163,56
164,56
164,57
164,58
165,58
165,59
166,59
166,60
166,61
167,61
167,62
168,62
169,62
170,62
171,62
172,62
173,62
174,62
174,63
175,63
176,63
177,63
178,63
179,63
180,63
181,63
182,63
183,63
183,64
184,64
184,65
184,66
185,66
185,67
185,68
186,68
187,68
188,68
189,68
190,68
191,68
192,68
193,68
193,69
194,69
195,69
196,69
197,69
198,69
199,69
200,69
201,69
202,69
203,69
203,70
204,70
205,70
206,70
207,70
208,70
209,70
210,70
211,70
212,70
213,70
213,71
213,72
213,73
214,73
215,73
215,74
216,74
217,74
218,74
219,74
220,74
220,75
221,75
222,75
222,76
222,77
223,77
224,77
225,77
226,77
227,77
227,78
228,78
228,79
229,79
230,79
231,79
231,80
231,81
232,81
232,82
233,82
234,82
235,82
236,82
236,83
236,84
237,84
238,84
239,84
239,85
239,86
239,87
239,88
239,89
240,89
241,89
242,89
243,89
244,89
245,89
246,89
246,90
247,90
247,91
248,91
249,91
250,91
251,91
252,91
253,91
254,91
255,91
256,91
256,92
256,93
257,93
257,94
258,94
259,94
260,94
261,94
262,94
263,94
263,95
264,95
264,96
264,97
265,97
266,97
267,97
268,97
269,97
270,97
271,97
272,97
273,97
274,97
274,98
274,99
274,100
275,100
276,100
277,100
278,100
279,100
280,100
280,101
281,101
281,102
281,103
281,104
282,104
283,104
284,104
285,104
286,104
287,104
288,104
289,104
290,104
290,105
291,105
291,106
292,106
293,106
294,106
294,107
295,107
296,107
296,108
296,109
297,109
297,110
298,110
299,110
300,110
301,110
302,110
302,111
302,112
303,112
303,113
304,113
305,113
306,113
307,113
308,113
308,114
309,114
310,114
311,114
312,114
313,114
314,114
315,114
316,114
317,114
318,114
319,114
320,114
321,114
322,114
323,114
323,115
324,115
325,115
326,115
326,116
327,116
328,116
329,116
329,117
330,117
330,118
331,118
332,118
332,119
333,119
333,120
334,120
334,121
335,121
336,121
337,121
338,121
339,121
340,121
341,121
342,121
343,121
344,121
344,122
345,122
346,122
347,122
348,122
349,122
350,122
351,122
352,122
353,122
354,122
354,123
355,123
356,123
357,123
357,124
358,124
359,124
360,124
361,124
362,124
363,124
364,124
365,124
365,125
366,125
367,125
368,125
369,125
370,125
370,126
370,127
370,128
370,129
371,129
371,130
372,130
373,130
374,130
375,130
375,131
376,131
377,131
378,131
379,131
380,131
380,132
381,132
382,132
383,132
384,132
385,132
386,132
386,133
386,134
387,134
388,134
389,134
390,134
390,135
390,136
391,136
391,137
392,137
393,137
394,137
394,138
395,138
396,138
397,138
397,139
398,139
399,139
400,139
401,139
402,139
403,139
404,139
405,139
405,140
406,140
406,141
406,142
407,142
408,142
409,142
409,143
410,143
410,144
411,144
412,144
413,144
413,145
414,145
415,145
416,145
417,145
418,145
418,146
419,146
419,147
420,147
421,147
422,147
422,148
423,148
424,148
425,148
425,149
425,150
426,150
427,150
428,150
428,151
429,151
429,152
430,152
430,153
431,153
431,154
432,154
433,154
434,154
435,154
436,154
437,154
437,155
438,155
438,156
438,157
438,158
438,159
439,159
440,159
441,159
442,159
443,159
444,159
445,159
446,159
447,159
448,159
449,159
450,159
451,159
452,159
453,159
453,160
454,160
455,160
455,161
456,161
457,161
458,161
459,161
460,161
461,161
461,162
462,162
463,162
463,163
464,163
464,164
465,164
466,164
466,165
467,165
467,166
468,166
469,166
470,166
470,167
471,167
472,167
473,167
474,167
475,167
476,167
477,167
478,167
479,167
479,168
480,168
481,168
482,168
483,168
484,168
484,169
484,170
485,170
486,170
487,170
487,171
488,171
489,171
490,171
491,171
492,171
493,171
494,171
495,171
496,171
497,171
498,171
499,171
500,171
500,172
501,172
502,172
503,172
504,172
505,172
505,173
506,173
507,173
508,173
509,173
509,174
509,175
510,175
511,175
511,176
511,177
512,177
513,177
514,177
515,177
516,177
516,178
517,178
518,178
519,178
520,178
521,178
522,178
523,178
523,179
524,179
525,179
526,179
526,180
527,180
528,180
528,181
529,181
530,181
531,181
531,182
532,182
533,182
533,183
534,183
534,184
534,185
535,185
536,185
537,185
537,186
538,186
539,186
540,186
541,186
542,186
543,186
543,187
544,187
544,188
545,188
546,188
547,188
548,188
548,189
548,190
548,191
549,191
550,191
551,191
552,191
553,191
554,191
555,191
556,191
557,191
558,191
559,191
560,191
561,191
562,191
563,191
564,191
565,191
566,191
567,191
568,191
569,191
570,191
571,191
571,192
571,193
572,193
573,193
574,193
575,193
576,193
577,193
578,193
579,193
580,193
581,193
582,193
583,193
584,193
585,193
586,193
587,193
588,193
588,194
589,194
590,194
591,194
592,194
593,194
594,194
595,194
596,194
596,195
597,195
598,195
598,196
599,196
600,196
600,197
600,198
601,198
602,198
603,198
604,198
604,199
604,200
604,201
604,202
605,202
605,203
606,203
607,203
608,203
608,204
608,205
609,205
610,205
611,205
612,205
613,205
613,206
614,206
615,206
616,206
616,207
617,207
617,208
618,208
619,208
620,208
620,209
621,209
622,209
623,209
624,209
624,210
625,210
626,210
626,211
627,211
628,211
628,212
629,212
629,213
630,213
631,213
632,213
633,213
634,213
634,214
634,215
635,215
636,215
637,215
638,215
639,215
640,215
640,216
641,216
642,216
642,217
643,217
644,217
645,217
646,217
647,217
648,217
649,217
650,217
651,217
651,218
652,218
653,218
