OracleAgent 0,BetterRandomAgent 1
0,1
1,1
1,2
2,2
2,3
2,4
3,4
4,4
4,5
5,5
6,5
7,5
8,5
9,5
9,6
9,7
9,8
10,8
10,9
10,10
10,11
11,11
12,11
12,12
12,13
12,14
13,14
14,14
15,14
16,14
17,14
18,14
18,15
18,16
18,17
18,18
18,19
19,19
20,19
20,20
21,20
21,21
22,21
23,21
23,22
24,22
25,22
26,22
26,23
26,24
27,24
27,25
27,26
28,26
28,27
28,28
29,28
29,29
29,30
30,30
31,30
31,31
32,31
32,32
33,32
34,32
35,32
36,32
37,32
37,33
37,34
37,35
38,35
39,35
40,35
40,36
40,37
41,37
42,37
43,37
44,37
45,37
45,38
45,39
45,40
45,41
45,42
46,42
47,42
48,42
49,42
50,42
51,42
51,43
52,43
52,44
53,44
54,44
54,45
55,45
56,45
57,45
58,45
58,46
59,46
59,47
59,48
60,48
61,48
62,48
63,48
64,48
65,48
66,48
66,49
67,49
67,50
68,50
69,50
70,50
71,50
71,51
71,52
72,52
73,52
74,52
75,52
75,53
75,54
76,54
76,55
77,55
78,55
79,55
79,56
79,57
79,58
80,58
80,59
81,59
81,60
81,61
82,61
83,61
84,61
84,62
85,62
86,62
86,63
87,63
88,63
88,64
88,65
89,65
90,65
91,65
92,65
93,65
93,66
93,67
93,68
93,69
94,69
95,69
96,69
96,70
97,70
97,71
98,71
98,72
98,73
98,74
98,75
99,75
100,75
101,75
102,75
102,76
103,76
104,76
105,76
106,76
106,77
106,78
107,78
108,78
109,78
109,79
109,80
110,80
110,81
111,81
111,82
111,83
111,84
112,84
113,84
113,85
113,86
114,86
115,86
115,87
116,87
116,88
117,88
117,89
118,89
118,90
118,91
119,91
120,91
121,91
122,91
123,91
123,92
124,92
124,93
124,94
125,94
126,94
127,94
128,94
128,95
129,95
129,96
129,97
130,97
131,97
132,97
132,98
133,98
134,98
134,99
134,100
134,101
134,102
135,102
135,103
136,103
136,104
137,104
137,105
138,105
139,105
139,106
139,107
140,107
141,107
141,108
141,109
142,109
143,109
144,109
144,110
144,111
145,111
146,111
146,112
146,113
147,113
147,114
148,114
149,114
150,114
151,114
152,114
153,114
154,114
155,114
155,115
156,115
157,115
158,115
158,116
159,116
159,117
159,118
160,118
161,118
161,119
162,119
162,120
162,121
162,122
162,123
162,124
163,124
163,125
164,125
165,125
165,126
166,126
166,127
166,128
166,129
166,130
166,131
166,132
166,133
167,133
168,133
169,133
170,133
170,134
171,134
172,134
172,135
173,135
173,136
173,137
173,138
173,139
173,140
174,140
175,140
175,141
176,141
177,141
178,141
178,142
179,142
180,142
180,143
181,143
181,144
182,144
183,144
183,145
183,146
183,147
183,148
184,148
185,148
185,149
185,150
186,150
187,150
188,150
188,151
189,151
190,151
190,152
191,152
192,152
193,152
194,152
195,152
195,153
195,154
195,155
196,155
196,156
197,156
198,156
199,156
200,156
200,157
200,158
201,158
201,159
201,160
201,161
201,162
202,162
202,163
202,164
202,165
202,166
203,166
204,166
205,166
206,166
207,166
207,167
208,167
209,167
210,167
210,168
211,168
211,169
212,169
213,169
214,169
214,170
214,171
214,172
215,172
215,173
215,174
216,174
217,174
218,174
219,174
220,174
221,174
222,174
223,174
223,175
223,176
223,177
224,177
225,177
226,177
226,178
227,178
227,179
228,179
228,180
229,180
230,180
230,181
231,181
232,181
232,182
232,183
233,183
234,183
234,184
235,184
235,185
235,186
236,186
236,187
236,188
237,188
237,189
238,189
238,190
238,191
238,192
239,192
240,192
241,192
241,193
242,193
242,194
242,195
242,196
243,196
243,197
244,197
245,197
245,198
246,198
246,199
247,199
248,199
249,199
249,200
250,200
251,200
252,200
253,200
254,200
255,200
255,201
256,201
256,202
256,203
256,204
257,204
258,204
259,204
260,204
261,204
261,205
261,206
262,206
263,206
264,206
265,206
266,206
267,206
268,206
269,206
270,206
271,206
271,207
272,207
272,208
272,209
273,209
273,210
273,211
274,211
275,211
275,212
275,213
275,214
276,214
277,214
278,214
279,214
280,214
281,214
281,215
282,215
283,215
284,215
284,216
285,216
286,216
287,216
287,217
288,217
289,217
290,217
291,217
292,217
293,217
293,218
294,218
294,219
295,219
296,219
297,219
297,220
298,220
299,220
300,220
300,221
300,222
301,222
301,223
302,223
302,224
303,224
304,224
305,224
306,224
306,225
306,226
306,227
306,228
306,229
307,229
307,230
307,231
307,232
308,232
308,233
309,233
310,233
311,233
311,234
312,234
313,234
314,234
314,235
315,235
315,236
315,237
316,237
317,237
317,238
318,238
319,238
320,238
321,238
321,239
321,240
322,240
323,240
324,240
324,241
325,241
326,241
326,242
327,242
328,242
328,243
329,243
330,243
331,243
332,243
333,243
334,243
334,244
334,245
335,245
335,246
336,246
336,247
336,248
337,248
338,248
339,248
340,248
340,249
341,249
342,249
342,250
343,250
344,250
345,250
346,250
347,250
348,250
348,251
349,251
350,251
350,252
350,253
351,253
352,253
353,253
353,254
354,254
354,255
354,256
354,257
354,258
354,259
355,259
355,260
355,261
355,262
355,263
356,263
357,263
358,263
358,264
358,265
359,265
360,265
361,265
361,266
362,266
363,266
363,267
363,268
364,268
365,268
366,268
367,268
368,268
368,269
369,269
370,269
371,269
372,269
373,269
374,269
375,269
376,269
376,270
377,270
378,270
379,270
380,270
380,271
381,271
382,271
383,271
384,271
385,271
386,271
387,271
388,271
389,271
390,271
390,272
391,272
392,272
393,272
393,273
394,273
394,274
395,274
395,275
396,275
397,275
398,275
399,275
400,275
401,275
401,276
402,276
403,276
404,276
405,276
406,276
407,276
408,276
409,276
409,277
410,277
410,278
411,278
411,279
412,279
412,280
413,280
413,281
414,281
415,281
416,281
417,281
417,282
417,283
418,283
419,283
419,284
420,284
421,284
422,284
422,285
422,286
422,287
422,288
423,288
423,289
424,289
424,290
425,290
425,291
426,291
427,291
427,292
427,293
427,294
427,295
427,296
428,296
428,297
429,297
430,297
431,297
431,298
432,298
432,299
432,300
433,300
434,300
434,301
435,301
436,301
436,302
436,303
437,303
438,303
438,304
438,305
438,306
439,306
439,307
440,307
440,308
441,308
442,308
443,308
444,308
445,308
446,308
447,308
448,308
449,308
449,309
450,309
450,310
451,310
452,310
453,310
453,311
453,312
454,312
455,312
455,313
455,314
456,314
457,314
457,315
458,315
458,316
459,316
459,317
459,318
460,318
461,318
462,318
463,318
463,319
463,320
463,321
464,321
465,321
465,322
465,323
466,323
467,323
468,323
468,324
469,324
470,324
471,324
472,324
473,324
474,324
474,325
475,325
476,325
477,325
478,325
478,326
478,327
479,327
479,328
479,329
480,329
