PruningRLAgent 0,BetterRandomAgent 1
1,0
1,1
1,2
2,2
3,2
4,2
4,3
5,3
5,4
5,5
6,5
7,5
8,5
8,6
8,7
8,8
8,9
9,9
10,9
11,9
12,9
13,9
13,10
14,10
14,11
15,11
16,11
17,11
17,12
18,12
19,12
20,12
21,12
21,13
21,14
21,15
22,15
23,15
24,15
24,16
24,17
24,18
25,18
25,19
26,19
27,19
27,20
27,21
27,22
28,22
28,23
29,23
30,23
30,24
30,25
31,25
31,26
31,27
31,28
32,28
32,29
32,30
33,30
33,31
33,32
34,32
34,33
34,34
34,35
34,36
35,36
36,36
37,36
37,37
37,38
38,38
38,39
38,40
39,40
39,41
39,42
40,42
40,43
40,44
41,44
41,45
41,46
42,46
42,47
42,48
43,48
44,48
45,48
46,48
46,49
47,49
47,50
48,50
49,50
49,51
49,52
49,53
49,54
49,55
49,56
50,56
51,56
52,56
52,57
52,58
52,59
52,60
52,61
53,61
53,62
54,62
54,63
54,64
54,65
55,65
56,65
56,66
57,66
57,67
57,68
57,69
57,70
57,71
58,71
59,71
60,71
60,72
60,73
60,74
61,74
62,74
62,75
63,75
64,75
64,76
64,77
64,78
64,79
65,79
65,80
66,80
66,81
67,81
67,82
67,83
67,84
67,85
67,86
67,87
68,87
68,88
68,89
69,89
69,90
69,91
69,92
69,93
70,93
70,94
71,94
72,94
73,94
73,95
74,95
75,95
76,95
77,95
78,95
79,95
80,95
81,95
81,96
81,97
81,98
81,99
82,99
82,100
82,101
82,102
82,103
83,103
83,104
84,104
85,104
85,105
86,105
87,105
88,105
88,106
89,106
90,106
91,106
91,107
91,108
92,108
93,108
93,109
93,110
93,111
94,111
95,111
95,112
96,112
97,112
97,113
98,113
98,114
99,114
100,114
100,115
101,115
101,116
102,116
103,116
103,117
103,118
104,118
104,119
104,120
105,120
105,121
105,122
105,123
106,123
106,124
107,124
107,125
108,125
109,125
109,126
109,127
110,127
111,127
112,127
112,128
113,128
113,129
114,129
114,130
115,130
115,131
115,132
116,132
116,133
117,133
117,134
117,135
117,136
117,137
117,138
118,138
118,139
118,140
118,141
119,141
120,141
120,142
120,143
120,144
120,145
120,146
121,146
122,146
122,147
122,148
123,148
124,148
124,149
125,149
125,150
126,150
126,151
127,151
127,152
128,152
128,153
128,154
129,154
129,155
130,155
130,156
130,157
130,158
130,159
130,160
131,160
131,161
131,162
132,162
133,162
133,163
133,164
133,165
133,166
133,167
134,167
135,167
135,168
135,169
136,169
137,169
138,169
138,170
138,171
138,172
138,173
139,173
139,174
140,174
141,174
142,174
142,175
143,175
143,176
143,177
143,178
144,178
145,178
145,179
145,180
146,180
147,180
148,180
148,181
149,181
149,182
150,182
151,182
151,183
152,183
153,183
153,184
153,185
153,186
153,187
153,188
153,189
153,190
153,191
153,192
154,192
155,192
155,193
155,194
156,194
156,195
156,196
156,197
157,197
158,197
158,198
159,198
159,199
159,200
159,201
160,201
161,201
161,202
161,203
162,203
162,204
162,205
163,205
163,206
164,206
165,206
165,207
166,207
166,208
166,209
167,209
168,209
169,209
169,210
170,210
171,210
171,211
172,211
173,211
174,211
174,212
175,212
175,213
175,214
176,214
177,214
177,215
178,215
178,216
178,217
179,217
179,218
179,219
179,220
179,221
179,222
179,223
179,224
180,224
181,224
181,225
181,226
182,226
182,227
182,228
182,229
182,230
182,231
182,232
182,233
182,234
183,234
184,234
185,234
185,235
185,236
186,236
186,237
186,238
187,238
188,238
188,239
189,239
190,239
190,240
191,240
192,240
192,241
192,242
193,242
193,243
193,244
194,244
195,244
195,245
195,246
195,247
196,247
197,247
197,248
197,249
197,250
197,251
197,252
198,252
198,253
198,254
198,255
199,255
199,256
199,257
199,258
199,259
199,260
199,261
200,261
201,261
201,262
202,262
202,263
203,263
204,263
205,263
205,264
206,264
207,264
208,264
208,265
209,265
209,266
210,266
210,267
210,268
210,269
210,270
211,270
211,271
211,272
211,273
212,273
213,273
213,274
214,274
215,274
215,275
216,275
217,275
217,276
217,277
218,277
218,278
218,279
218,280
218,281
219,281
220,281
220,282
220,283
221,283
221,284
221,285
222,285
222,286
223,286
223,287
224,287
224,288
224,289
224,290
225,290
225,291
225,292
225,293
225,294
226,294
227,294
227,295
228,295
229,295
230,295
231,295
231,296
232,296
233,296
233,297
233,298
234,298
235,298
235,299
236,299
236,300
237,300
238,300
239,300
239,301
239,302
240,302
241,302
241,303
241,304
241,305
241,306
242,306
242,307
242,308
243,308
243,309
243,310
244,310
244,311
244,312
244,313
245,313
245,314
246,314
247,314
247,315
247,316
247,317
247,318
247,319
247,320
247,321
248,321
248,322
248,323
249,323
250,323
250,324
251,324
251,325
251,326
251,327
251,328
251,329
251,330
252,330
252,331
253,331
254,331
254,332
255,332
255,333
255,334
255,335
256,335
256,336
256,337
256,338
256,339
257,339
258,339
259,339
260,339
260,340
260,341
261,341
262,341
263,341
264,341
264,342
264,343
265,343
265,344
266,344
266,345
267,345
268,345
269,345
269,346
269,347
269,348
270,348
271,348
271,349
271,350
272,350
272,351
273,351
273,352
273,353
273,354
273,355
274,355
275,355
276,355
277,355
278,355
278,356
279,356
279,357
279,358
280,358
281,358
281,359
282,359
282,360
282,361
282,362
283,362
283,363
284,363
285,363
286,363
286,364
286,365
287,365
287,366
287,367
287,368
287,369
287,370
287,371
287,372
288,372
289,372
289,373
289,374
289,375
289,376
290,376
291,376
292,376
293,376
294,376
295,376
295,377
295,378
295,379
296,379
296,380
296,381
296,382
297,382
297,383
297,384
297,385
298,385
298,386
299,386
300,386
301,386
301,387
302,387
303,387
303,388
303,389
304,389
304,390
305,390
305,391
305,392
306,392
306,393
306,394
306,395
307,395
307,396
308,396
309,396
310,396
311,396
312,396
312,397
312,398
312,399
313,399
313,400
314,400
315,400
316,400
317,400
318,400
318,401
318,402
319,402
319,403
320,403
320,404
320,405
320,406
320,407
321,407
321,408
321,409
321,410
321,411
322,411
323,411
323,412
324,412
325,412
325,413
325,414
326,414
326,415
327,415
328,415
329,415
329,416
329,417
329,418
329,419
330,419
331,419
332,419
333,419
334,419
335,419
335,420
335,421
335,422
335,423
336,423
337,423
338,423
338,424
339,424
339,425
339,426
339,427
339,428
340,428
341,428
342,428
343,428
344,428
344,429
345,429
345,430
345,431
345,432
346,432
346,433
346,434
346,435
346,436
347,436
348,436
349,436
349,437
349,438
349,439
350,439
351,439
352,439
353,439
354,439
355,439
356,439
356,440
356,441
357,441
357,442
357,443
358,443
359,443
360,443
360,444
360,445
360,446
360,447
360,448
360,449
360,450
360,451
361,451
361,452
361,453
362,453
362,454
363,454
364,454
365,454
365,455
366,455
366,456
367,456
368,456
369,456
369,457
369,458
370,458
370,459
370,460
370,461
370,462
370,463
371,463
371,464
371,465
372,465
372,466
372,467
373,467
373,468
373,469
373,470
373,471
373,472
373,473
374,473
374,474
375,474
375,475
375,476
376,476
376,477
377,477
378,477
379,477
380,477
380,478
381,478
381,479
381,480
381,481
382,481
382,482
382,483
383,483
383,484
384,484
384,485
385,485
385,486
385,487
386,487
387,487
388,487
389,487
389,488
389,489
389,490
390,490
391,490
391,491
392,491
392,492
393,492
393,493
393,494
393,495
394,495
394,496
394,497
394,498
395,498
395,499
396,499
397,499
398,499
399,499
399,500
400,500
400,501
401,501
401,502
401,503
401,504
402,504
402,505
402,506
403,506
404,506
405,506
405,507
405,508
406,508
407,508
407,509
407,510
408,510
408,511
409,511
409,512
410,512
410,513
410,514
411,514
412,514
413,514
413,515
414,515
415,515
415,516
416,516
417,516
418,516
418,517
418,518
419,518
420,518
421,518
422,518
422,519
423,519
423,520
424,520
425,520
425,521
426,521
427,521
427,522
427,523
428,523
428,524
429,524
430,524
431,524
432,524
432,525
432,526
432,527
432,528
433,528
433,529
433,530
434,530
434,531
434,532
434,533
434,534
434,535
434,536
435,536
436,536
436,537
436,538
437,538
437,539
438,539
438,540
438,541
439,541
440,541
440,542
440,543
440,544
441,544
441,545
442,545
442,546
442,547
442,548
442,549
442,550
443,550
443,551
444,551
445,551
445,552
445,553
446,553
446,554
447,554
448,554
448,555
448,556
448,557
449,557
449,558
450,558
450,559
450,560
450,561
451,561
452,561
452,562
453,562
454,562
455,562
456,562
456,563
456,564
456,565
457,565
457,566
457,567
458,567
459,567
460,567
461,567
461,568
461,569
461,570
461,571
461,572
462,572
463,572
464,572
464,573
464,574
465,574
465,575
466,575
466,576
466,577
466,578
466,579
466,580
467,580
467,581
467,582
468,582
469,582
469,583
470,583
470,584
470,585
470,586
470,587
470,588
470,589
470,590
471,590
471,591
471,592
471,593
472,593
473,593
473,594
474,594
474,595
475,595
475,596
475,597
475,598
475,599
475,600
475,601
475,602
475,603
476,603
476,604
476,605
477,605
478,605
478,606
479,606
480,606
480,607
480,608
480,609
480,610
480,611
481,611
481,612
482,612
483,612
483,613
484,613
484,614
484,615
484,616
484,617
484,618
484,619
484,620
484,621
484,622
485,622
485,623
485,624
485,625
485,626
485,627
485,628
485,629
486,629
486,630
487,630
487,631
488,631
489,631
490,631
490,632
490,633
490,634
490,635
491,635
492,635
493,635
493,636
493,637
493,638
493,639
494,639
494,640
494,641
494,642
494,643
495,643
496,643
496,644
497,644
497,645
498,645
499,645
500,645
500,646
500,647
501,647
501,648
501,649
501,650
502,650
503,650
503,651
504,651
504,652
504,653
505,653
505,654
506,654
506,655
507,655
508,655
508,656
509,656
509,657
509,658
509,659
509,660
509,661
509,662
509,663
510,663
510,664
510,665
510,666
511,666
511,667
512,667
512,668
513,668
513,669
514,669
515,669
515,670
515,671
515,672
515,673
515,674
515,675
515,676
515,677
515,678
516,678
517,678
517,679
517,680
517,681
518,681
518,682
519,682
520,682
520,683
521,683
522,683
523,683
523,684
524,684
524,685
525,685
526,685
527,685
527,686
528,686
528,687
528,688
528,689
529,689
529,690
530,690
531,690
532,690
533,690
533,691
533,692
533,693
534,693
534,694
534,695
534,696
534,697
535,697
535,698
535,699
536,699
537,699
537,700
537,701
538,701
539,701
540,701
541,701
541,702
541,703
541,704
541,705
542,705
542,706
543,706
543,707
544,707
544,708
545,708
546,708
546,709
547,709
547,710
547,711
547,712
547,713
548,713
548,714
548,715
549,715
550,715
551,715
552,715
553,715
553,716
553,717
553,718
553,719
553,720
554,720
554,721
554,722
555,722
555,723
555,724
555,725
555,726
556,726
556,727
557,727
557,728
557,729
557,730
558,730
559,730
560,730
560,731
560,732
561,732
561,733
562,733
562,734
563,734
563,735
564,735
564,736
565,736
565,737
565,738
565,739
565,740
565,741
566,741
566,742
567,742
567,743
567,744
568,744
568,745
569,745
569,746
569,747
570,747
570,748
570,749
570,750
571,750
571,751
571,752
572,752
572,753
572,754
572,755
572,756
572,757
572,758
573,758
574,758
574,759
575,759
576,759
576,760
576,761
576,762
577,762
578,762
578,763
579,763
579,764
580,764
581,764
581,765
581,766
582,766
582,767
582,768
582,769
583,769
583,770
583,771
583,772
583,773
584,773
584,774
585,774
585,775
586,775
587,775
588,775
589,775
589,776
589,777
590,777
591,777
591,778
591,779
592,779
592,780
593,780
594,780
594,781
594,782
594,783
594,784
595,784
595,785
596,785
596,786
596,787
596,788
597,788
597,789
597,790
598,790
598,791
598,792
599,792
599,793
599,794
599,795
599,796
600,796
600,797
600,798
600,799
600,800
600,801
601,801
602,801
603,801
603,802
603,803
603,804
604,804
604,805
604,806
604,807
605,807
606,807
606,808
607,808
607,809
608,809
608,810
608,811
608,812
609,812
609,813
610,813
611,813
611,814
612,814
612,815
613,815
613,816
614,816
614,817
614,818
614,819
614,820
614,821
614,822
615,822
615,823
615,824
616,824
616,825
616,826
616,827
616,828
616,829
617,829
617,830
617,831
617,832
618,832
619,832
619,833
620,833
621,833
622,833
622,834
622,835
622,836
623,836
624,836
624,837
624,838
625,838
626,838
627,838
627,839
627,840
628,840
629,840
630,840
630,841
630,842
631,842
631,843
632,843
632,844
633,844
633,845
633,846
633,847
634,847
634,848
635,848
635,849
636,849
637,849
638,849
638,850
638,851
638,852
639,852
640,852
640,853
640,854
640,855
640,856
640,857
640,858
641,858
642,858
643,858
643,859
643,860
643,861
643,862
643,863
644,863
645,863
645,864
645,865
646,865
646,866
646,867
646,868
647,868
648,868
649,868
649,869
649,870
649,871
649,872
649,873
650,873
650,874
650,875
651,875
652,875
652,876
653,876
653,877
653,878
654,878
654,879
654,880
655,880
655,881
656,881
656,882
656,883
656,884
656,885
657,885
658,885
658,886
658,887
659,887
660,887
660,888
660,889
660,890
661,890
662,890
663,890
663,891
664,891
664,892
665,892
666,892
666,893
666,894
666,895
666,896
666,897
667,897
668,897
668,898
668,899
668,900
669,900
669,901
670,901
671,901
672,901
673,901
673,902
674,902
675,902
676,902
676,903
676,904
677,904
678,904
678,905
678,906
678,907
678,908
679,908
679,909
679,910
680,910
680,911
681,911
681,912
681,913
682,913
682,914
682,915
682,916
683,916
684,916
684,917
684,918
684,919
684,920
685,920
686,920
686,921
687,921
688,921
688,922
689,922
689,923
690,923
691,923
691,924
691,925
691,926
691,927
691,928
692,928
692,929
692,930
692,931
692,932
692,933
693,933
693,934
694,934
694,935
694,936
694,937
695,937
695,938
695,939
696,939
697,939
697,940
697,941
698,941
698,942
698,943
698,944
699,944
700,944
701,944
702,944
703,944
703,945
703,946
703,947
704,947
705,947
705,948
706,948
706,949
706,950
707,950
708,950
708,951
709,951
709,952
710,952
710,953
711,953
712,953
713,953
713,954
713,955
713,956
714,956
714,957
714,958
714,959
715,959
715,960
715,961
716,961
716,962
717,962
717,963
717,964
718,964
718,965
718,966
719,966
720,966
720,967
720,968
721,968
721,969
722,969
723,969
724,969
725,969
726,969
727,969
727,970
728,970
728,971
728,972
729,972
730,972
730,973
731,973
732,973
732,974
732,975
732,976
733,976
734,976
734,977
734,978
734,979
734,980
734,981
735,981
735,982
736,982
736,983
736,984
736,985
736,986
736,987
737,987
737,988
737,989
737,990
738,990
738,991
739,991
739,992
740,992
741,992
741,993
742,993
743,993
743,994
744,994
744,995
745,995
746,995
747,995
748,995
749,995
749,996
749,997
749,998
750,998
750,999
750,1000
750,1001
751,1001
752,1001
752,1002
753,1002
753,1003
754,1003
754,1004
754,1005
755,1005
756,1005
756,1006
757,1006
757,1007
757,1008
758,1008
759,1008
760,1008
760,1009
760,1010
760,1011
761,1011
762,1011
763,1011
763,1012
763,1013
763,1014
764,1014
764,1015
764,1016
764,1017
764,1018
764,1019
764,1020
765,1020
765,1021
765,1022
765,1023
765,1024
766,1024
767,1024
767,1025
768,1025
769,1025
770,1025
770,1026
771,1026
771,1027
772,1027
773,1027
773,1028
774,1028
775,1028
775,1029
775,1030
776,1030
777,1030
777,1031
778,1031
778,1032
779,1032
779,1033
779,1034
780,1034
781,1034
782,1034
782,1035
783,1035
784,1035
785,1035
785,1036
785,1037
785,1038
786,1038
786,1039
786,1040
786,1041
787,1041
787,1042
787,1043
787,1044
787,1045
787,1046
787,1047
788,1047
788,1048
788,1049
788,1050
789,1050
789,1051
789,1052
789,1053
790,1053
790,1054
790,1055
790,1056
790,1057
791,1057
792,1057
792,1058
793,1058
794,1058
794,1059
795,1059
795,1060
796,1060
796,1061
797,1061
797,1062
798,1062
798,1063
798,1064
798,1065
798,1066
799,1066
799,1067
800,1067
801,1067
801,1068
802,1068
803,1068
803,1069
803,1070
803,1071
803,1072
803,1073
804,1073
805,1073
806,1073
806,1074
807,1074
807,1075
808,1075
808,1076
808,1077
809,1077
810,1077
811,1077
812,1077
812,1078
812,1079
812,1080
813,1080
814,1080
814,1081
815,1081
815,1082
815,1083
815,1084
816,1084
816,1085
817,1085
818,1085
818,1086
819,1086
820,1086
821,1086
821,1087
822,1087
822,1088
823,1088
823,1089
823,1090
823,1091
823,1092
824,1092
824,1093
824,1094
825,1094
825,1095
826,1095
827,1095
827,1096
828,1096
829,1096
829,1097
830,1097
830,1098
830,1099
831,1099
831,1100
832,1100
832,1101
832,1102
832,1103
832,1104
832,1105
833,1105
833,1106
834,1106
835,1106
836,1106
837,1106
838,1106
838,1107
839,1107
839,1108
839,1109
839,1110
840,1110
841,1110
842,1110
842,1111
842,1112
842,1113
842,1114
843,1114
843,1115
843,1116
843,1117
843,1118
844,1118
844,1119
844,1120
844,1121
844,1122
845,1122
845,1123
846,1123
846,1124
847,1124
848,1124
849,1124
849,1125
850,1125
850,1126
850,1127
851,1127
851,1128
851,1129
852,1129
852,1130
852,1131
853,1131
853,1132
853,1133
853,1134
854,1134
854,1135
854,1136
854,1137
854,1138
854,1139
854,1140
854,1141
855,1141
855,1142
855,1143
855,1144
856,1144
857,1144
857,1145
858,1145
858,1146
858,1147
859,1147
860,1147
861,1147
862,1147
863,1147
864,1147
865,1147
865,1148
866,1148
866,1149
867,1149
868,1149
868,1150
868,1151
869,1151
869,1152
870,1152
870,1153
871,1153
872,1153
873,1153
874,1153
875,1153
875,1154
876,1154
877,1154
877,1155
877,1156
878,1156
878,1157
878,1158
879,1158
879,1159
879,1160
880,1160
881,1160
881,1161
882,1161
882,1162
883,1162
883,1163
884,1163
885,1163
886,1163
887,1163
888,1163
888,1164
888,1165
888,1166
888,1167
888,1168
889,1168
889,1169
889,1170
890,1170
890,1171
890,1172
891,1172
891,1173
891,1174
891,1175
892,1175
893,1175
893,1176
894,1176
895,1176
895,1177
896,1177
896,1178
897,1178
897,1179
897,1180
898,1180
898,1181
898,1182
899,1182
899,1183
899,1184
900,1184
900,1185
900,1186
900,1187
900,1188
900,1189
901,1189
901,1190
901,1191
902,1191
902,1192
903,1192
904,1192
904,1193
904,1194
904,1195
904,1196
905,1196
906,1196
906,1197
906,1198
907,1198
908,1198
909,1198
909,1199
909,1200
910,1200
911,1200
911,1201
911,1202
912,1202
913,1202
914,1202
915,1202
915,1203
916,1203
916,1204
916,1205
917,1205
918,1205
918,1206
919,1206
919,1207
919,1208
919,1209
920,1209
920,1210
920,1211
920,1212
920,1213
921,1213
921,1214
922,1214
922,1215
922,1216
923,1216
923,1217
923,1218
923,1219
924,1219
924,1220
924,1221
924,1222
924,1223
925,1223
925,1224
925,1225
925,1226
926,1226
926,1227
926,1228
927,1228
927,1229
927,1230
927,1231
928,1231
928,1232
928,1233
929,1233
930,1233
930,1234
931,1234
932,1234
932,1235
933,1235
934,1235
934,1236
934,1237
934,1238
935,1238
935,1239
935,1240
936,1240
937,1240
937,1241
937,1242
938,1242
939,1242
939,1243
940,1243
940,1244
941,1244
942,1244
943,1244
943,1245
944,1245
945,1245
946,1245
946,1246
946,1247
946,1248
946,1249
946,1250
947,1250
947,1251
947,1252
947,1253
947,1254
947,1255
948,1255
948,1256
949,1256
949,1257
950,1257
951,1257
952,1257
953,1257
954,1257
955,1257
955,1258
956,1258
957,1258
957,1259
958,1259
959,1259
959,1260
960,1260
960,1261
961,1261
962,1261
962,1262
962,1263
962,1264
963,1264
963,1265
964,1265
965,1265
966,1265
966,1266
966,1267
967,1267
967,1268
967,1269
967,1270
967,1271
967,1272
967,1273
968,1273
968,1274
969,1274
969,1275
970,1275
970,1276
970,1277
970,1278
970,1279
970,1280
971,1280
972,1280
972,1281
973,1281
974,1281
975,1281
976,1281
976,1282
976,1283
977,1283
977,1284
978,1284
978,1285
978,1286
979,1286
979,1287
980,1287
981,1287
981,1288
981,1289
981,1290
981,1291
982,1291
982,1292
982,1293
983,1293
984,1293
985,1293
985,1294
986,1294
987,1294
988,1294
989,1294
990,1294
990,1295
990,1296
991,1296
991,1297
992,1297
993,1297
994,1297
995,1297
995,1298
995,1299
995,1300
995,1301
995,1302
995,1303
995,1304
995,1305
995,1306
995,1307
996,1307
997,1307
998,1307
998,1308
999,1308
1000,1308
1000,1309
1001,1309
1002,1309
1003,1309
1004,1309
1005,1309
1005,1310
1006,1310
1006,1311
1006,1312
1007,1312
1007,1313
1007,1314
1008,1314
1009,1314
1009,1315
1010,1315
1010,1316
1010,1317
1010,1318
1010,1319
1010,1320
1011,1320
1011,1321
1011,1322
1011,1323
1011,1324
1012,1324
1012,1325
1012,1326
1012,1327
1012,1328
1013,1328
1014,1328
1014,1329
1015,1329
1015,1330
1015,1331
1016,1331
1016,1332
1017,1332
1018,1332
1018,1333
1019,1333
1020,1333
1020,1334
1021,1334
1021,1335
1021,1336
1021,1337
1021,1338
1021,1339
1022,1339
1022,1340
1022,1341
1022,1342
1023,1342
1023,1343
1023,1344
1023,1345
1024,1345
1024,1346
1024,1347
1024,1348
1024,1349
1025,1349
1026,1349
1026,1350
1027,1350
1028,1350
1028,1351
1028,1352
1028,1353
1029,1353
1029,1354
1030,1354
1031,1354
1031,1355
1031,1356
1031,1357
1031,1358
1031,1359
1031,1360
1031,1361
1032,1361
1033,1361
1034,1361
1035,1361
1036,1361
1037,1361
1037,1362
1037,1363
1037,1364
1037,1365
1037,1366
1037,1367
1037,1368
1037,1369
1038,1369
1039,1369
1039,1370
1040,1370
1040,1371
1041,1371
1041,1372
1042,1372
1043,1372
1044,1372
1044,1373
1044,1374
1044,1375
1044,1376
1044,1377
1045,1377
1046,1377
1047,1377
1047,1378
1048,1378
1048,1379
1048,1380
1048,1381
1048,1382
1048,1383
1048,1384
1048,1385
1048,1386
1048,1387
1049,1387
1049,1388
1049,1389
1049,1390
1049,1391
1050,1391
1051,1391
1052,1391
1053,1391
1054,1391
1055,1391
1056,1391
1056,1392
1056,1393
1056,1394
1056,1395
1056,1396
1057,1396
1057,1397
1058,1397
1059,1397
1059,1398
1059,1399
1060,1399
1060,1400
1061,1400
1061,1401
1061,1402
1061,1403
1062,1403
1063,1403
1063,1404
1063,1405
1064,1405
1065,1405
1065,1406
1065,1407
1065,1408
1066,1408
1066,1409
1067,1409
1068,1409
1068,1410
1069,1410
1069,1411
1070,1411
1071,1411
1072,1411
1073,1411
1074,1411
1075,1411
1075,1412
1076,1412
1076,1413
1077,1413
1078,1413
1079,1413
1079,1414
1079,1415
1079,1416
1079,1417
1080,1417
1081,1417
1082,1417
1082,1418
1083,1418
1084,1418
1084,1419
1084,1420
1084,1421
1085,1421
1086,1421
1086,1422
1086,1423
1087,1423
1087,1424
1088,1424
1089,1424
1089,1425
1090,1425
1090,1426
1091,1426
1091,1427
1092,1427
1093,1427
1093,1428
1093,1429
1093,1430
1093,1431
1093,1432
1093,1433
1093,1434
1093,1435
1093,1436
1094,1436
1095,1436
1095,1437
1096,1437
1096,1438
1097,1438
1098,1438
1099,1438
1099,1439
1099,1440
1099,1441
1100,1441
1100,1442
1100,1443
1101,1443
1101,1444
1101,1445
1102,1445
1103,1445
1103,1446
1103,1447
1104,1447
1104,1448
